PID,Name,Title,PublicationType,ContentType,Language,Journal,JournalISSN,JournalEISSN,Status,Volume,Issue,HostPublication,StartPage,EndPage,Year,Edition,Pages,City,Publisher,Series,SeriesISSN,SeriesEISSN,ISBN,Urls,ISRN,DOI,ISI,PMID,ScopusId,NBN,LocalId,ArchiveNumber,Keywords,Categories,ResearchSubjects,Projects,Notes,Abstract,Opponents,Supervisors,Examiners,Patent,ThesisLevel,Credits,Programme,Subject,Uppsok,DefencePlace,DefenceLanguage,DefenceDate,CreatedDate,PublicationDate,LastUpdated,FullTextLink,Funder,NumberOfAuthors,ExternalCooperation,FridaLevel,PartOfThesis,PublicationSubtype,Conference,Term,ArticleId,Reviewed,FreeFulltext,SustainableDevelopment,Contributor
1759543,"Abdeen, Waleed [wxa] [0000-0001-8142-9631] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",Taxonomic Trace Links Recommender : Context Aware Hierarchical Classification,Konferensbidrag,Refereegranskat,eng,,,,,3378,,CEUR Workshop Proceedings,,,2023,,,,CEUR-WS,CEUR Workshop Proceedings ; 3378,,1613-0073,,https://ceur-ws.org/Vol-3378/PT-paper4.pdf,,,,,2-s2.0-85158974761,urn:nbn:se:bth-24623,,,Hierarchical classification;Recommender system;Requirements traceability;Taxonomy;Knowledge organization;Recommender systems;Requirements engineering;Context information;Context-Aware;Domain specific;Organization structures;Text information;Taxonomies,Programvaruteknik (10205),,,,"<p>In the taxonomic trace links concept, the source and target artifacts are connected through knowledge organization structure (e.g., taxonomy). We introduce in this paper a recommender system that recommends labels to requirements artifacts from domain-specific taxonomy to establish taxonomic trace links. The tool exploits the hierarchical nature of taxonomies and uses requirements text and context information as input to the recommender. © 2023 Copyright for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).</p>",,,,,,,,,,,,,2023-05-26,2023-05-26,2023-05-26,https://bth.diva-portal.org/smash/get/diva2:1759543/FULLTEXT01.pdf,Trafikverket,1,,deprecated,,publishedPaper,"Joint of REFSQ-2023 Workshops, Doctoral Symposium, Posters and Tools Track and Journal Early Feedback, REFSQ-JP 2023, Barcelona, 17 April 2023 through 20 April 2023",,,true,true,,
1653133,"Abdeen, Waleed [wxa] [0000-0001-8142-9631] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Chen, Xingru [xcn] [0000-0003-1181-9049] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Unterkalmsteiner, Michael [mun] [0000-0003-4118-0952] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",An approach for performance requirements verification and test environments generation,Artikel i tidskrift,Refereegranskat,eng,Requirements Engineering,0947-3602,1432-010X,published,28,1,,117,144,2023,,,,Springer,,,,,,,10.1007/s00766-022-00379-3,782347800001,,2-s2.0-85128212480,urn:nbn:se:bth-22848,,,Model-based testing;Performance requirements modeling;Performance aspects;Natural language requirements,Programvaruteknik (10205);Datorsystem (20206),,,<p>open access</p>,"<p>Model-based testing (MBT) is a method that supports the design and execution of test cases by models that specify theintended behaviors of a system under test. While systematic literature reviews on MBT in general exist, the state of the arton modeling and testing performance requirements has seen much less attention. Therefore, we conducted a systematic map-ping study on model-based performance testing. Then, we studied natural language software requirements specificationsin order to understand which and how performance requirements are typically specified. Since none of the identified MBTtechniques supported a major benefit of modeling, namely identifying faults in requirements specifications, we developed thePerformance Requirements verificatiOn and Test EnvironmentS generaTion approach (PRO-TEST). Finally, we evaluatedPRO-TEST on 149 requirements specifications. We found and analyzed 57 primary studies from the systematic mappingstudy and extracted 50 performance requirements models. However, those models don’t achieve the goals of MBT, whichare validating requirements, ensuring their testability, and generating the minimum required test cases. We analyzed 77 Soft-ware Requirements Specification (SRS) documents, extracted 149 performance requirements from those SRS, and illustratethat with PRO-TEST we can model performance requirements, find issues in those requirements and detect missing ones.We detected three not-quantifiable requirements, 43 not-quantified requirements, and 180 underspecified parameters in the149 modeled performance requirements. Furthermore, we generated 96 test environments from those models. By modelingperformance requirements with PRO-TEST, we can identify issues in the requirements related to their ambiguity, measur-ability, and completeness. Additionally, it allows to generate parameters for test environments</p>",,,,,,,,,,,,,2022-04-21,2022-04-21,2023-06-19,https://bth.diva-portal.org/smash/get/diva2:1653133/FULLTEXT01.pdf,Trafikverket [DCAT project],3,,deprecated,urn:nbn:se:bth-23570,,,,,true,true,,
1896290,"Abdeen, Waleed [wxa] [0000-0001-8142-9631] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Unterkalmsteiner, Michael [mun] [0000-0003-4118-0952] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Wnuk, Krzysztof [krw] [0000-0003-3567-9300] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Chirtoglou, Alexandros (Hochtief ViCon GmbH, Germany);Schimanski, Christoph (Hochtief ViCon GmbH, Germany);Goli, Heja (Hochtief ViCon GmbH, Germany)",Multi-Label Requirements Classification with Large Taxonomies,Konferensbidrag,Refereegranskat,eng,,,,,,,Proceedings of the IEEE International Conference on Requirements Engineering,264,274,2024,,,,IEEE Computer Society,International Requirements Engineering Conference,1090-705X,,9798350395112,https://arxiv.org/abs/2406.04797,,10.1109/RE59067.2024.00033,1300544600025,,2-s2.0-85202739889,urn:nbn:se:bth-26893,,,domain-specific tax-onomy;large-scale;multi-label;requirements classification;Multiprogramming;Requirements engineering;Software design;Taxation;Taxonomies;Development activity;Domain specific;Large-scales;Multi-class classification;Multi-label classifications;Multi-labels;Requirements classifications;Requirements traceability;Sentence-based;Zero-shot learning,Programvaruteknik (10205),,,,"<p>Context and motivation:</p><p>Classification aids software development activities by organizing requirements in classes for easier access and retrieval. The majority of requirements classification research has, so far, focused on binary or multi-class classification.</p><p>Question/problem:</p><p>Multi-label classification with large taxonomies could aid requirements traceability but is prohibitively costly with supervised training. Hence, we investigate zero-short learning to evaluate the feasibility of multi-label requirements classification with large taxonomies.</p><p>Principal ideas/results:</p><p>We associated, together with domain experts from the industry, 129 requirements with 769 labels from taxonomies ranging between 250 and 1183 classes. Then, we conducted a controlled experiment to study the impact of the type of classifier, the hierarchy, and the structural characteristics of taxonomies on the classification performance. The results show that: (1) The sentence-based classifier had a significantly higher recall compared to the word-based classifier; however, the precision and F1-score did not improve significantly. (2) The hierarchical classification strategy did not always improve the performance of requirements classification. (3) The total and leaf nodes of the taxonomies have a strong negative correlation with the recall of the hierarchical sentence-based classifier.</p><p>Contribution:</p><p>We investigate the problem of multi-label requirements classification with large taxonomies, illustrate a systematic process to create a ground truth involving industry participants, and provide an analysis of different classification pipelines using zero-shot learning. © 2024 IEEE.</p>",,,,,,,,,,,,,2024-09-10,2024-09-10,2025-08-07,https://bth.diva-portal.org/smash/get/diva2:1896290/FULLTEXT01.pdf,,6,,deprecated,urn:nbn:se:bth-28451,publishedPaper,"32nd IEEE International Requirements Engineering Conference, RE 2024, Reykjavik, June 24-28 2024",,,true,true,,
1957172,"Abdeen, Waleed [wxa] [0000-0001-8142-9631] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Unterkalmsteiner, Michael [mun] [0000-0003-4118-0952] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Wnuk, Krzysztof [krw] [0000-0003-3567-9300] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Ferrari, Alessio (University College Dublin, Ireland);Chatzipetrou, Panagiota (Örebro University)",Language Models to Support Multi-Label Classification of Industrial Data,Konferensbidrag,Refereegranskat,eng,,,,,,,"Proceedings - 2025 IEEE International Conference on Software Analysis, Evolution and Reengineering, SANER 2025",45,55,2025,,,,Institute of Electrical and Electronics Engineers (IEEE),Proceedings of the ... European Conference on Software Maintenance and Reengineering,1534-5351,,9798331535100,,,10.1109/SANER64311.2025.00013,1506888600005,,2-s2.0-105007293644,urn:nbn:se:bth-27813,,,multi-label;requirements classification;taxonomy;language models,Språkbehandling och datorlingvistik (10208);Programvaruteknik (10205),Software Engineering,,,"<p><strong>Background: </strong></p><p>Multi-label requirements classification is an inherently challenging task, especially when dealing with numerous classes at varying levels of abstraction. The task becomes even more difficult when a limited number of requirements is available to train a supervised classifier.  Zero-shot learning does not require training data and can potentially address this problem.</p><p><strong>Objective:</strong></p><p>This paper investigates the performance of zero-shot classifiers on a multi-label industrial dataset. The study focuses on classifying requirements according to a hierarchical taxonomy designed to support requirements tracing.</p><p><strong>Method:</strong></p><p>We compare multiple variants of zero-shot classifiers using different embeddings, including 9 language models (LMs) with a reduced number of parameters (up to 3B), e.g., BERT, and 5 large LMs (LLMs) with a large number of parameters (up to 70B), e.g., Llama. Our ground truth includes 377 requirements and 1968 labels from 6 output spaces. For the evaluation, we adopt traditional metrics, i.e., precision, recall, $F_1$, and $F_\beta$, as well as a novel label distance metric $D_n$. This aims to better capture the classification's hierarchical nature and to provide a more nuanced evaluation of how far the results are from the ground truth.</p><p><strong>Results:</strong></p><p>1) The top-performing model on 5 out of 6 output spaces is T5-xl, with maximum  $F_\beta = 0.78$ and $D_n = 0.04$, while BERT base outperformed the other models in one case, with maximum $F_\beta = 0.83$ and $D_n = 0.04$. 2) LMs with smaller parameter size produce the best classification results compared to LLMs. Thus, addressing the problem in practice is feasible as limited computing power is needed. 3) The model architecture (autoencoding, autoregression, and sentence-to-sentence) significantly affects the classifier's performance.</p><p><strong>Contribution:</strong></p><p>We conclude that using zero-shot learning for multi-label requirements classification offers promising results. We also present a novel metric that can be used to select the top-performing model for this problem.</p>",,,,,,,,,,,,,2025-05-08,2025-05-08,2025-08-18,https://bth.diva-portal.org/smash/get/diva2:1957172/FULLTEXT01.pdf,KK-stiftelsen [20180010],5,,deprecated,urn:nbn:se:bth-28451,publishedPaper,"32nd IEEE International Conference on Software Analysis, Evolution and Reengineering, SANER 2025, Monteral, Mar 4-7, 2025",,,true,,,
1987126,"Abdeen, Waleed [wxa] [0000-0001-8142-9631] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Wnuk, Krzysztof [krw] [0000-0003-3567-9300] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Unterkalmsteiner, Michael [mun] [0000-0003-4118-0952] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Chirtoglou, Alexandros (HOCHTIEF ViCon GmbH, Essen, Germany)",Challenges of Requirements Communication and Digital Assets Verification in Infrastructure Projects,Artikel i tidskrift,Refereegranskat,eng,e-Informatica Software Engineering Journal,1897-7979,2084-4840,published,19,1,,250107,250107,2025,,,,,,,,,,,10.37190/e-inf250107,,,,urn:nbn:se:bth-28447,,,infrastructure;requirements;digital assets;verification;validation,Programvaruteknik (10205);Infrastrukturteknik (20104),Systems Engineering;Software Engineering,,,"<p><strong>Background:</strong> Poor communication of requirements between clients and suppliers contributes to project overruns, in both software and infrastructure projects. Existing literature offers limited insights into the communication challenges at this interface.</p><p><strong>Aim: </strong>Our research aim to explore the processes and associated challenges with requirements activities that include client-supplier interaction and communication.</p><p><strong>Method:</strong> we study requirements validation, communication, and digital asset verification processes through two case studies in the road and railway sectors, involving interviews with ten experts across three companies.</p><p><strong>Results:</strong> We identify 13 challenges, along with their causes and consequences, and suggest solution areas from existing literature.</p><p><strong>Conclusion:</strong> Interestingly, the challenges in infrastructure projects mirror those found in software engineering, highlighting a need for further research to validate potential solutions.</p>",,,,,,,,,,,,,2025-08-05,2025-08-05,2025-09-12,https://bth.diva-portal.org/smash/get/diva2:1987126/FULLTEXT01.pdf,,4,,deprecated,urn:nbn:se:bth-28451,,,,,true,,,
1887560,"Abualhaija, Sallam (University of Luxembourg, Luxembourg);Basak Aydemir, F. (Utrecht University, Netherlands);Dalpiaz, Fabiano (Utrecht University, Netherlands);Dell’Anna, Davide (Utrecht University, Netherlands);Ferrari, Alessio (CNR ISTI, Pisa, Italy);Franch, Xavier (Universitat Politecnica de Catalunya, Spain);Fucci, Davide [dfu] [0000-0002-0679-4361] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",Replication in Requirements Engineering : The NLP for RE Case,Artikel i tidskrift,Refereegranskat,eng,ACM Transactions on Software Engineering and Methodology,1049-331X,1557-7392,published,33,6,,,,2024,,,,Association for Computing Machinery (ACM),,,,,,,10.1145/3658669,1283366800012,,2-s2.0-85198652329,urn:nbn:se:bth-26775,,,annotation;ID card;Natural Language Processing (NLP);replication;Requirements Engineering (RE);tool reconstruction;Employment;Iterative methods;Natural language processing systems;ID cards;Language processing;Language processing techniques;Natural language processing;Natural languages;Requirement engineering;Requirements engineering,Programvaruteknik (10205),,,,"<p>Natural language processing (NLP) techniques have been widely applied in the requirements engineering (RE) field to support tasks such as classification and ambiguity detection. Despite its empirical vocation, RE research has given limited attention to replication of NLP for RE studies. Replication is hampered by several factors, including the context specificity of the studies, the heterogeneity of the tasks involving NLP, the tasks’ inherent hairiness, and, in turn, the heterogeneous reporting structure. To address these issues, we propose a new artifact, referred to as ID-Card, whose goal is to provide a structured summary of research papers emphasizing replication-relevant information. We construct the ID-Card through a structured, iterative process based on design science. In this article: (i) we report on hands-on experiences of replication; (ii) we review the state-of-the-art and extract replication-relevant information: (iii) we identify, through focus groups, challenges across two typical dimensions of replication: data annotation and tool reconstruction; and (iv) we present the concept and structure of the ID-Card to mitigate the identified challenges. This study aims to create awareness of replication in NLP for RE. We propose an ID-Card that is intended to foster study replication but can also be used in other contexts, e.g., for educational purposes. © 2024 Copyright held by the owner/author(s).</p>",,,,,,,,,,,,,2024-08-08,2024-08-08,2024-10-04,https://bth.diva-portal.org/smash/get/diva2:1887560/FULLTEXT01.pdf,KK-stiftelsen [20180010],7,,deprecated,,,,,151,true,true,,
1427659,"Abualhaija, Sallam (University of Luxembourg, LUX);Fucci, Davide [dfu] [0000-0002-0679-4361] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Dalpiaz, Fabiano (Utrecht University, NLD);Franch, Xavier (Universitat Politècnica de Catalunya, ESP)",3rd workshop on natural language processing for requirements engineering (NLP4RE'20),Konferensbidrag,Refereegranskat,eng,,,,,2584,,CEUR Workshop Proceedings,,,2020,,,,CEUR-WS,CEUR Workshop Proceedings,,1613-0073,,,,,,,2-s2.0-85082656417,urn:nbn:se:bth-19414,,,,Programvaruteknik (10205),,,<p>Open access</p><p>Editorial</p>,,,,,,,,,,,,,,2020-04-30,2020-04-30,2023-03-24,https://bth.diva-portal.org/smash/get/diva2:1427659/FULLTEXT01.pdf,,4,,deprecated,,publishedPaper,"Joint 26th International Conference on Requirements Engineering: Foundation for Software Quality Workshops, Doctoral Symposium, Live Studies Track, and Poster Track, Pisa; Italy; 24 March 2020 through 27 March 2020",,,true,,,
1650492,"Adigun, Jubril Gbolahan (University of Innsbruck, DEU);Camilli, Matteo (Free University of Bozen–Bolzano, ITA);Felderer, Michael [mfd] [0000-0003-3818-4442] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Giusti, Andrea (Fraunhofer Italia Research, ITA);Matt, Dominik T. (Free University of Bozen–Bolzano, ITA);Perini, Anna (University of Trento, ITA);Russo, Barbara (Free University of Bozen–Bolzano, ITA);Susi, Angelo (Fondazione Bruno Kessler, ITA)",Collaborative Artificial Intelligence Needs Stronger Assurances Driven by Risks,Artikel i tidskrift,Refereegranskat,eng,Computer,0018-9162,1558-0814,published,55,3,,52,63,2022,,,,IEEE Computer Society,,,,,,,10.1109/MC.2021.3131990,769986500008,,2-s2.0-85127599993,urn:nbn:se:bth-22818,,,Artificial intelligence systems;Human being;Shared spaces,Datavetenskap (datalogi) (10201),,,,"<p>Collaborative artificial intelligence systems (CAISs) aim to work with humans in a shared space to achieve a common goal, but this can pose hazards that could harm human beings. We identify emerging problems in this context and report our vision of and progress toward a risk-driven assurance process for CAISs.</p>",,,,,,,,,,,,,2022-04-07,2022-04-07,2022-04-19,,,8,,deprecated,,,,,,true,,,
1744132,"Alexandre, Rui Carlos Josino (UNIFESP,  Brazil);Martins, Luiz Eduardo Galvao (UNIFESP,  Brazil);Gorschek, Tony [tgo] [0000-0002-3646-235x] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",Cybersecurity Risk Assessment for Medium-Risk Drones : A Systematic Literature Review,"Artikel, forskningsöversikt",Refereegranskat,eng,IEEE Aerospace and Electronic Systems Magazine,0885-8985,1557-959X,published,38,6,,28,43,2023,,,,Institute of Electrical and Electronics Engineers (IEEE),,,,,,,10.1109/MAES.2023.3251969,1004539500003,,2-s2.0-85149452274,urn:nbn:se:bth-24375,,,Cybersecurity;Denial-of-service attack;NASA;Remote control;Risk assessment;Safety engineering;Software engineering;Aircraft systems;Airworthiness;Beyond visual line-of-sight;Conops;Cyber security;Line of Sight;Lines-of-sight;Regulation;Remotely piloted aircraft;Remotely piloted aircraft system;Risks assessments;UAS;Visual line;Vulnerability;Drones;Aircraft;BVLOS;Computer security;RPAS;Safety;Visualization;vulnerabilities,Programvaruteknik (10205);Datorsystem (20206),,,,"<p>The increased demand for Remotely Piloted Aircraft Systems (RPAS) in Beyond Visual Line-Of-Sight (BVLOS) operations gives rise to a set of concerns regarding cybersecurity that, if not addressed, can lead to the unsafe operation of RPASs. To assist the airworthiness evaluation that is performed by Civil Aviation Authorities (CAAs), we identified several processes that are used to evaluate the cybersecurity of RPAS. We conducted a Systematic Literature Review (SLR) by selecting 30 papers (out of 211 screened) that were published during the past five years. The results of our SLR indicate the importance of cybersecurity to the safe operation of RPAS. It is evident that there is a lack of a systematic process to enable a cybersecurity review of RPAS. We observe that common cyber threats to RPAS are related to jamming, spoofing, and DOS/DDOS (Denial of Service/Distributed Denial of Service). Processes relevant to the assessment of RPAS cybersecurity exist, however they differ in safety concerns from our perspective. In addition, with only one exception, the methods have not been used, and/or the use has not been reported as pertaining to industrial application. The most frequently cited vulnerabilities are those related to GPS and datalinks. </p>",,,,,,,,,,,,,2023-03-17,2023-03-17,2023-08-08,,KK-stiftelsen [20180010],3,,deprecated,,,,,,true,,,
1992791,"Ali, Nauman bin [nal] [0000-0001-7266-5632] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Börstler, Jürgen [jub] [0000-0003-0639-4234] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",On the Relevance of Paper-Type Information in Systematic Mapping Studies in Software Engineering,Konferensbidrag,Refereegranskat,eng,,,,,,,"Proceedings - 2025 IEEE/ACM International Workshop on Methodological Issues with Empirical Studies in Software Engineering, WSESE 2025",44,47,2025,,,,Institute of Electrical and Electronics Engineers (IEEE),,,,9798331502256,,,10.1109/WSESE66602.2025.00014,,,2-s2.0-105012157648,urn:nbn:se:bth-28556,,,Mapping Study;Scoping Review;Scoping Study;Secondary Study;Systematic Map;Mapping;Paper Products;Philosophical Aspects;Mapping Studies;Paper-type;Quality Assessment;Scoping;Systematic Mapping Studies;Systematic Maps;Type Information;Software Engineering,Programvaruteknik (10205),,,,"<p>Systematic Mapping Studies (SMSs) are valuable in evidence-based software engineering research. SMSs aim to provide an overview of research, identify gaps and trends, and assess the feasibility of conducting a more focused systematic literature review. In current guidelines for conducting SMSs, a quality assessment of the included papers is suggested only when the research questions explicitly require such a quality assessment. We agree with the recommendation that quality assessment is generally non-mandatory. However, SMSs deal with papers ranging from opinion papers to papers reporting highly rigorous empirical studies. Therefore, in this paper, we argue that analyzing the type of papers is essential for almost every intended purpose of an SMS. Otherwise, without distinguishing papers based on their types, we risk deriving a less informative or incomplete overview or, at worst, a misleading overview of research. Petersen et al. 'encourage' the classification of papers into six paper types as proposed by Wieringa et al.: evaluation research, solution proposal, validation research, philosophical papers, opinion papers, and personal experience papers. Given the lenient guidelines on assessing the quality of included studies, we recommend a stronger focus on classifying papers by type. </p>",,,,,,,,,,,,,2025-08-28,2025-08-28,2025-08-28,,ELLIIT - The Linköping‐Lund Initiative on IT and Mobile Communications;KK-stiftelsen [20220235],2,,deprecated,,publishedPaper,"2025 IEEE/ACM International Workshop on Methodological Issues with Empirical Studies in Software Engineering, WSESE 2025, Ottawa, May 3, 2025",,,true,,,
