citationid,paperid,Name,Year,Title,Abstract,FullTextLink,topics,probs,representations
Abdeen_2_2024,1896290,"Abdeen, Waleed [wxa] [0000-0001-8142-9631] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Unterkalmsteiner, Michael [mun] [0000-0003-4118-0952] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Wnuk, Krzysztof [krw] [0000-0003-3567-9300] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Chirtoglou, Alexandros (Hochtief ViCon GmbH, Germany);Schimanski, Christoph (Hochtief ViCon GmbH, Germany);Goli, Heja (Hochtief ViCon GmbH, Germany)",2024,Multi-Label Requirements Classification with Large Taxonomies,"<p>Context and motivation:</p><p>Classification aids software development activities by organizing requirements in classes for easier access and retrieval. The majority of requirements classification research has, so far, focused on binary or multi-class classification.</p><p>Question/problem:</p><p>Multi-label classification with large taxonomies could aid requirements traceability but is prohibitively costly with supervised training. Hence, we investigate zero-short learning to evaluate the feasibility of multi-label requirements classification with large taxonomies.</p><p>Principal ideas/results:</p><p>We associated, together with domain experts from the industry, 129 requirements with 769 labels from taxonomies ranging between 250 and 1183 classes. Then, we conducted a controlled experiment to study the impact of the type of classifier, the hierarchy, and the structural characteristics of taxonomies on the classification performance. The results show that: (1) The sentence-based classifier had a significantly higher recall compared to the word-based classifier; however, the precision and F1-score did not improve significantly. (2) The hierarchical classification strategy did not always improve the performance of requirements classification. (3) The total and leaf nodes of the taxonomies have a strong negative correlation with the recall of the hierarchical sentence-based classifier.</p><p>Contribution:</p><p>We investigate the problem of multi-label requirements classification with large taxonomies, illustrate a systematic process to create a ground truth involving industry participants, and provide an analysis of different classification pipelines using zero-shot learning. © 2024 IEEE.</p>",https://bth.diva-portal.org/smash/get/diva2:1896290/FULLTEXT01.pdf,"[5, 5, 5]","[0.3514300749430496, 1.0, 0.3316663854210369]","[['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction']]"
Abdeen_3_2025,1957172,"Abdeen, Waleed [wxa] [0000-0001-8142-9631] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Unterkalmsteiner, Michael [mun] [0000-0003-4118-0952] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Wnuk, Krzysztof [krw] [0000-0003-3567-9300] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Ferrari, Alessio (University College Dublin, Ireland);Chatzipetrou, Panagiota (Örebro University)",2025,Language Models to Support Multi-Label Classification of Industrial Data,"<p><strong>Background: </strong></p><p>Multi-label requirements classification is an inherently challenging task, especially when dealing with numerous classes at varying levels of abstraction. The task becomes even more difficult when a limited number of requirements is available to train a supervised classifier.  Zero-shot learning does not require training data and can potentially address this problem.</p><p><strong>Objective:</strong></p><p>This paper investigates the performance of zero-shot classifiers on a multi-label industrial dataset. The study focuses on classifying requirements according to a hierarchical taxonomy designed to support requirements tracing.</p><p><strong>Method:</strong></p><p>We compare multiple variants of zero-shot classifiers using different embeddings, including 9 language models (LMs) with a reduced number of parameters (up to 3B), e.g., BERT, and 5 large LMs (LLMs) with a large number of parameters (up to 70B), e.g., Llama. Our ground truth includes 377 requirements and 1968 labels from 6 output spaces. For the evaluation, we adopt traditional metrics, i.e., precision, recall, $F_1$, and $F_\beta$, as well as a novel label distance metric $D_n$. This aims to better capture the classification's hierarchical nature and to provide a more nuanced evaluation of how far the results are from the ground truth.</p><p><strong>Results:</strong></p><p>1) The top-performing model on 5 out of 6 output spaces is T5-xl, with maximum  $F_\beta = 0.78$ and $D_n = 0.04$, while BERT base outperformed the other models in one case, with maximum $F_\beta = 0.83$ and $D_n = 0.04$. 2) LMs with smaller parameter size produce the best classification results compared to LLMs. Thus, addressing the problem in practice is feasible as limited computing power is needed. 3) The model architecture (autoencoding, autoregression, and sentence-to-sentence) significantly affects the classifier's performance.</p><p><strong>Contribution:</strong></p><p>We conclude that using zero-shot learning for multi-label requirements classification offers promising results. We also present a novel metric that can be used to select the top-performing model for this problem.</p>",https://bth.diva-portal.org/smash/get/diva2:1957172/FULLTEXT01.pdf,"[5, 5, 5, 5, 5, 5, 5, 5]","[0.1025929896363565, 0.09250398450764526, 1.0, 1.0, 0.5713247721714437, 1.0, 0.590000354242027, 1.0]","[['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction']]"
Bennin_34_2020,1521055,"Bennin, Kwabena Ebo [ebk] [0000-0001-9140-9271] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Ali, Nauman bin [nal] [0000-0001-7266-5632] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Börstler, Jürgen [jub] [0000-0003-0639-4234] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Yu, Xiao (City University of Hong Kong, HKG)",2020,Revisiting the Impact of Concept Drift on Just-in-Time Quality Assurance,"<p>The performance of software defect prediction(SDP) models is known to be dependent on the datasets used for training the models. Evolving data in a dynamic software development environment such as significant refactoring and organizational changes introduces new concept to the prediction model, thus making improved classification performance difficult. In this study, we investigate and assess the existence and impact of concept drift on SDP performances. We empirically asses the prediction performance of five models by conducting cross-version experiments using fifty-five releases of five open-source projects. Prediction performance fluctuated as the training datasets changed over time. Our results indicate that the quality and the reliability of defect prediction models fluctuate over time and that this instability should be considered by software quality teams when using historical datasets. The performance of a static predictor constructed with data from historical versions may degrade over time due to the challenges posed by concept drift. © 2020 IEEE.</p>",https://bth.diva-portal.org/smash/get/diva2:1521055/FULLTEXT01.pdf,"[5, 5, 5, 5, 5, 5, 5]","[0.04574321691873172, 0.06354737472624845, 0.05798587304044605, 0.07659179713144158, 0.06912357163548478, 0.04044492851596871, 0.06554011298260992]","[['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction']]"
Blaschke_37_2024,1873415,"Blaschke, Konstantin [kbs] [0009-0009-2095-9060] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2024,Automated Model Quality Estimation and Change Impact Analysis on Model Histories,"<p>Cyber-Physical Systems integrate hardware with software in complex applications. To mitigate the complexity, engineers rely on model-based systems engineering approaches. Updates and function enhancements lead to frequently changing design constraints and objectives. These changes increase the need to rework and extend model artifacts of the system. This can cause quality degradation over time due to modeling errors, knowledge disparities, or a lack of guidelines. To enable efficient collaboration and reduce maintenance costs in model-based systems engineering, the industry needs a cost-efficient, scalable approach to monitor model quality. The work outlines a doctoral thesis investigating the potential of automated data-driven quality assessment strategies using model artifact history and model changes. We will extract metrics and model changes to establish quality feedback for system engineers. We aim to use manual model quality assessments to incorporate domain-specific expert knowledge into the automated strategy. The main goals are to lower the effort of model quality assessments, to provide practitioners with foresight on quality development, and to estimate task effort to improve model quality. </p>",,"[5, 5, 5, 5, 5]","[0.04316000208403172, 0.04099947442347569, 0.04358649032624377, 0.04590408374860496, 0.04449920445141917]","[['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction']]"
Blaschke_38_2024,1919986,"Blaschke, Konstantin [kbs] [0009-0009-2095-9060] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Barner, Simon (Fortiss, Munich, Germany)",2024,Towards the Estimation of Quality Attributes on System Model Histories,"<p>Companies increasingly rely on Model-Based Systems Engineering to develop Cyber-Physical Systems such as cars, aircraft, or medical devices. The quality of engineering model artifacts is key to efficient collaboration in systems engineering with multi-tier supply chains. Ensuring model artifact quality and comprehensibility for practitioners is challenging. Manual reviews are time- and cost-intensive and subject to bias, whereas existing automated methods based on syntactical rules and model metrics are limited in scope. The paper presents work towards swift quality feedback to system engineers during modeling. The concept allows domain and project-specific context and is applicable to industry-size model artifacts. We implement a data-driven estimation that combines automated model metric extraction with expert quality assessments. We leverage the system model version history from an open-source miniature automotive demonstrator. We assess the model versions' comprehensibility and showcase a semi-automated pipeline to initiate a model quality estimator. We achieve an average accuracy of 0.94 with a random forest approach on our test data.</p>",,"[5, 5, 9, 5, 5, 5, 5, 5]","[0.03584020230845286, 0.03841262618738222, 0.18478592049987663, 0.03723346836118482, 0.05333293697161062, 0.03877017532833267, 0.044777336856084864, 1.0]","[['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['code reviews', 'code review', 'code changes', 'modern code', 'knowledge sharing', 'review comments', 'developers', 'reviewers', 'reviewers feedback', 'code'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction']]"
BuarqueFranzosi_41_2025,1974502,"Buarque Franzosi, Diogo [dbu] [0000-0003-1432-5255] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Alégroth, Emil [EAL] [0000-0001-7526-3727] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Isaac, Maycel (Synteda Ab, Gothenburg, Sweden)",2025,LLM-Based Labelling of Recorded Automated GUI-Based Test Cases,"<p>Graphical User Interface (GUI) based testing is a commonly used practice in industry. Although valuable and, in many cases, necessary, it is associated with challenges such as high cost and requirements on both technical and domain expertise. Augmented testing, a novel approach to GUI test automation, aims to mitigate these challenges by allowing users to record and render test cases and test data directly on the GUI of the system under test (SUT). In this context, Scout is an augmented testing tool that captures system states and transitions during manual interaction with the SUT, storing them in a test model that is visually represented in the form of state trees and reports. While this representation provides basic overview of a test suite, e.g. about its size and number of scenarios, it is limited in terms of analysis depth, interpretability, and reproducibility. In particular, without human state labeling, it is challenging to produce meaningful and easily understandable test reports. To address this limitation, we present a novel solution and a demonstrator, integrated into Scout, which leverages large language models (LLMs) to enrich the model-based test case representation by automatically labeling and describing states and describing transitions. We conducted two experiments to evaluate the impact of the solution. First, we compared LLM-enhanced reports with expert-generated reports using embedding distance evaluation metrics. Second, we assessed the usability and perceived value of the enhanced reports through an industrial survey. The results of the study indicate that the plugin can improve readability, actionability, and interpretability of test reports. This work contributes to the automation of GUI testing by reducing the need for manual intervention, e.g. labeling, and technical expertise, e.g. to understand test case models. Although the solution is studied in the context of augmented testing, we argue for the solution's generalizability to related test automation techniques. In addition, we argue that this approach enables actionable insights and lays the groundwork for further research into autonomous testing based on Generative AI. </p>",https://bth.diva-portal.org/smash/get/diva2:1974502/FULLTEXT01.pdf,"[11, 13, 13, 13, 23, 23, 7, 23, 13, 35, 13]","[0.02374588473445595, 1.0, 1.0, 0.14685843578329796, 0.31006070852868306, 0.4216230251588438, 0.019325544855871762, 0.23830152553041198, 1.0, 1.0, 0.13741018499427293]","[['web applications', 'web', 'gui testing', 'test automation', 'gui test', 'based gui', 'similarity', 'automation', 'similo', 'testing'], ['gui testing', 'gui test', 'based testing', 'automated testing', 'test execution', 'testing practice', 'automated gui', 'gui', 'test automation', 'testing'], ['gui testing', 'gui test', 'based testing', 'automated testing', 'test execution', 'testing practice', 'automated gui', 'gui', 'test automation', 'testing'], ['gui testing', 'gui test', 'based testing', 'automated testing', 'test execution', 'testing practice', 'automated gui', 'gui', 'test automation', 'testing'], ['test cases', 'test selection', 'test information', 'testing test', 'testing', 'testing activities', 'test case', 'testing identified', 'assuring quality', 'test'], ['test cases', 'test selection', 'test information', 'testing test', 'testing', 'testing activities', 'test case', 'testing identified', 'assuring quality', 'test'], ['requirements engineering', 'requirements artifacts', 'requirements documents', 'causal relations', 'case generation', 'natural language', 'test cases', 'artifacts requirements', 'requirement', 'requirements'], ['test cases', 'test selection', 'test information', 'testing test', 'testing', 'testing activities', 'test case', 'testing identified', 'assuring quality', 'test'], ['gui testing', 'gui test', 'based testing', 'automated testing', 'test execution', 'testing practice', 'automated gui', 'gui', 'test automation', 'testing'], ['traceability links', 'traceability', 'suggests trace', 'traces', 'trace', 'taxonomies', 'knowledge organization', 'specific taxonomies', 'taxonomy', 'links requirements'], ['gui testing', 'gui test', 'based testing', 'automated testing', 'test execution', 'testing practice', 'automated gui', 'gui', 'test automation', 'testing']]"
Chuprina_52_2021,1556403,"Chuprina, Tatiana;Mendez, Daniel [dmz] [0000-0003-0619-6027] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Wnuk, Krzysztof [krw] [0000-0003-3567-9300] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2021,Towards Artefact-based Requirements Engineering for Data-Centric Systems,"<p>Many modern software-intensive systems employ artificial intelligence / machine-learning (AI/ML) components and are, thus, inherently data-centric. The behaviour of such systems depends on typically large amounts of data processed at run-Time rendering such non-deterministic systems as complex. This complexity growth affects our understanding on needs and practices in Requirements Engineering (RE). There is, however, still little guidance on how to handle requirements for such systems effectively: What are, for example, typical quality requirements classes What modelling concepts do we rely on or which levels of abstraction do we need to consider In fact, how to integrate such concepts into approaches for a more traditional RE still needs profound investigations. In this research preview paper, we report on ongoing efforts to establish an artefact-based RE approach for the development of datacentric systems (DCSs). To this end, we sketch a DCS development process with the newly proposed requirements categories and data-centric artefacts and briefly report on an ongoing investigation of current RE challenges in industry developing data-centric systems. © 2021 CEUR-WS. All rights reserved.</p>",https://bth.diva-portal.org/smash/get/diva2:1556403/FULLTEXT01.pdf,"[16, 1, 1]","[1.0, 0.1189910795199894, 0.45513583061208857]","[['ai', 'artificial intelligence', 'machine learning', 'evidence engineering', 'learning ml', 'manufacturing', 'industry', 'ml', 'forecasting', 'continuous delivery'], ['requirements quality', 'requirements engineering', 'requirements specifications', 'quality requirements', 'requirements artifacts', 'requirements attributes', 'requirement', 'requirements', 'quality factors', 'quality defects'], ['requirements quality', 'requirements engineering', 'requirements specifications', 'quality requirements', 'requirements artifacts', 'requirements attributes', 'requirement', 'requirements', 'quality factors', 'quality defects']]"
Edison_66_2024,1849092,"Edison, Henry [hed] [0000-0002-9494-8059] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Melegati, Jorge (Free University of Bozen-Bolzano, Italy);Bjarnason, Elizabeth (Lund University)",2024,Experimentation in Early-Stage Video Game Startups : Practices and Challenges,"<p>Experimentation has been considered critical for successful software product and business development, including in video game startups. Video game startups need “wow” qualities that distinguish them from the competition. Thus, they need to continuously experiment to find these qualities before running out of time and resources. In this study, we aimed to explore how these companies perform experimentation. We interviewed four co-founders of video game startups. Our findings identify six practices, or scenarios, through which video game startups conduct experiments and challenges associated with these. The initial results could inform these startups about the possibilities and challenges and guide future research. © The Author(s) 2024.</p>",https://bth.diva-portal.org/smash/get/diva2:1849092/FULLTEXT01.pdf,"[10, 10, 10, 10, 10, 10]","[0.11672284354770306, 0.0873180918651271, 0.11934223642096696, 0.11344802963377182, 0.10918883338939622, 0.11883932836369543]","[['startups', 'start ups', 'agile product', 'intelligence genai', 'innovation', 'genai', 'industry', 'opportunities', 'use cases', 'generative ai'], ['startups', 'start ups', 'agile product', 'intelligence genai', 'innovation', 'genai', 'industry', 'opportunities', 'use cases', 'generative ai'], ['startups', 'start ups', 'agile product', 'intelligence genai', 'innovation', 'genai', 'industry', 'opportunities', 'use cases', 'generative ai'], ['startups', 'start ups', 'agile product', 'intelligence genai', 'innovation', 'genai', 'industry', 'opportunities', 'use cases', 'generative ai'], ['startups', 'start ups', 'agile product', 'intelligence genai', 'innovation', 'genai', 'industry', 'opportunities', 'use cases', 'generative ai'], ['startups', 'start ups', 'agile product', 'intelligence genai', 'innovation', 'genai', 'industry', 'opportunities', 'use cases', 'generative ai']]"
Fischbach_78_2021,1568890,"Fischbach, Jannik (Qualicen GmbH, DEU);Frattini, Julian [juf] [0000-0003-3995-6125] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Spaans, Arjen (Qualicen GmbH, DEU);Kummeth, Maximilian (Qualicen GmbH, DEU);Vogelsang, Andreas (University of Cologne, DEU);Mendez, Daniel [dmz] [0000-0003-0619-6027] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Unterkalmsteiner, Michael [mun] [0000-0003-4118-0952] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2021,Automatic Detection of Causality in Requirement Artifacts : The CiRA Approach,"<p>[Context &amp;amp; motivation:] System behavior is often expressed by causal relations in requirements (e.g., If event 1, then event 2). Automatically extracting this embedded causal knowledge supports not only reasoning about requirements dependencies, but also various automated engineering tasks such as seamless derivation of test cases. However, causality extraction from natural language (NL) is still an open research challenge as existing approaches fail to extract causality with reasonable performance. [Question/problem:] We understand causality extraction from requirements as a two-step problem: First, we need to detect if requirements have causal properties or not. Second, we need to understand and extract their causal relations. At present, though, we lack knowledge about the form and complexity of causality in requirements, which is necessary to develop a suitable approach addressing these two problems. [Principal ideas/results:] We conduct an exploratory case study with 14,983 sentences from 53 requirements documents originating from 18 different domains and shed light on the form and complexity of causality in requirements. Based on our findings, we develop a tool-supported approach for causality detection (CiRA, standing for Causality in Requirement Artifacts). This constitutes a first step towards causality extraction from NL requirements. [Contribution:] We report on a case study and the resulting tool-supported approach for causality detection in requirements. Our case study corroborates, among other things, that causality is, in fact, a widely used linguistic pattern to describe system behavior, as about a third of the analyzed sentences are causal. We further demonstrate that our tool CiRA achieves a macro-F 1 score of 82% on real word data and that it outperforms related approaches with an average gain of 11.06% in macro-Recall and 11.43% in macro-Precision. Finally, we disclose our open data sets as well as our tool to foster the discourse on the automatic detection of causality in the RE community. © 2021, Springer Nature Switzerland AG.</p>",https://bth.diva-portal.org/smash/get/diva2:1568890/FULLTEXT01.pdf,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7]","[1.0, 0.11192337467056988, 0.6390476127742367, 0.8934545796690057, 1.0, 1.0, 1.0, 0.8368626973974311, 0.7750331255492239, 0.6591843386324956, 0.4612550020442314, 0.3051916593478976, 1.0]","[['requirements engineering', 'requirements artifacts', 'requirements documents', 'causal relations', 'case generation', 'natural language', 'test cases', 'artifacts requirements', 'requirement', 'requirements'], ['requirements engineering', 'requirements artifacts', 'requirements documents', 'causal relations', 'case generation', 'natural language', 'test cases', 'artifacts requirements', 'requirement', 'requirements'], ['requirements engineering', 'requirements artifacts', 'requirements documents', 'causal relations', 'case generation', 'natural language', 'test cases', 'artifacts requirements', 'requirement', 'requirements'], ['requirements engineering', 'requirements artifacts', 'requirements documents', 'causal relations', 'case generation', 'natural language', 'test cases', 'artifacts requirements', 'requirement', 'requirements'], ['requirements engineering', 'requirements artifacts', 'requirements documents', 'causal relations', 'case generation', 'natural language', 'test cases', 'artifacts requirements', 'requirement', 'requirements'], ['requirements engineering', 'requirements artifacts', 'requirements documents', 'causal relations', 'case generation', 'natural language', 'test cases', 'artifacts requirements', 'requirement', 'requirements'], ['requirements engineering', 'requirements artifacts', 'requirements documents', 'causal relations', 'case generation', 'natural language', 'test cases', 'artifacts requirements', 'requirement', 'requirements'], ['requirements engineering', 'requirements artifacts', 'requirements documents', 'causal relations', 'case generation', 'natural language', 'test cases', 'artifacts requirements', 'requirement', 'requirements'], ['requirements engineering', 'requirements artifacts', 'requirements documents', 'causal relations', 'case generation', 'natural language', 'test cases', 'artifacts requirements', 'requirement', 'requirements'], ['requirements engineering', 'requirements artifacts', 'requirements documents', 'causal relations', 'case generation', 'natural language', 'test cases', 'artifacts requirements', 'requirement', 'requirements'], ['requirements engineering', 'requirements artifacts', 'requirements documents', 'causal relations', 'case generation', 'natural language', 'test cases', 'artifacts requirements', 'requirement', 'requirements'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['requirements engineering', 'requirements artifacts', 'requirements documents', 'causal relations', 'case generation', 'natural language', 'test cases', 'artifacts requirements', 'requirement', 'requirements']]"
Fischbach_79_2021,1556389,"Fischbach, Jannik (Qualicen GmbH, DEU);Frattini, Julian [juf] [0000-0003-3995-6125] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Vogelsang, Andreas (University of Cologne, DEU)",2021,CiRA : A Tool for the Automatic Detection of Causal Relationships in Requirements Artifacts,"<p>Requirements often specify the expected system behavior by using causal relations (e.g., If A, then B). Automatically extracting these relations supports, among others, two prominent RE use cases: Automatic test case derivation and dependency detection between requirements. However, existing tools fail to extract causality from natural language with reasonable performance. In this paper, we present our tool CiRA (Causality detection in Requirements Artifacts), which represents a first step towards automatic causality extraction from requirements. We evaluate CiRA on a publicly available data set of 61 acceptance criteria (causal: 32; non-causal: 29) describing the functionality of the German Corona-Warn-App. We achieve a macro1 score of 83 %, which corroborates the feasibility of our approach. © 2021 CEUR-WS. All rights reserved.</p>",https://bth.diva-portal.org/smash/get/diva2:1556389/FULLTEXT01.pdf,"[7, 7, 7, 7, 7, 5]","[0.6812841237935434, 0.11495512201343831, 0.2229095293105672, 1.0, 0.7516162347368807, 0.3878834072949286]","[['requirements engineering', 'requirements artifacts', 'requirements documents', 'causal relations', 'case generation', 'natural language', 'test cases', 'artifacts requirements', 'requirement', 'requirements'], ['requirements engineering', 'requirements artifacts', 'requirements documents', 'causal relations', 'case generation', 'natural language', 'test cases', 'artifacts requirements', 'requirement', 'requirements'], ['requirements engineering', 'requirements artifacts', 'requirements documents', 'causal relations', 'case generation', 'natural language', 'test cases', 'artifacts requirements', 'requirement', 'requirements'], ['requirements engineering', 'requirements artifacts', 'requirements documents', 'causal relations', 'case generation', 'natural language', 'test cases', 'artifacts requirements', 'requirement', 'requirements'], ['requirements engineering', 'requirements artifacts', 'requirements documents', 'causal relations', 'case generation', 'natural language', 'test cases', 'artifacts requirements', 'requirement', 'requirements'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction']]"
