citationid,Name,Year,Title,Abstract,FullTextLink
Santoso_268_2020,"Santoso, Ario (University of Innsbruck, AUT);Felderer, Michael [mfd] [0000-0003-3818-4442] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2020,Specification-driven predictive business process monitoring,"<p>Predictive analysis in business process monitoring aims at forecasting the future information of a running business process. The prediction is typically made based on the model extracted from historical process execution logs (event logs). In practice, different business domains might require different kinds of predictions. Hence, it is important to have a means for properly specifying the desired prediction tasks, and a mechanism to deal with these various prediction tasks. Although there have been many studies in this area, they mostly focus on a specific prediction task. This work introduces a language for specifying the desired prediction tasks, and this language allows us to express various kinds of prediction tasks. This work also presents a mechanism for automatically creating the corresponding prediction model based on the given specification. Differently from previous studies, instead of focusing on a particular prediction task, we present an approach to deal with various prediction tasks based on the given specification of the desired prediction tasks. We also provide an implementation of the approach which is used to conduct experiments using real-life event logs. © 2019, The Author(s).</p>",https://bth.diva-portal.org/smash/get/diva2:1371896/FULLTEXT01.pdf
Yu_359_2020,"Yu, Xiao (Wuhan University, CHN; );Liu, Jin (City University of Hong Kong, HKG);Keung, Jacky Wai (Hong Kong Polytechnic University, HKG);Li, Qing (Hong Kong Polytechnic University, HKG);Bennin, Kwabena Ebo [ebk] [0000-0001-9140-9271] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Xu, Zhou (Wuhan University, HKG);Wang, Junping (Chinese Academy of Sciences, CHN);Cui, Xiaohui (Guilin University of Electronic Technology, CHN)",2020,Improving Ranking-Oriented Defect Prediction Using a Cost-Sensitive Ranking SVM,"<p>Context: Ranking-oriented defect prediction (RODP) ranks software modules to allocate limited testing resources to each module according to the predicted number of defects. Most RODP methods overlook that ranking a module with more defects incorrectly makes it difficult to successfully find all of the defects in the module due to fewer testing resources being allocated to the module, which results in much higher costs than incorrectly ranking the modules with fewer defects, and the numbers of defects in software modules are highly imbalanced in defective software datasets. Cost-sensitive learning is an effective technique in handling the cost issue and data imbalance problem for software defect prediction. However, the effectiveness of cost-sensitive learning has not been investigated in RODP models. Aims: In this article, we propose a cost-sensitive ranking support vector machine (SVM) (CSRankSVM) algorithm to improve the performance of RODP models. Method: CSRankSVM modifies the loss function of the ranking SVM algorithm by adding two penalty parameters to address both the cost issue and the data imbalance problem. Additionally, the loss function of the CSRankSVM is optimized using a genetic algorithm. Results: The experimental results for 11 project datasets with 41 releases show that CSRankSVM achieves 1.12%-15.68% higher average fault percentile average (FPA) values than the five existing RODP methods (i.e., decision tree regression, linear regression, Bayesian ridge regression, ranking SVM, and learning-to-rank (LTR)) and 1.08%-15.74% higher average FPA values than the four data imbalance learning methods (i.e., random undersampling and a synthetic minority oversampling technique; two data resampling methods; RankBoost, an ensemble learning method; IRSVM, a CSRankSVM method for information retrieval). Conclusion: CSRankSVM is capable of handling the cost issue and data imbalance problem in RODP methods and achieves better performance. Therefore, CSRankSVM is recommended as an effective method for RODP. © 1963-2012 IEEE.</p>",
Silvander_278_2020,"Silvander, Johan [jsn] [0000-0003-0396-1993] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2020,Understanding human generated decision data,"<p>In order to design intent-driven systems, the understanding of how the data is generated is essential. Without the understanding of the data generation process, it is not possible to use interventions, and counterfactuals. Interventions, and counterfactuals, are useful tools in order to achieve an artificial intelligence which can improve the system itself. We will create an understanding, and a model, of how data about decisions are generated, as well as used, by human decision makers. The research data were collected with the help of focus group interviews, and questionnaires. The models were built and evaluated with the help of, bayesian statistics, probability programming, and discussions with the practitioners. When we are combining, probabilistic programming models, extended machine learning algorithms, and data science processes, into a directed acyclic graph, we can mimic the process of human generated decision data. We believe the usage of a directed acyclic graph, to combine the functions and models, is a good base for mimic human generated decision data. Our next step is to evaluate if flow-based programming can be used as a framework for realization of components, useful in intent-driven systems. © Springer Nature Switzerland AG 2020.</p>",
Lenz_183_2020,"Lenz, Luca (Sap);Felderer, Michael [mfd] [0000-0003-3818-4442] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]) (University of Innsbruck, AUT);Schwedes, Sascha (Sap);Müller, Kai (Sap)",2020,Explainable Priority Assessment of Software-Defects using Categorical Features at SAP HANA,"<p>We want to automate priority assessment of software defects. To do so we provide a tool which uses an explainability-driven framework and classical machine learning algorithms to keep the decisions transparent. Differing from other approaches we only use objective and categorical fields from the bug tracking system as features. This makes our approach lightweight and extremely fast. We perform binary classification with priority labels corresponding to deadlines. Additionally, we evaluate the tool on real data to ensure good performance in the practical use case. © 2020 ACM.</p>",https://bth.diva-portal.org/smash/get/diva2:1470733/FULLTEXT01.pdf
Strand_291_2020,"Strand, Anton (Ericsson AB, SWE);Gunnarson, Markus (Ericsson AB, SWE);Britto, Ricardo [rbr] [0000-0002-7220-9570] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]) (Ericsson AB, SWE);Usman, Muhammad [muu] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2020,Using a context-aware approach to recommend code reviewers : findings from an industrial case study,"<p>Code review is a commonly used practice in software development. It refers to the process of reviewing new code changes before they are merged with the code base. However, to perform the review, developers are mostly assigned manually to code changes. This may lead to problems such as: a time-consuming selection process, limited pool of known candidates and risk of over-allocation of a few reviewers. To address the above problems, we developed Carrot, a machine learning-based tool to recommend code reviewers. We conducted an improvement case study at Ericsson. We evaluated Carrot using a mixed approach. we evaluated the prediction accuracy using historical data and the metrical Mean Reciprocal Rank (MRR). Furthermore, we deployed the tool in one Ericsson project and evaluated how adequate the recommendations were from the point of view of the tool users and the recommended reviewers.We also asked the opinion of senior developers about the usefulness of the tool. The results show that Carrot can help identify relevant non-obvious reviewers and be of great assistance to new developers. However, there were mixed opinions on Carrot's ability to assist with workload balancing and the decrease code review lead time. © 2020 IEEE Computer Society. All rights reserved.</p>",https://bth.diva-portal.org/smash/get/diva2:1478802/FULLTEXT01.pdf
Sundelin_296_2020,"Sundelin, Anders [ars] [0000-0001-9898-2222] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Gonzalez-Huerta, Javier [jgh] [0000-0003-1350-7030] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Wnuk, Krzysztof [krw] [0000-0003-3567-9300] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2020,The hidden cost of backward compatibility : When deprecation turns into technical debt - An experience report,"<p>Context The micro-services architectural pattern advocates for the partitioning of functionality into loosely coupled services, which should be backward compatible, to enable independent upgrades. Deprecation is commonly used as a tool to manage multiple versions of methods or services. However, deprecation carries a cost in that tests might be duplicated and might rely on services that have become deprecated over time. Objective Using the terms of the Technical Debt metaphor, we explore the consequences of deprecation, and how it has affected the test base during seven years. Method We take an exploratory approach, reporting on experiences found before and after servicing parts of the incurred Technical Debt. We mine code repositories and validate our findings with experienced developers. Results We found that the growth of deprecation debt varied a lot. Some services experienced substantial growth, but most did not. Unit tests, where deprecation is visible in the developers' tools, were much less affected than integration tests, which lack such visualization mechanisms. While servicing debt of 121 out of 285 deprecated services, we discovered that up to 29% of the spent effort could be attributed to accrued interest. However, this is an upper bound; there could be less impact, depending on whether scripting could be used to service the debt or not. Conclusion This paper illustrates that integration tests can be viewed as a debt from the perspective of deprecated services. While the pattern was that deprecated services (debt principal) experienced no or little accrued interest, some, highly used, services experienced a lot, particularly during stressful times. Java-based tests, where deprecation is visible in the IDE, did not experience a similar pattern of increasing debt. We postulate that deprecation debt should be kept visible, either using developer tools or statistical reports. © 2020 ACM.</p>",https://bth.diva-portal.org/smash/get/diva2:1485431/FULLTEXT01.pdf
Kabir_156_2020,"Kabir, Md Alamgir (City University of Hong Kong, HKG);Keung, Jacky Wai (City University of Hong Kong, HKG);Bennin, Kwabena Ebo [ebk] [0000-0001-9140-9271] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Zhang, Miao (City University of Hong Kong, HKG)",2020,A Drift Propensity Detection Technique to Improve the Performance for Cross-Version Software Defect Prediction,"<p>In cross-version defect prediction (CVDP), historical data is derived from the prior version of the same project to predict defects of the current version. Recent studies in CVDP focus on subset selection to deal with the changes of the data distributions. No prior study has focused on training data arriving in streaming fashion across the versions where the significant differences between versions make the prediction unreliable. We refer to this situation as Drift Propensity (DP). By identifying DP, necessary steps can be taken (e.g., updating or retraining the model) to improve the prediction performance. In this paper, we investigate the chronological defect datasets and identify DP in the datasets. The no-memory data management technique is employed to manage the data distributions and a DP detection technique is proposed. The idea behind the proposed DP detection technique is to monitor the algorithm's error-rate. The DP detector triggers DP, warning, and control flags to take necessary steps. The proposed technique is significantly superior in identifying the distribution differences (p-value &lt; 0.05). The DP's identified in the data distributions achieve large effect sizes (Hedges' g ≥ 0.80) during the pair-wise comparisons. We observe that if the error-rate exponentially increases, it causes DP, resulting in prediction performance deterioration. We thus recommend researches and practitioners to address DP in the chronological datasets. Due to its potential effects in the datasets, the prediction models could be enhanced to get the best results in CVDP. © 2020 IEEE.</p>",
Zabardast_365_2020,"Zabardast, Ehsan [ehz] [0000-0002-1729-5154] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Gonzalez-Huerta, Javier [jgh] [0000-0003-1350-7030] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Šmite, Darja [xds] [0000-0003-1744-3118] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2020,"Refactoring, Bug Fixing, and New Development Effect on Technical Debt : An Industrial Case Study","<p>Code evolution, whether related to the development of new features, bug fixing, or refactoring, inevitably changes the quality of the code. One particular type of such change is the accumulation of Technical Debt (TD) resulting from sub-optimal design decisions. Traditionally, refactoring is one of the means that has been acknowledged to help to keep TD under control. Developers refactor their code to improve its maintainability and to repay TD (e.g., by removing existing code smells and anti-patterns in the source code). While the accumulation of the TD and the effect of refactoring on TD have been studied before, there is a lack of empirical evidence from industrial projects on how the different types of code changes affect the TD and whether specific refactoring operations are more effective for repaying TD. To fill this gap, we conducted an empirical study on an industrial project and investigated how Refactoring, Bug Fixing, and New Development affect the TD. We have analyzed 2, 286 commits in total to identify which activities reduced, kept the same, or even increased the TD, further delving into specific refactoring operations to assess their impact. Our results suggest that TD in the studied project is mainly introduced in the development of new features (estimated in 72.8 hours). Counterintuitively, from the commits tagged as refactoring, only 22.90% repay TD (estimated to repay 8.30 hours of the TD). Moreover, while some types of refactoring operations (e.g., Extract Method), help repaying TD, other refactoring operations (e.g., Move Class) are highly prone to introduce more TD. © 2020 IEEE.</p>",https://bth.diva-portal.org/smash/get/diva2:1506876/FULLTEXT01.pdf
Maksimov_189_2020,"Maksimov, Yuliyan [yma] [0000-0001-9968-2440] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för datavetenskap [881506]);Fricker, Samuel [sfr] [0000-0001-7368-4448] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2020,Licensing in Artificial Intelligence Competitions and Consortium Project Collaborations,"<p>Platforms are emerging that allow data scientists, software and hardware engineers to collaborate through organisational boundaries to develop systems of Artificial Intelligence (AI). Such collaboration involves the exchange of assets representing Intellectual Property (IP) of the collaborators. The tension between permitting access and protecting IP is thus one of the critical challenges faced by organisations willing to innovate through collaboration. Licensing is a common way to address the issue, but the influence of the licensing rules on the intended form of collaboration is still unclear.In this paper, we identify and analyse the rules that are used to regulate IP exchanges in two common forms of collaboration: a) competitions where one customer benchmarks and selects among multiple suppliers and b) consortium projects where multiple parties collaborate to product joint results. Due to our interest in AI, we have chosen to analyse the terms and conditions of competitions hosted on KaggleTM a leading online platform for Competitions. For consortium projects, we have analysed the DESCA Consortium Agreement template. DESCA is often used for European projects, an increasing number of which are used to fund AI innovation projects. We have applied In Vivo Coding and Concept Coding coding techniques to highlight rules applicable to IP exchange. We structured the findings in the form of tree graphs consisting of interdependent textual phrases to extract, group and compare the terms and conditions of IP sharing in each collaboration form and how they relate to the characteristics of the studied collaborations.The results indicate that each form of collaboration has its own set of rules that address comparable concerns but have different content. Practitioners, both platform providers and collaborators, can utilise our results to implement licensing for IP exchange that fits the desired type of collaboration. For researchers, our results represent a step towards the automation of license generation and enforcement. © 2020 IEEE.</p>",
Bennin_34_2020,"Bennin, Kwabena Ebo [ebk] [0000-0001-9140-9271] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Ali, Nauman bin [nal] [0000-0001-7266-5632] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Börstler, Jürgen [jub] [0000-0003-0639-4234] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Yu, Xiao (City University of Hong Kong, HKG)",2020,Revisiting the Impact of Concept Drift on Just-in-Time Quality Assurance,"<p>The performance of software defect prediction(SDP) models is known to be dependent on the datasets used for training the models. Evolving data in a dynamic software development environment such as significant refactoring and organizational changes introduces new concept to the prediction model, thus making improved classification performance difficult. In this study, we investigate and assess the existence and impact of concept drift on SDP performances. We empirically asses the prediction performance of five models by conducting cross-version experiments using fifty-five releases of five open-source projects. Prediction performance fluctuated as the training datasets changed over time. Our results indicate that the quality and the reliability of defect prediction models fluctuate over time and that this instability should be considered by software quality teams when using historical datasets. The performance of a static predictor constructed with data from historical versions may degrade over time due to the challenges posed by concept drift. © 2020 IEEE.</p>",https://bth.diva-portal.org/smash/get/diva2:1521055/FULLTEXT01.pdf
