citationid,paperid,Name,Year,Title,Abstract,FullTextLink,topics,probs,representations
Badampudi_26_2023,1786041,"Badampudi, Deepika [deb] [0000-0002-6215-1774] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Unterkalmsteiner, Michael [mun] [0000-0003-4118-0952] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Britto, Ricardo [rbr] [0000-0002-7220-9570] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2023,Modern Code Reviews - Survey of Literature and Practice,"<p>Background: Modern Code Review (MCR) is a lightweight alternative to traditional code inspections. While secondary studies on MCR exist, it is uanknown whether the research community has targeted themes that practitioners consider important.Objectives: The objectives are to provide an overview of MCR research, analyze the practitioners' opinions on the importance of MCR research, investigate the alignment between research and practice, and propose future MCR research avenues.Method: We conducted a systematic mapping study to survey state of the art until and including 2021, employed the Q-Methodology to analyze the practitioners' perception of the relevance of MCR research, and analyzed the primary studies' research impact.Results: We analyzed 244 primary studies, resulting in five themes. As a result of the 1,300 survey data points, we found that the respondents are positive about research investigating the impact of MCR on product quality and MCR process properties. In contrast, they are negative about human factor- and support systems-related research.Conclusion: These results indicate a misalignment between the state of the art and the themes deemed important by most survey respondents. Researchers should focus on solutions that can improve the state of MCR practice. We provide an MCR research agenda that can potentially increase the impact of MCR research. © 2023 Copyright held by the owner/author(s).</p>",https://bth.diva-portal.org/smash/get/diva2:1786041/FULLTEXT01.pdf,"[9, 9, 27]","[1.0, 1.0, 1.0]","[['code reviews', 'code review', 'code changes', 'modern code', 'knowledge sharing', 'review comments', 'developers', 'reviewers', 'reviewers feedback', 'code'], ['code reviews', 'code review', 'code changes', 'modern code', 'knowledge sharing', 'review comments', 'developers', 'reviewers', 'reviewers feedback', 'code'], ['quality attributes', 'metrics quality', 'ci components', 'ci environments', 'ci environment', 'quality properties', 'definitions quality', 'standards quality', 'maintainability', 'value delivery']]"
Bauer_30_2023,1785863,"Bauer, Andreas [aur] [0000-0002-2916-4020] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Alégroth, Emil [EAL] [0000-0001-7526-3727] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2023,We Tried and Failed : An Experience Report on a Collaborative Workflow for GUI-based Testing,"<p>Modern software development is a team-based effort supported by tools, processes, and practices. One integral part is automated testing, where developers incorporate automated tests on multiple levels of system abstraction, from low-level unit tests to high-level system tests and Graphical User Interface (GUI) tests. Furthermore, the common practices of code reviews allow collaboration on artifacts based on discussions that improve the artifact's quality and to share information within the team. However, the characteristics of GUI-based tests, due to the level of abstraction and visual elements, introduce additional requirements and complexities compared to code or lower-level test code review, delimiting the practice benefits.The objective of this work is to propose a tool-supported workflow that enables active collaboration among stakeholders and improves the efficiency and effectiveness of team-based development of GUI-based tests.To evaluate the workflow, and show proof of concept, a technical demonstrator for merging of GUI-based tests was to be developed. However, during its development, we encountered several unforeseen challenges that forced us to halt its development. We report the negative results from this development and the main challenges we encountered, as well as the rationale and the decisions we took towards this workflow.In conclusion, this work presents a negative research result on a failed attempt to propose a tool-supported workflow that enables active collaboration on GUI-based tests. The outcome and learnings of this work are intended to guide future research and prevent researchers from falling into the same pitfalls we did. © 2023 IEEE.</p>",https://bth.diva-portal.org/smash/get/diva2:1785863/FULLTEXT01.pdf,"[13, 13, 9, 13, 13]","[1.0, 1.0, 1.0, 1.0, 0.5030197954006862]","[['gui testing', 'gui test', 'based testing', 'automated testing', 'test execution', 'testing practice', 'automated gui', 'gui', 'test automation', 'testing'], ['gui testing', 'gui test', 'based testing', 'automated testing', 'test execution', 'testing practice', 'automated gui', 'gui', 'test automation', 'testing'], ['code reviews', 'code review', 'code changes', 'modern code', 'knowledge sharing', 'review comments', 'developers', 'reviewers', 'reviewers feedback', 'code'], ['gui testing', 'gui test', 'based testing', 'automated testing', 'test execution', 'testing practice', 'automated gui', 'gui', 'test automation', 'testing'], ['gui testing', 'gui test', 'based testing', 'automated testing', 'test execution', 'testing practice', 'automated gui', 'gui', 'test automation', 'testing']]"
Bauer_31_2023,1786185,"Bauer, Andreas [aur] [0000-0002-2916-4020] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Coppola, Ricardo (Politecnico di Torino, Italy);Alégroth, Emil [EAL] [0000-0001-7526-3727] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Gorschek, Tony [tgo] [0000-0002-3646-235x] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2023,Code review guidelines for GUI-based testing artifacts,"<p>Context: Review of software artifacts, such as source or test code, is a common practice in industrial practice. However, although review guidelines are available for source and low-level test code, for GUI-based testing artifacts, such guidelines are missing. Objective: The goal of this work is to define a set of guidelines from literature about production and test code, that can be mapped to GUI-based testing artifacts. Method: A systematic literature review is conducted, using white and gray literature to identify guidelines for source and test code. These synthesized guidelines are then mapped, through examples, to create actionable, and applicable, guidelines for GUI-based testing artifacts. Results: The results of the study are 33 guidelines, summarized in nine guideline categories, that are successfully mapped as applicable to GUI-based testing artifacts. Of the collected literature, only 10 sources contained test-specific code review guidelines. These guideline categories are: perform automated checks, use checklists, provide context information, utilize metrics, ensure readability, visualize changes, reduce complexity, check conformity with the requirements and follow design principles and patterns. Conclusion: This pivotal set of guidelines provides an industrial contribution in filling the gap of general guidelines for review of GUI-based testing artifacts. Additionally, this work highlights, from an academic perspective, the need for future research in this area to also develop guidelines for other specific aspects of GUI-based testing practice, and to take into account other facets of the review process not covered by this work, such as reviewer selection. © 2023 The Author(s)</p>",https://bth.diva-portal.org/smash/get/diva2:1786185/FULLTEXT01.pdf,"[13, 9, 13, 13, 13, 13, 13, 13]","[0.5954035366018086, 0.6512914977436289, 0.38047946656775655, 0.5463325593933704, 0.41471086313227595, 0.47824282631983833, 0.6966950215999733, 1.0]","[['gui testing', 'gui test', 'based testing', 'automated testing', 'test execution', 'testing practice', 'automated gui', 'gui', 'test automation', 'testing'], ['code reviews', 'code review', 'code changes', 'modern code', 'knowledge sharing', 'review comments', 'developers', 'reviewers', 'reviewers feedback', 'code'], ['gui testing', 'gui test', 'based testing', 'automated testing', 'test execution', 'testing practice', 'automated gui', 'gui', 'test automation', 'testing'], ['gui testing', 'gui test', 'based testing', 'automated testing', 'test execution', 'testing practice', 'automated gui', 'gui', 'test automation', 'testing'], ['gui testing', 'gui test', 'based testing', 'automated testing', 'test execution', 'testing practice', 'automated gui', 'gui', 'test automation', 'testing'], ['gui testing', 'gui test', 'based testing', 'automated testing', 'test execution', 'testing practice', 'automated gui', 'gui', 'test automation', 'testing'], ['gui testing', 'gui test', 'based testing', 'automated testing', 'test execution', 'testing practice', 'automated gui', 'gui', 'test automation', 'testing'], ['gui testing', 'gui test', 'based testing', 'automated testing', 'test execution', 'testing practice', 'automated gui', 'gui', 'test automation', 'testing']]"
Blaschke_38_2024,1919986,"Blaschke, Konstantin [kbs] [0009-0009-2095-9060] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Barner, Simon (Fortiss, Munich, Germany)",2024,Towards the Estimation of Quality Attributes on System Model Histories,"<p>Companies increasingly rely on Model-Based Systems Engineering to develop Cyber-Physical Systems such as cars, aircraft, or medical devices. The quality of engineering model artifacts is key to efficient collaboration in systems engineering with multi-tier supply chains. Ensuring model artifact quality and comprehensibility for practitioners is challenging. Manual reviews are time- and cost-intensive and subject to bias, whereas existing automated methods based on syntactical rules and model metrics are limited in scope. The paper presents work towards swift quality feedback to system engineers during modeling. The concept allows domain and project-specific context and is applicable to industry-size model artifacts. We implement a data-driven estimation that combines automated model metric extraction with expert quality assessments. We leverage the system model version history from an open-source miniature automotive demonstrator. We assess the model versions' comprehensibility and showcase a semi-automated pipeline to initiate a model quality estimator. We achieve an average accuracy of 0.94 with a random forest approach on our test data.</p>",,"[5, 5, 9, 5, 5, 5, 5, 5]","[0.03584020230845286, 0.03841262618738222, 0.18478592049987663, 0.03723346836118482, 0.05333293697161062, 0.03877017532833267, 0.044777336856084864, 1.0]","[['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['code reviews', 'code review', 'code changes', 'modern code', 'knowledge sharing', 'review comments', 'developers', 'reviewers', 'reviewers feedback', 'code'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction']]"
Börstler_45_2023,1802594,"Börstler, Jürgen [jub] [0000-0003-0639-4234] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Bennin, Kwabena E. ( Wageningen University and Research, Netherlands);Hooshangi, Sara (Virginia Tech, United States);Jeuring, Johan (Utrecht University, Netherlands);Keuning, Hieke (Utrecht University, Netherlands);Kleiner, Carsten (University of Applied Sciences & Arts Hannover, Germany);MacKellar, Bonnie (St John’s University, Queens, United States);Duran, Rodrigo (Aalto University, Finland);Störrle, Harald (QAware GmbH, Germany);Toll, Daniel (Linnæus University);van Assema, Jelle (University of Amsterdam, Netherlands)",2023,Developers talking about code quality,"<p>There are many aspects of code quality, some of which are difficult to capture or to measure. Despite the importance of software quality, there is a lack of commonly accepted measures or indicators for code quality that can be linked to quality attributes. We investigate software developers’ perceptions of source code quality and the practices they recommend to achieve these qualities. We analyze data from semi-structured interviews with 34 professional software developers, programming teachers and students from Europe and the U.S. For the interviews, participants were asked to bring code examples to exemplify what they consider good and bad code, respectively. Readability and structure were used most commonly as defining properties for quality code. Together with documentation, they were also suggested as the most common target properties for quality improvement. When discussing actual code, developers focused on structure, comprehensibility and readability as quality properties. When analyzing relationships between properties, the most commonly talked about target property was comprehensibility. Documentation, structure and readability were named most frequently as source properties to achieve good comprehensibility. Some of the most important source code properties contributing to code quality as perceived by developers lack clear definitions and are difficult to capture. More research is therefore necessary to measure the structure, comprehensibility and readability of code in ways that matter for developers and to relate these measures of code structure, comprehensibility and readability to common software quality attributes.</p>",https://bth.diva-portal.org/smash/get/diva2:1802594/FULLTEXT01.pdf,"[21, 21, 21, 21, 21, 21, 21, 21]","[0.30505785252934936, 0.7334945215988427, 1.0, 0.3292096803902188, 0.2809198064022721, 0.12354339692642659, 0.6189039236132724, 0.29291894005784014]","[['code quality', 'quality code', 'maintainability', 'internal quality', 'quality attributes', 'source code', 'maintainability reliability', 'metrics', 'code examples', 'quality'], ['code quality', 'quality code', 'maintainability', 'internal quality', 'quality attributes', 'source code', 'maintainability reliability', 'metrics', 'code examples', 'quality'], ['code quality', 'quality code', 'maintainability', 'internal quality', 'quality attributes', 'source code', 'maintainability reliability', 'metrics', 'code examples', 'quality'], ['code quality', 'quality code', 'maintainability', 'internal quality', 'quality attributes', 'source code', 'maintainability reliability', 'metrics', 'code examples', 'quality'], ['code quality', 'quality code', 'maintainability', 'internal quality', 'quality attributes', 'source code', 'maintainability reliability', 'metrics', 'code examples', 'quality'], ['code quality', 'quality code', 'maintainability', 'internal quality', 'quality attributes', 'source code', 'maintainability reliability', 'metrics', 'code examples', 'quality'], ['code quality', 'quality code', 'maintainability', 'internal quality', 'quality attributes', 'source code', 'maintainability reliability', 'metrics', 'code examples', 'quality'], ['code quality', 'quality code', 'maintainability', 'internal quality', 'quality attributes', 'source code', 'maintainability reliability', 'metrics', 'code examples', 'quality']]"
Coppola_53_2022,1698272,"Coppola, Riccardo (Politecnico di Torino, ITA);Alégroth, Emil [EAL] [0000-0001-7526-3727] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2022,A taxonomy of metrics for GUI-based testing research : A systematic literature review,"<p>Context: GUI-based testing is a sub-field of software testing research that has emerged in the last three decades. GUI-based testing techniques focus on verifying the functional conformance of the system under test (SUT) through its graphical user interface. However, despite the research domains growth, studies in the field have low reproducibility and comparability. One observed cause of these phenomena is identified as a lack of research rigor and commonly used metrics, including coverage metrics. Objective: We aim to identify the most commonly used metrics in the field and formulate a taxonomy of coverage metrics for GUI-based testing research. Method: We adopt an evidence-based approach to build the taxonomy through a systematic literature review of studies in the GUI-based testing domain. Identified papers are then analyzed with Open and Axial Coding techniques to identify hierarchical and mutually exclusive categories of metrics with common characteristics, usages, and applications. Results: Through the analysis of 169 papers and 315 metric definitions, we obtained a taxonomy with 55 codes (common names for metrics), 17 metric categories, and 4 higher level categories: Functional Level, GUI Level, Model Level and Code Level. We measure a higher number of mentions of Model and Code level metrics over Functional and GUI level metrics. Conclusions: We propose a taxonomy for use in future GUI-based testing research to improve the general quality of studies in the domain. In addition, the taxonomy is perceived to help enable more replication studies as well as macro-analysis of the current body of research. © 2022 Elsevier B.V.</p>",,"[13, 13, 13, 13, 13, 21, 21, 13]","[0.8579784452380098, 1.0, 0.37145825148025113, 0.6807348305161673, 0.5309917825760462, 0.7703423870013891, 1.0, 0.22593844289925308]","[['gui testing', 'gui test', 'based testing', 'automated testing', 'test execution', 'testing practice', 'automated gui', 'gui', 'test automation', 'testing'], ['gui testing', 'gui test', 'based testing', 'automated testing', 'test execution', 'testing practice', 'automated gui', 'gui', 'test automation', 'testing'], ['gui testing', 'gui test', 'based testing', 'automated testing', 'test execution', 'testing practice', 'automated gui', 'gui', 'test automation', 'testing'], ['gui testing', 'gui test', 'based testing', 'automated testing', 'test execution', 'testing practice', 'automated gui', 'gui', 'test automation', 'testing'], ['gui testing', 'gui test', 'based testing', 'automated testing', 'test execution', 'testing practice', 'automated gui', 'gui', 'test automation', 'testing'], ['code quality', 'quality code', 'maintainability', 'internal quality', 'quality attributes', 'source code', 'maintainability reliability', 'metrics', 'code examples', 'quality'], ['code quality', 'quality code', 'maintainability', 'internal quality', 'quality attributes', 'source code', 'maintainability reliability', 'metrics', 'code examples', 'quality'], ['gui testing', 'gui test', 'based testing', 'automated testing', 'test execution', 'testing practice', 'automated gui', 'gui', 'test automation', 'testing']]"
Dorner_63_2025,1909360,"Dorner, Michael [mrr] [0000-0001-8879-6450] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Mendez, Daniel [dmz] [0000-0003-0619-6027] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Wnuk, Krzysztof [krw] [0000-0003-3567-9300] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Zabardast, Ehsan [ehz] [0000-0002-1729-5154] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Czerwonka, Jacek (Microsoft, Seattle, USA)",2025,The upper bound of information diffusion in code review,"<p>Background</p><p>Code review, the discussion around a code change among humans, forms a communication network that enables its participants to exchange and spread information. Although reported by qualitative studies, our understanding of the capability of code review as a communication network is still limited.</p><p>Objective</p><p>In this article, we report on a first step towards understanding and evaluating the capability of code review as a communication network by quantifying how fast and how far information can spread through code review: the upper bound of information diffusion in code review.</p><p>Method</p><p>In an in-silico experiment, we simulate an artificial information diffusion within large (Microsoft), mid-sized (Spotify), and small code review systems (Trivago) modelled as communication networks. We then measure the minimal topological and temporal distances between the participants to quantify how far and how fast information can spread in code review.</p><p>Results</p><p>An average code review participants in the small and mid-sized code review systems can spread information to between 72 % and 85 % of all code review participants within four weeks independently of network size and tooling; for the large code review systems, we found an absolute boundary of about 11 000 reachable participants. On average (median), information can spread between two participants in code review in less than five hops and less than five days.</p><p>Conclusion</p><p>We found evidence that the communication network emerging from code review scales well and spreads information fast and broadly, corroborating the findings of prior qualitative work. The study lays the foundation for understanding and improving code review as a communication network.</p>",https://bth.diva-portal.org/smash/get/diva2:1909360/FULLTEXT01.pdf,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]","[0.17320353451401177, 0.482337116171501, 0.45449323851500684, 0.2228518542490105, 0.13463069695716143, 0.20543754713101817, 0.25137122858412475, 0.1860220364865231, 0.26982805670719007, 1.0]","[['code reviews', 'code review', 'code changes', 'modern code', 'knowledge sharing', 'review comments', 'developers', 'reviewers', 'reviewers feedback', 'code'], ['code reviews', 'code review', 'code changes', 'modern code', 'knowledge sharing', 'review comments', 'developers', 'reviewers', 'reviewers feedback', 'code'], ['code reviews', 'code review', 'code changes', 'modern code', 'knowledge sharing', 'review comments', 'developers', 'reviewers', 'reviewers feedback', 'code'], ['code reviews', 'code review', 'code changes', 'modern code', 'knowledge sharing', 'review comments', 'developers', 'reviewers', 'reviewers feedback', 'code'], ['code reviews', 'code review', 'code changes', 'modern code', 'knowledge sharing', 'review comments', 'developers', 'reviewers', 'reviewers feedback', 'code'], ['code reviews', 'code review', 'code changes', 'modern code', 'knowledge sharing', 'review comments', 'developers', 'reviewers', 'reviewers feedback', 'code'], ['code reviews', 'code review', 'code changes', 'modern code', 'knowledge sharing', 'review comments', 'developers', 'reviewers', 'reviewers feedback', 'code'], ['code reviews', 'code review', 'code changes', 'modern code', 'knowledge sharing', 'review comments', 'developers', 'reviewers', 'reviewers feedback', 'code'], ['code reviews', 'code review', 'code changes', 'modern code', 'knowledge sharing', 'review comments', 'developers', 'reviewers', 'reviewers feedback', 'code'], ['code reviews', 'code review', 'code changes', 'modern code', 'knowledge sharing', 'review comments', 'developers', 'reviewers', 'reviewers feedback', 'code']]"
Dorner_64_2022,1685861,"Dorner, Michael [mrr] [0000-0001-8879-6450] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Šmite, Darja [xds] [0000-0003-1744-3118] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Mendez, Daniel [dmz] [0000-0003-0619-6027] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Wnuk, Krzysztof [krw] [0000-0003-3567-9300] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Czerwonka, Jacek [0000-0002-4924-5047] (Microsoft Research, USA)",2022,Only Time Will Tell : Modelling Information Diffusion in Code Review with Time-Varying Hypergraphs,"<p><strong>Background:</strong> Modern code review is expected to facilitate knowledge sharing: All relevant information, the collective expertise, and meta-information around the code change and its context become evident, transparent, and explicit in the corresponding code review discussion. The discussion participants can leverage this information in the following code reviews; the information diffuses through the communication network that emerges from code review. Traditional time-aggregated graphs fall short in rendering information diffusion as those models ignore the temporal order of the information exchange: Information can only be passed on if it is available in the first place.</p><p><strong>Aim: </strong>This manuscript presents a novel model based on time-varying hypergraphs for rendering information diffusion that overcomes the inherent limitations of traditional, time-aggregated graph-based models. </p><p><strong>Method:</strong> In an in-silico experiment, we simulate an information diffusion within the internal code review at Microsoft and show the empirical impact of time on a key characteristic of information diffusion: the number of reachable participants. </p><p><strong>Results: </strong>Time-aggregation significantly overestimates the paths of information diffusion available in communication networks and, thus, is neither precise nor accurate for modelling and measuring the spread of information within communication networks that emerge from code review. </p><p><strong>Conclusion:</strong> Our model overcomes the inherent limitations of traditional, static or time-aggregated, graph-based communication models and sheds the first light on information diffusion through code review. We believe that our model can serve as a foundation for understanding, measuring, managing, and improving knowledge sharing in code review in particular and information diffusion in software engineering in general.</p>",https://bth.diva-portal.org/smash/get/diva2:1685861/FULLTEXT02.pdf,"[9, 9, 9, 9, 9, 9, 9, 9, 9]","[0.1559073429535954, 1.0, 0.3676654415775206, 0.11576832038428439, 0.11444083379922289, 0.14416663172752114, 0.12710618731356554, 0.14062452617640783, 0.8323326473176241]","[['code reviews', 'code review', 'code changes', 'modern code', 'knowledge sharing', 'review comments', 'developers', 'reviewers', 'reviewers feedback', 'code'], ['code reviews', 'code review', 'code changes', 'modern code', 'knowledge sharing', 'review comments', 'developers', 'reviewers', 'reviewers feedback', 'code'], ['code reviews', 'code review', 'code changes', 'modern code', 'knowledge sharing', 'review comments', 'developers', 'reviewers', 'reviewers feedback', 'code'], ['code reviews', 'code review', 'code changes', 'modern code', 'knowledge sharing', 'review comments', 'developers', 'reviewers', 'reviewers feedback', 'code'], ['code reviews', 'code review', 'code changes', 'modern code', 'knowledge sharing', 'review comments', 'developers', 'reviewers', 'reviewers feedback', 'code'], ['code reviews', 'code review', 'code changes', 'modern code', 'knowledge sharing', 'review comments', 'developers', 'reviewers', 'reviewers feedback', 'code'], ['code reviews', 'code review', 'code changes', 'modern code', 'knowledge sharing', 'review comments', 'developers', 'reviewers', 'reviewers feedback', 'code'], ['code reviews', 'code review', 'code changes', 'modern code', 'knowledge sharing', 'review comments', 'developers', 'reviewers', 'reviewers feedback', 'code'], ['code reviews', 'code review', 'code changes', 'modern code', 'knowledge sharing', 'review comments', 'developers', 'reviewers', 'reviewers feedback', 'code']]"
Foidl_86_2022,1687071,"Foidl, Harald (University of Innsbruck, AUT);Felderer, Michael [mfd] [0000-0003-3818-4442] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Ramler, Rudolf (Software Competence Center Hagenberg GmbH, AUT)",2022,"Data Smells : Categories, Causes and Consequences, and Detection of Suspicious Data in AI-based Systems","<p>High data quality is fundamental for today's AI-based systems. However, although data quality has been an object of research for decades, there is a clear lack of research on potential data quality issues (e.g., ambiguous, extraneous values). These kinds of issues are latent in nature and thus often not obvious. Nevertheless, they can be associated with an increased risk of future problems in AI-based systems (e.g., technical debt, data-induced faults). As a counterpart to code smells in software engineering, we refer to such issues as Data Smells. This article conceptualizes data smells and elaborates on their causes, consequences, detection, and use in the context of AI-based systems. In addition, a catalogue of 36 data smells divided into three categories (i.e., Believability Smells, Understandability Smells, Consistency Smells) is presented. Moreover, the article outlines tool support for detecting data smells and presents the result of an initial smell detection on more than 240 real-world datasets. </p>",,"[30, 16, 30, 30, 30, 30]","[0.6321627642667901, 1.0, 0.7398079437818474, 0.9368820383642351, 1.0, 1.0]","[['code smells', 'smells', 'detection rules', 'detecting', 'detection', 'existing detection', 'ai', 'detecting eager', 'ai based', 'eager test'], ['ai', 'artificial intelligence', 'machine learning', 'evidence engineering', 'learning ml', 'manufacturing', 'industry', 'ml', 'forecasting', 'continuous delivery'], ['code smells', 'smells', 'detection rules', 'detecting', 'detection', 'existing detection', 'ai', 'detecting eager', 'ai based', 'eager test'], ['code smells', 'smells', 'detection rules', 'detecting', 'detection', 'existing detection', 'ai', 'detecting eager', 'ai based', 'eager test'], ['code smells', 'smells', 'detection rules', 'detecting', 'detection', 'existing detection', 'ai', 'detecting eager', 'ai based', 'eager test'], ['code smells', 'smells', 'detection rules', 'detecting', 'detection', 'existing detection', 'ai', 'detecting eager', 'ai based', 'eager test']]"
Frattini_96_2023,1711743,"Frattini, Julian [juf] [0000-0003-3995-6125] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]) (DIPT);Fucci, Davide [dfu] [0000-0002-0679-4361] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]) (DIPT);Mendez, Daniel [dmz] [0000-0003-0619-6027] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]) (DIPT);Spinola, Rodrigo (Virginia Commonwealth University, Richmond, USA);Mandic, Vladimir (University of Novi Sad, Serbia);Tausan, Nebojsa (University of Novi Sad, Serbia);Ahmad, Ovais (Karlstad University);Gonzalez-Huerta, Javier [jgh] [0000-0003-1350-7030] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2023,An initial Theory to Understand and Manage Requirements Engineering Debt in Practice,"<p>Context</p><p>Advances in technical debt research demonstrate the benefits of applying the financial debt metaphor to support decision-making in software development activities. Although decision-making during requirements engineering has significant consequences, the debt metaphor in requirements engineering is inadequately explored.</p><p>Objective</p><p>We aim to conceptualize how the debt metaphor applies to requirements engineering by organizing concepts related to practitioners’ understanding and managing of requirements engineering debt (RED).</p><p>Method</p><p>We conducted two in-depth expert interviews to identify key requirements engineering debt concepts and construct a survey instrument. We surveyed 69 practitioners worldwide regarding their perception of the concepts and developed an initial analytical theory.</p><p>Results</p><p>We propose a RED theory that aligns key concepts from technical debt research but emphasizes the specific nature of requirements engineering. In particular, the theory consists of 23 falsifiable propositions derived from the literature, the interviews, and survey results.</p><p>Conclusions</p><p>The concepts of requirements engineering debt are perceived to be similar to their technical debt counterpart. Nevertheless, measuring and tracking requirements engineering debt are immature in practice. Our proposed theory serves as the first guide toward further research in this area.</p>",https://bth.diva-portal.org/smash/get/diva2:1711743/FULLTEXT01.pdf,"[17, 17, 17, 17, 17, 17, 17, 17]","[0.39668414403182206, 1.0, 0.317891903715536, 0.33049725036179706, 0.32304586590923606, 0.30861905068698403, 0.3537120144112353, 0.3175885949129716]","[['technical debt', 'debt', 'debt metaphor', 'technical', 'requirements engineering', 'engineering conclusions', 'lead time', 'industrial case', 'case study', 'bug fixing'], ['technical debt', 'debt', 'debt metaphor', 'technical', 'requirements engineering', 'engineering conclusions', 'lead time', 'industrial case', 'case study', 'bug fixing'], ['technical debt', 'debt', 'debt metaphor', 'technical', 'requirements engineering', 'engineering conclusions', 'lead time', 'industrial case', 'case study', 'bug fixing'], ['technical debt', 'debt', 'debt metaphor', 'technical', 'requirements engineering', 'engineering conclusions', 'lead time', 'industrial case', 'case study', 'bug fixing'], ['technical debt', 'debt', 'debt metaphor', 'technical', 'requirements engineering', 'engineering conclusions', 'lead time', 'industrial case', 'case study', 'bug fixing'], ['technical debt', 'debt', 'debt metaphor', 'technical', 'requirements engineering', 'engineering conclusions', 'lead time', 'industrial case', 'case study', 'bug fixing'], ['technical debt', 'debt', 'debt metaphor', 'technical', 'requirements engineering', 'engineering conclusions', 'lead time', 'industrial case', 'case study', 'bug fixing'], ['technical debt', 'debt', 'debt metaphor', 'technical', 'requirements engineering', 'engineering conclusions', 'lead time', 'industrial case', 'case study', 'bug fixing']]"
