citationid,paperid,Name,Year,Title,Abstract,FullTextLink,topics,probs,representations
Abdeen_0_2023,1759543,"Abdeen, Waleed [wxa] [0000-0001-8142-9631] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2023,Taxonomic Trace Links Recommender : Context Aware Hierarchical Classification,"<p>In the taxonomic trace links concept, the source and target artifacts are connected through knowledge organization structure (e.g., taxonomy). We introduce in this paper a recommender system that recommends labels to requirements artifacts from domain-specific taxonomy to establish taxonomic trace links. The tool exploits the hierarchical nature of taxonomies and uses requirements text and context information as input to the recommender. © 2023 Copyright for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).</p>",https://bth.diva-portal.org/smash/get/diva2:1759543/FULLTEXT01.pdf,"[35, 35, 35, 35]","[1.0, 1.0, 1.0, 1.0]","[['traceability links', 'traceability', 'suggests trace', 'traces', 'trace', 'taxonomies', 'knowledge organization', 'specific taxonomies', 'taxonomy', 'links requirements'], ['traceability links', 'traceability', 'suggests trace', 'traces', 'trace', 'taxonomies', 'knowledge organization', 'specific taxonomies', 'taxonomy', 'links requirements'], ['traceability links', 'traceability', 'suggests trace', 'traces', 'trace', 'taxonomies', 'knowledge organization', 'specific taxonomies', 'taxonomy', 'links requirements'], ['traceability links', 'traceability', 'suggests trace', 'traces', 'trace', 'taxonomies', 'knowledge organization', 'specific taxonomies', 'taxonomy', 'links requirements']]"
Abdeen_1_2023,1653133,"Abdeen, Waleed [wxa] [0000-0001-8142-9631] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Chen, Xingru [xcn] [0000-0003-1181-9049] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Unterkalmsteiner, Michael [mun] [0000-0003-4118-0952] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2023,An approach for performance requirements verification and test environments generation,"<p>Model-based testing (MBT) is a method that supports the design and execution of test cases by models that specify theintended behaviors of a system under test. While systematic literature reviews on MBT in general exist, the state of the arton modeling and testing performance requirements has seen much less attention. Therefore, we conducted a systematic map-ping study on model-based performance testing. Then, we studied natural language software requirements specificationsin order to understand which and how performance requirements are typically specified. Since none of the identified MBTtechniques supported a major benefit of modeling, namely identifying faults in requirements specifications, we developed thePerformance Requirements verificatiOn and Test EnvironmentS generaTion approach (PRO-TEST). Finally, we evaluatedPRO-TEST on 149 requirements specifications. We found and analyzed 57 primary studies from the systematic mappingstudy and extracted 50 performance requirements models. However, those models don’t achieve the goals of MBT, whichare validating requirements, ensuring their testability, and generating the minimum required test cases. We analyzed 77 Soft-ware Requirements Specification (SRS) documents, extracted 149 performance requirements from those SRS, and illustratethat with PRO-TEST we can model performance requirements, find issues in those requirements and detect missing ones.We detected three not-quantifiable requirements, 43 not-quantified requirements, and 180 underspecified parameters in the149 modeled performance requirements. Furthermore, we generated 96 test environments from those models. By modelingperformance requirements with PRO-TEST, we can identify issues in the requirements related to their ambiguity, measur-ability, and completeness. Additionally, it allows to generate parameters for test environments</p>",https://bth.diva-portal.org/smash/get/diva2:1653133/FULLTEXT01.pdf,"[7, 13]","[0.12289517195891078, 0.10650148940150742]","[['requirements engineering', 'requirements artifacts', 'requirements documents', 'causal relations', 'case generation', 'natural language', 'test cases', 'artifacts requirements', 'requirement', 'requirements'], ['gui testing', 'gui test', 'based testing', 'automated testing', 'test execution', 'testing practice', 'automated gui', 'gui', 'test automation', 'testing']]"
Abdeen_4_2025,1987126,"Abdeen, Waleed [wxa] [0000-0001-8142-9631] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Wnuk, Krzysztof [krw] [0000-0003-3567-9300] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Unterkalmsteiner, Michael [mun] [0000-0003-4118-0952] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Chirtoglou, Alexandros (HOCHTIEF ViCon GmbH, Essen, Germany)",2025,Challenges of Requirements Communication and Digital Assets Verification in Infrastructure Projects,"<p><strong>Background:</strong> Poor communication of requirements between clients and suppliers contributes to project overruns, in both software and infrastructure projects. Existing literature offers limited insights into the communication challenges at this interface.</p><p><strong>Aim: </strong>Our research aim to explore the processes and associated challenges with requirements activities that include client-supplier interaction and communication.</p><p><strong>Method:</strong> we study requirements validation, communication, and digital asset verification processes through two case studies in the road and railway sectors, involving interviews with ten experts across three companies.</p><p><strong>Results:</strong> We identify 13 challenges, along with their causes and consequences, and suggest solution areas from existing literature.</p><p><strong>Conclusion:</strong> Interestingly, the challenges in infrastructure projects mirror those found in software engineering, highlighting a need for further research to validate potential solutions.</p>",https://bth.diva-portal.org/smash/get/diva2:1987126/FULLTEXT01.pdf,"[1, 1, 1, 1]","[0.14589446783776083, 0.26013023915101136, 0.23839486523600237, 0.18300314392087502]","[['requirements quality', 'requirements engineering', 'requirements specifications', 'quality requirements', 'requirements artifacts', 'requirements attributes', 'requirement', 'requirements', 'quality factors', 'quality defects'], ['requirements quality', 'requirements engineering', 'requirements specifications', 'quality requirements', 'requirements artifacts', 'requirements attributes', 'requirement', 'requirements', 'quality factors', 'quality defects'], ['requirements quality', 'requirements engineering', 'requirements specifications', 'quality requirements', 'requirements artifacts', 'requirements attributes', 'requirement', 'requirements', 'quality factors', 'quality defects'], ['requirements quality', 'requirements engineering', 'requirements specifications', 'quality requirements', 'requirements artifacts', 'requirements attributes', 'requirement', 'requirements', 'quality factors', 'quality defects']]"
Abualhaija_6_2020,1427659,"Abualhaija, Sallam (University of Luxembourg, LUX);Fucci, Davide [dfu] [0000-0002-0679-4361] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Dalpiaz, Fabiano (Utrecht University, NLD);Franch, Xavier (Universitat Politècnica de Catalunya, ESP)",2020,3rd workshop on natural language processing for requirements engineering (NLP4RE'20),,https://bth.diva-portal.org/smash/get/diva2:1427659/FULLTEXT01.pdf,[7],[0.1181475448985017],"[['requirements engineering', 'requirements artifacts', 'requirements documents', 'causal relations', 'case generation', 'natural language', 'test cases', 'artifacts requirements', 'requirement', 'requirements']]"
BuarqueFranzosi_41_2025,1974502,"Buarque Franzosi, Diogo [dbu] [0000-0003-1432-5255] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Alégroth, Emil [EAL] [0000-0001-7526-3727] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Isaac, Maycel (Synteda Ab, Gothenburg, Sweden)",2025,LLM-Based Labelling of Recorded Automated GUI-Based Test Cases,"<p>Graphical User Interface (GUI) based testing is a commonly used practice in industry. Although valuable and, in many cases, necessary, it is associated with challenges such as high cost and requirements on both technical and domain expertise. Augmented testing, a novel approach to GUI test automation, aims to mitigate these challenges by allowing users to record and render test cases and test data directly on the GUI of the system under test (SUT). In this context, Scout is an augmented testing tool that captures system states and transitions during manual interaction with the SUT, storing them in a test model that is visually represented in the form of state trees and reports. While this representation provides basic overview of a test suite, e.g. about its size and number of scenarios, it is limited in terms of analysis depth, interpretability, and reproducibility. In particular, without human state labeling, it is challenging to produce meaningful and easily understandable test reports. To address this limitation, we present a novel solution and a demonstrator, integrated into Scout, which leverages large language models (LLMs) to enrich the model-based test case representation by automatically labeling and describing states and describing transitions. We conducted two experiments to evaluate the impact of the solution. First, we compared LLM-enhanced reports with expert-generated reports using embedding distance evaluation metrics. Second, we assessed the usability and perceived value of the enhanced reports through an industrial survey. The results of the study indicate that the plugin can improve readability, actionability, and interpretability of test reports. This work contributes to the automation of GUI testing by reducing the need for manual intervention, e.g. labeling, and technical expertise, e.g. to understand test case models. Although the solution is studied in the context of augmented testing, we argue for the solution's generalizability to related test automation techniques. In addition, we argue that this approach enables actionable insights and lays the groundwork for further research into autonomous testing based on Generative AI. </p>",https://bth.diva-portal.org/smash/get/diva2:1974502/FULLTEXT01.pdf,"[11, 13, 13, 13, 23, 23, 7, 23, 13, 35, 13]","[0.02374588473445595, 1.0, 1.0, 0.14685843578329796, 0.31006070852868306, 0.4216230251588438, 0.019325544855871762, 0.23830152553041198, 1.0, 1.0, 0.13741018499427293]","[['web applications', 'web', 'gui testing', 'test automation', 'gui test', 'based gui', 'similarity', 'automation', 'similo', 'testing'], ['gui testing', 'gui test', 'based testing', 'automated testing', 'test execution', 'testing practice', 'automated gui', 'gui', 'test automation', 'testing'], ['gui testing', 'gui test', 'based testing', 'automated testing', 'test execution', 'testing practice', 'automated gui', 'gui', 'test automation', 'testing'], ['gui testing', 'gui test', 'based testing', 'automated testing', 'test execution', 'testing practice', 'automated gui', 'gui', 'test automation', 'testing'], ['test cases', 'test selection', 'test information', 'testing test', 'testing', 'testing activities', 'test case', 'testing identified', 'assuring quality', 'test'], ['test cases', 'test selection', 'test information', 'testing test', 'testing', 'testing activities', 'test case', 'testing identified', 'assuring quality', 'test'], ['requirements engineering', 'requirements artifacts', 'requirements documents', 'causal relations', 'case generation', 'natural language', 'test cases', 'artifacts requirements', 'requirement', 'requirements'], ['test cases', 'test selection', 'test information', 'testing test', 'testing', 'testing activities', 'test case', 'testing identified', 'assuring quality', 'test'], ['gui testing', 'gui test', 'based testing', 'automated testing', 'test execution', 'testing practice', 'automated gui', 'gui', 'test automation', 'testing'], ['traceability links', 'traceability', 'suggests trace', 'traces', 'trace', 'taxonomies', 'knowledge organization', 'specific taxonomies', 'taxonomy', 'links requirements'], ['gui testing', 'gui test', 'based testing', 'automated testing', 'test execution', 'testing practice', 'automated gui', 'gui', 'test automation', 'testing']]"
Chuprina_52_2021,1556403,"Chuprina, Tatiana;Mendez, Daniel [dmz] [0000-0003-0619-6027] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Wnuk, Krzysztof [krw] [0000-0003-3567-9300] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2021,Towards Artefact-based Requirements Engineering for Data-Centric Systems,"<p>Many modern software-intensive systems employ artificial intelligence / machine-learning (AI/ML) components and are, thus, inherently data-centric. The behaviour of such systems depends on typically large amounts of data processed at run-Time rendering such non-deterministic systems as complex. This complexity growth affects our understanding on needs and practices in Requirements Engineering (RE). There is, however, still little guidance on how to handle requirements for such systems effectively: What are, for example, typical quality requirements classes What modelling concepts do we rely on or which levels of abstraction do we need to consider In fact, how to integrate such concepts into approaches for a more traditional RE still needs profound investigations. In this research preview paper, we report on ongoing efforts to establish an artefact-based RE approach for the development of datacentric systems (DCSs). To this end, we sketch a DCS development process with the newly proposed requirements categories and data-centric artefacts and briefly report on an ongoing investigation of current RE challenges in industry developing data-centric systems. © 2021 CEUR-WS. All rights reserved.</p>",https://bth.diva-portal.org/smash/get/diva2:1556403/FULLTEXT01.pdf,"[16, 1, 1]","[1.0, 0.1189910795199894, 0.45513583061208857]","[['ai', 'artificial intelligence', 'machine learning', 'evidence engineering', 'learning ml', 'manufacturing', 'industry', 'ml', 'forecasting', 'continuous delivery'], ['requirements quality', 'requirements engineering', 'requirements specifications', 'quality requirements', 'requirements artifacts', 'requirements attributes', 'requirement', 'requirements', 'quality factors', 'quality defects'], ['requirements quality', 'requirements engineering', 'requirements specifications', 'quality requirements', 'requirements artifacts', 'requirements attributes', 'requirement', 'requirements', 'quality factors', 'quality defects']]"
Dehghani_60_2021,1568932,"Dehghani, Razieh (Sharif University of Technology, IRN);Wnuk, Krzysztof [krw] [0000-0003-3567-9300] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Mendez, Daniel [dmz] [0000-0003-0619-6027] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Gorschek, Tony [tgo] [0000-0002-3646-235x] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Ramsin, Raman (Sharif University of Technology, IRN)",2021,On Understanding the Relation of Knowledge and Confidence to Requirements Quality,"<p>[Context and Motivation] Software requirements are affected by the knowledge and confidence of software engineers. Analyzing the interrelated impact of these factors is difficult because of the challenges of assessing knowledge and confidence. [Question/Problem] This research aims to draw attention to the need for considering the interrelated effects of confidence and knowledge on requirements quality, which has not been addressed by previous publications. [Principal ideas/results] For this purpose, the following steps have been taken: 1) requirements quality was defined based on the instructions provided by the ISO29148:2011 standard, 2) we selected the symptoms of low qualified requirements based on ISO29148:2011, 3) we analyzed five Software Requirements Specification (SRS) documents to find these symptoms, 3) people who have prepared the documents were categorized in four classes to specify the more/less knowledge and confidence they have regarding the symptoms, and 4) finally, the relation of lack of enough knowledge and confidence to symptoms of low quality was investigated. The results revealed that the simultaneous deficiency of confidence and knowledge has more negative effects in comparison with a deficiency of knowledge or confidence. [Contribution] In brief, this study has achieved these results: 1) the realization that a combined lack of knowledge and confidence has a larger effect on requirements quality than only one of the two factors, 2) the relation between low qualified requirements and requirements engineers’ needs for knowledge and confidence, and 3) variety of requirements engineers’ needs for knowledge based on their abilities to make discriminative and consistent decisions. © 2021, Springer Nature Switzerland AG.</p>",https://bth.diva-portal.org/smash/get/diva2:1568932/FULLTEXT01.pdf,"[1, 1, 1, 1, 1]","[1.0, 0.14310036359845332, 0.5604617507095108, 1.0, 0.4205419016190995]","[['requirements quality', 'requirements engineering', 'requirements specifications', 'quality requirements', 'requirements artifacts', 'requirements attributes', 'requirement', 'requirements', 'quality factors', 'quality defects'], ['requirements quality', 'requirements engineering', 'requirements specifications', 'quality requirements', 'requirements artifacts', 'requirements attributes', 'requirement', 'requirements', 'quality factors', 'quality defects'], ['requirements quality', 'requirements engineering', 'requirements specifications', 'quality requirements', 'requirements artifacts', 'requirements attributes', 'requirement', 'requirements', 'quality factors', 'quality defects'], ['requirements quality', 'requirements engineering', 'requirements specifications', 'quality requirements', 'requirements artifacts', 'requirements attributes', 'requirement', 'requirements', 'quality factors', 'quality defects'], ['requirements quality', 'requirements engineering', 'requirements specifications', 'quality requirements', 'requirements artifacts', 'requirements attributes', 'requirement', 'requirements', 'quality factors', 'quality defects']]"
Elahidoost_67_2024,1896292,"Elahidoost, Parisa [pae] [0000-0003-4239-7838] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]) (Research Institute of the Free State of Bavaria, Fortiss GmbH, Germany)",2024,Towards a Tool Supported Approach for Regulatory Requirements Engineering,"<p>With the escalating complexity and range of regu-lations impacting the development and operations of software-intensive systems, engineers are compelled to manage intensifying regulatory oversight. The critical task of analyzing and interpreting regulatory norms, as well as deriving software requirements, is a vital step in achieving regulatory compliance. Nevertheless, the interpretation of regulations remains heavily reliant on the individual expertise and domain-specific experience of legal professionals, with a notable absence of systematic methodologies and supportive tools to streamline this process. Research in this domain frequently remains isolated from the practical experiences of industry practitioners, resulting in solutions that struggle to find relevance in real-world applications. The work outlines a doctoral thesis aiming to have a detailed examination of the existing state of reported evidence in RE related to regulatory compliance and, analysis of current practices and obstacles in practice, to identify key areas for improvement and development of supportive tools and methodologies. Furthermore, this work includes an investigation into the limitations and potentials of automation in crafting viable approaches for regulatory RE. The ultimate goal is to bridge the theoretical and practical aspects of regulatory RE, ensuring the creation of a tool-supported approach that is both academically robust and pragmatically applicable. By focusing on enhancing the structure and utility of RE practices in the face of regulatory demands, this work seeks to contribute to the field, paving the way for more effective compliance management in software engineering. © 2024 IEEE.</p>",https://bth.diva-portal.org/smash/get/diva2:1896292/FULLTEXT01.pdf,"[8, 8, 8, 8, 8, 8, 8, 8]","[0.20570990917995563, 1.0, 1.0, 0.377770788354837, 1.0, 0.5650966855370229, 0.5567787631942938, 1.0]","[['requirements engineering', 'regulatory', 'regulations', 'compliance', 'requirements', 'domain knowledge', 'legal experts', 'practices challenges', 'products services', 'principles practices'], ['requirements engineering', 'regulatory', 'regulations', 'compliance', 'requirements', 'domain knowledge', 'legal experts', 'practices challenges', 'products services', 'principles practices'], ['requirements engineering', 'regulatory', 'regulations', 'compliance', 'requirements', 'domain knowledge', 'legal experts', 'practices challenges', 'products services', 'principles practices'], ['requirements engineering', 'regulatory', 'regulations', 'compliance', 'requirements', 'domain knowledge', 'legal experts', 'practices challenges', 'products services', 'principles practices'], ['requirements engineering', 'regulatory', 'regulations', 'compliance', 'requirements', 'domain knowledge', 'legal experts', 'practices challenges', 'products services', 'principles practices'], ['requirements engineering', 'regulatory', 'regulations', 'compliance', 'requirements', 'domain knowledge', 'legal experts', 'practices challenges', 'products services', 'principles practices'], ['requirements engineering', 'regulatory', 'regulations', 'compliance', 'requirements', 'domain knowledge', 'legal experts', 'practices challenges', 'products services', 'principles practices'], ['requirements engineering', 'regulatory', 'regulations', 'compliance', 'requirements', 'domain knowledge', 'legal experts', 'practices challenges', 'products services', 'principles practices']]"
Elahidoost_68_2024,1897989,"Elahidoost, Parisa [pae] [0000-0003-4239-7838] (Fortiss GmbH, Munich, Germany);Mendez, Daniel [dmz] [0000-0003-0619-6027] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Unterkalmsteiner, Michael [mun] [0000-0003-4118-0952] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Fischbach, Jannik (Netlight Consulting GmbH, Germany);Feiler, Christian (Itestra GmbH, Munich, Germany);Streit, Jonathan (Itestra GmbH, Munich, Germany)",2024,"Practices, Challenges, and Opportunities When Inferring Requirements from Regulations in the FinTech Sector - An Industrial Study","<p>[Context and motivation]: Understanding and interpreting regulatory norms and inferring software requirements from them is a critical step towards regulatory compliance, a matter of significant importance in various industrial sectors. [Question/ problem]: However, interpreting regulations still largely depends on individual legal expertise and experience within the respective domain, with little to no systematic methodologies and supportive tools to guide this practice. In fact, research in this area is too often detached from practitioners' experiences, rendering the proposed solutions not transferable to industrial practice. As we argue, one reason is that we still lack a profound understanding of industry- and domain-specific practices and challenges. [Principal ideas/ results]: We aim to close this gap and provide such an investigation at the example of the banking and insurance domain. We conduct an industrial multi-case study as part of a long-term academia-industry collaboration with a mediumsized software development and renovation company. We explore contemporary industrial practices and challenges when inferring requirements from regulations to support more problem-driven research. Our study investigates the complexities of requirement engineering in regulatory contexts, pinpointing various issues and discussing them in detail. We highlight the gathered insights and the practical challenges encountered and suggest avenues for future research. [Contribution]: Our contribution is a comprehensive case study focused on the FinTech domain, offering a detailed understanding of the specific needs within this sector. We have identified key practices for managing regulatory requirements in software development, and have pinpointed several challenges. We conclude by offering a set of recommendations for future problem-driven research directions. © 2024 IEEE.</p>",,"[8, 8, 8, 8, 8, 8]","[1.0, 0.610829451891071, 0.19339126155218536, 1.0, 0.2983480017677257, 0.1375142694229968]","[['requirements engineering', 'regulatory', 'regulations', 'compliance', 'requirements', 'domain knowledge', 'legal experts', 'practices challenges', 'products services', 'principles practices'], ['requirements engineering', 'regulatory', 'regulations', 'compliance', 'requirements', 'domain knowledge', 'legal experts', 'practices challenges', 'products services', 'principles practices'], ['requirements engineering', 'regulatory', 'regulations', 'compliance', 'requirements', 'domain knowledge', 'legal experts', 'practices challenges', 'products services', 'principles practices'], ['requirements engineering', 'regulatory', 'regulations', 'compliance', 'requirements', 'domain knowledge', 'legal experts', 'practices challenges', 'products services', 'principles practices'], ['requirements engineering', 'regulatory', 'regulations', 'compliance', 'requirements', 'domain knowledge', 'legal experts', 'practices challenges', 'products services', 'principles practices'], ['requirements engineering', 'regulatory', 'regulations', 'compliance', 'requirements', 'domain knowledge', 'legal experts', 'practices challenges', 'products services', 'principles practices']]"
Elahidoost_69_2024,1855173,"Elahidoost, Parisa [pae] [0000-0003-4239-7838] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]) (fortiss GmbH, Germany);Unterkalmsteiner, Michael [mun] [0000-0003-4118-0952] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Fucci, Davide [dfu] [0000-0002-0679-4361] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Liljenberg, Peter (Visma, Sweden);Fischbach, Jannik (Netlight Consulting GmbH, Germany)",2024,Designing NLP-Based Solutions for Requirements Variability Management : Experiences from a Design Science Study at Visma,"<p>Context and motivation: In this industry-academia collaborative project, a team of researchers, supported by a software architect, business analyst, and test engineer explored the challenges of requirement variability in a large business software development company. Question/ problem: Following the design science paradigm, we studied the problem of requirements analysis and tracing in the context of contractual documents, with a specific focus on managing requirements variability. This paper reports on the lessons learned from that experience, highlighting the strategies and insights gained in the realm of requirements variability management.Principal ideas/results: This experience report outlines the insights gained from applying design science in requirements engineering research in industry. We show and evaluate various strategies to tackle the issue of requirement variability. Contribution: We report on the iterations and how the solution development evolved in parallel with problem understanding. From this process, we derive five key lessons learned to highlight the effectiveness of design science in exploring solutions for requirement variability in contract-based environments. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.</p>",,"[1, 1, 1, 1, 1, 1]","[0.06752537968185876, 0.060649849123317945, 0.06410560393250239, 0.06290384649188391, 0.0557491380704143, 0.0602935717822177]","[['requirements quality', 'requirements engineering', 'requirements specifications', 'quality requirements', 'requirements artifacts', 'requirements attributes', 'requirement', 'requirements', 'quality factors', 'quality defects'], ['requirements quality', 'requirements engineering', 'requirements specifications', 'quality requirements', 'requirements artifacts', 'requirements attributes', 'requirement', 'requirements', 'quality factors', 'quality defects'], ['requirements quality', 'requirements engineering', 'requirements specifications', 'quality requirements', 'requirements artifacts', 'requirements attributes', 'requirement', 'requirements', 'quality factors', 'quality defects'], ['requirements quality', 'requirements engineering', 'requirements specifications', 'quality requirements', 'requirements artifacts', 'requirements attributes', 'requirement', 'requirements', 'quality factors', 'quality defects'], ['requirements quality', 'requirements engineering', 'requirements specifications', 'quality requirements', 'requirements artifacts', 'requirements attributes', 'requirement', 'requirements', 'quality factors', 'quality defects'], ['requirements quality', 'requirements engineering', 'requirements specifications', 'quality requirements', 'requirements artifacts', 'requirements attributes', 'requirement', 'requirements', 'quality factors', 'quality defects']]"
