citationid,paperid,Name,Year,Title,Abstract,FullTextLink,topics,probs,representations
Ali_9_2025,1992791,"Ali, Nauman bin [nal] [0000-0001-7266-5632] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Börstler, Jürgen [jub] [0000-0003-0639-4234] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2025,On the Relevance of Paper-Type Information in Systematic Mapping Studies in Software Engineering,"<p>Systematic Mapping Studies (SMSs) are valuable in evidence-based software engineering research. SMSs aim to provide an overview of research, identify gaps and trends, and assess the feasibility of conducting a more focused systematic literature review. In current guidelines for conducting SMSs, a quality assessment of the included papers is suggested only when the research questions explicitly require such a quality assessment. We agree with the recommendation that quality assessment is generally non-mandatory. However, SMSs deal with papers ranging from opinion papers to papers reporting highly rigorous empirical studies. Therefore, in this paper, we argue that analyzing the type of papers is essential for almost every intended purpose of an SMS. Otherwise, without distinguishing papers based on their types, we risk deriving a less informative or incomplete overview or, at worst, a misleading overview of research. Petersen et al. 'encourage' the classification of papers into six paper types as proposed by Wieringa et al.: evaluation research, solution proposal, validation research, philosophical papers, opinion papers, and personal experience papers. Given the lenient guidelines on assessing the quality of included studies, we recommend a stronger focus on classifying papers by type. </p>",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.16255814715331182, 0.15953754172977433, 0.42041466676492295, 0.7130928758756512, 0.1342355856784562, 1.0, 0.598114076609876, 1.0, 0.22657318396583317, 1.0, 0.14474086424259058, 1.0]","[['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias']]"
Ali_10_2020,1502628,"Ali, Nauman bin [nal] [0000-0001-7266-5632] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Edison, Henry (Lero - The Irish Software Engineering Research Centre, IRL);Torkar, Richard (Chalmers and University of Gothenburg, SWE)",2020,The impact of a proposal for innovation measurement in the software industry,"<p>Background: Measuring an organization's capability to innovate and assessing its innovation output and performance is a challenging task. Previously, a comprehensive model and a suite of measurements to support this task were proposed. Aims: In the current paper, seven years since the publication of the paper titled Towards innovation measurement in the software industry, we have reflected on the impact of thework. Method:We have mainly relied on quantitative and qualitative analysis of the citations of the paper using an established classification schema. Results: We found that the article has had a significant scientific impact (indicated by the number of citations), i.e., (1) cited in literature from both software engineering and other fields, (2) cited in grey literature and peerreviewed literature, and (3) substantial citations in literature not published in the English language. However, we consider a majority of the citations in the peer-reviewed literature (75 out of 116) as neutral, i.e., they have not used the innovation measurement paper in any substantial way. All in all, 38 out of 116 have used, modified or based their work on the definitions, measurements or the model proposed in the article. This analysis revealed a significant weakness of the citing work, i.e., among the citing papers, we found only two explicit comparisons to the innovation measurement proposal, and we found no papers that identify weaknesses of said proposal. Conclusions: This work highlights the need for being cautious of relying solely on the number of citations for understanding impact, and the need for further improving and supporting the peer-review process to identify unwarranted citations in papers. © 2020 IEEE Computer Society. All rights reserved.</p>",https://bth.diva-portal.org/smash/get/diva2:1502628/FULLTEXT01.pdf,"[0, 0, 0, 0, 0, 0]","[1.0, 0.4526473081494165, 1.0, 0.47022916059771097, 1.0, 1.0]","[['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias']]"
Ali_11_2022,1663616,"Ali, Nauman bin [nal] [0000-0001-7266-5632] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Tanveer, Binish [bta] [0000-0003-2300-068x] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2022,A Comparison of Citation Sources for Reference and Citation-Based Search in Systematic Literature Reviews,"<p>Context: In software engineering, snowball sampling has been used as a supplementary and primary search strategy. The current guidelines recommend using Google Scholar (GS) for snowball sampling. However, the use of GS presents several challenges when using it as a source for citations and references. Objective: To compare the effectiveness and usefulness of two leading citation databases (GS and Scopus) for use in snowball sampling search. Method: We relied on a published study that has used snowball sampling as a search strategy and GS as the citation source. We used its primary studies to compute precision and recall for Scopus. Results: In this particular case, Scopus was highly effective with 95% recall and had better precision of 5.1% compared to GS’s 2.8%. Moreover, Scopus found nine additional relevant papers. On average, one would read approximately 15 extra papers in GS than Scopus to identify one additional relevant paper. Furthermore, Scopus supports batch downloading of both citations and papers’ references, has better quality metadata, and does better source filtering. Conclusion: This study suggests that Scopus seems to be more effective and useful for snowball sampling than GS for systematic secondary studies attempting to identify peer-reviewed literature. EVIE © 2022 The Authors.</p>",https://bth.diva-portal.org/smash/get/diva2:1663616/FULLTEXT01.pdf,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.2936118231494421, 0.37969320240104865, 0.5595489608003739, 1.0, 0.5843130909293038, 0.5308166174163784, 0.3382641618716487, 0.3848562989435407, 0.44136466744631425, 0.4376985063738498, 0.5277580058879753, 0.4580571974352646]","[['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias']]"
Alégroth_15_2022,1686132,"Alégroth, Emil [EAL] [0000-0001-7526-3727] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Karl, Kristian (Spotify, SWE);Rosshagen, Helena (AddQ, SWE);Helmfridsson, Tomas (AddQ, SWE);Olsson, Nils (ArcticBlue, SWE)",2022,"Practitioners' best practices to Adopt, Use or Abandon Model-based Testing with Graphical models for Software-intensive Systems","<p>Model-based testing (MBT) has been extensively researched for software-intensive systems but, despite the academic interest, adoption of the technique in industry has been sparse. This phenomenon has been observed by our industrial partners for MBT with graphical models. They perceive one cause to be a lack of evidence-based MBT guidelines that, in addition to technical guidelines, also take non-technical aspects into account. This hypothesis is supported by a lack of such guidelines in the literature. Objective: The objective of this study is to elicit, and synthesize, MBT experts' best practices for MBT with graphical models. The results aim to give guidance to practitioners and aspire to give researchers new insights to inspire future research. Method: An interview survey is conducted using deep, semi-structured, interviews with an international sample of 17 MBT experts, in different roles, from software industry. Interview results are synthesised through semantic equivalence analysis and verified by MBT experts from industrial practice. Results: 13 synthesised conclusions are drawn from which 23 best-practice guidelines are derived for the adoption, use and abandonment of the technique. In addition, observations and expert insights are discussed that help explain the lack of wide-spread adoption of MBT with graphical models in industrial practice. Conclusions: Several technical aspects of MBT are covered by the results as well as conclusions that cover process- and organizational factors. These factors relate to the mindset, knowledge, organization, mandate and resources that enable the technique to be used effectively within an organization. The guidelines presented in this work complement existing knowledge and, as a primary objective, provide guidance for industrial practitioners to better succeed with MBT with graphical models.</p>",https://bth.diva-portal.org/smash/get/diva2:1686132/FULLTEXT01.pdf,"[0, 0, 0]","[1.0, 1.0, 0.07429988876914441]","[['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias']]"
Avritzer_21_2021,1553044,"Avritzer, Alberto A. (ESulab Solutions, USA);Britto, Ricardo [rbr] [0000-0002-7220-9570] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Trubiani, Catia (Gran Sasso Science Institute, ITA);Russo, Barbara (Free University of Bozen-Bolzano, ITA);Janes, Andrea (Free University of Bozen-Bolzano, ITA);Camilli, Matteo (Free University of Bozen-Bolzano, ITA);Van Hoorn, André V. (University of Stuttgart, DEU);Heinrich, Robert (Karlsruhe Institute of Technology, DEU);Rapp, Martina (FZI Forschungszentrum Informatik, DEU);Henß, Jörg (FZI Forschungszentrum Informatik, DEU)",2021,A Multivariate Characterization and Detection of Software Performance Antipatterns,"<p>Context. Software Performance Antipatterns (SPAs) research has focused on algorithms for the characterization, detection, and solution of antipatterns. However, existing algorithms are based on the analysis of runtime behavior to detect trends on several monitored variables (e.g., response time, CPU utilization, and number of threads) using pre-defined thresholds. Objective. In this paper, we introduce a new approach for SPA characterization and detection designed to support continuous integration/delivery/deployment (CI/CDD) pipelines, with the goal of addressing the lack of computationally efficient algorithms. Method. Our approach includes SPA statistical characterization using a multivariate analysis approach of load testing experimental results to identify the services that have the largest impact on system scalability. More specifically, we introduce a layered decomposition approach that implements statistical analysis based on response time to characterize load testing experimental results. A distance function is used to match experimental results to SPAs. Results. We have instantiated the introduced methodology by applying it to a large complex telecom system. We were able to automatically identify the top five services that are scalability choke points. In addition, we were able to automatically identify one SPA. We have validated the engineering aspects of our methodology and the expected benefits by means of a domain experts' survey. Conclusion. We contribute to the state-of-The-Art by introducing a novel approach to support computationally efficient SPA characterization and detection in large complex systems using performance testing results. We have compared the computational efficiency of the proposed approach with state-of-The-Art heuristics. We have found that the approach introduced in this paper grows linearly, which is a significant improvement over existing techniques. © 2021 ACM.</p>",https://bth.diva-portal.org/smash/get/diva2:1553044/FULLTEXT01.pdf,[0],[0.10705014733532274],"[['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias']]"
Badampudi_25_2022,1686103,"Badampudi, Deepika [deb] [0000-0002-6215-1774] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Fotrousi, Farnaz (Univ Hamburg, DEU);Cartaxo, Bruno (Federal Institute of Pernambuco, BRA);Usman, Muhammad [muu] [0000-0002-8132-0107] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2022,"Reporting Consent, Anonymity and Confidentiality Procedures Adopted in Empirical Studies Using Human Participants","<p>Background: Empirical studies involving human participants need to follow procedures to avoid causing harm to the subjects. However, it is not always clear how researchers should report these procedures. Aim: This study investigates how researchers report ethical issues in the software engineering journal publications, particularly informed consent, confidentiality, and anonymity. Method: We conducted a literature review to understand the reporting of ethical issues in software engineering journals. In addition, in a workshop, we discussed the importance of reporting the different ethical issues. Results: The results indicate that 49 out of 95 studies reported some ethical issues. Only six studies discussed all three ethical issues. The subjects were mainly informed about the study purpose and procedure. There are limited discussions on how the subjects were informed about the risks involved in the study. Studies reported on how authors ensured confidentiality have also discussed anonymity in most cases. The results of the workshop discussion indicate that reporting ethical issues is important to improve the reliability of the research results. We propose a checklist based on the literature review, which we validated through a workshop. Conclusion: The checklist proposed in this paper is a step towards enhancing ethical reporting in software engineering research.</p>",https://bth.diva-portal.org/smash/get/diva2:1686103/FULLTEXT01.pdf,"[0, 0, 0, 0, 0]","[0.12105572413071762, 0.14304669173947743, 0.12729975040208455, 1.0, 0.11295925032129409]","[['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias']]"
Börstler_42_2023,1749513,"Börstler, Jürgen [jub] [0000-0003-0639-4234] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Ali, Nauman bin [nal] [0000-0001-7266-5632] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Petersen, Kai [kps] [0000-0002-1532-8223] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]) (University of Applied Sciences, Germany)",2023,Double-counting in software engineering tertiary studies — An overlooked threat to validity,"<p>Context: Double-counting in a literature review occurs when the same data, population, or evidence is erroneously counted multiple times during synthesis. Detecting and mitigating the threat of double-counting is particularly challenging in tertiary studies. Although this topic has received much attention in the health sciences, it seems to have been overlooked in software engineering. Objective: We describe issues with double-counting in tertiary studies, investigate the prevalence of the issue in software engineering, and propose ways to identify and address the issue. Method: We analyze 47 tertiary studies in software engineering to investigate in which ways they address double-counting and whether double-counting might be a threat to validity in them. Results: In 19 of the 47 tertiary studies, double-counting might bias their results. Of those 19 tertiary studies, only 5 consider double-counting a threat to their validity, and 7 suggest strategies to address the issue. Overall, only 9 of the 47 tertiary studies, acknowledge double-counting as a potential general threat to validity for tertiary studies. Conclusions: Double-counting is an overlooked issue in tertiary studies in software engineering, and existing design and evaluation guidelines do not address it sufficiently. Therefore, we propose recommendations that may help to identify and mitigate double-counting in tertiary studies. © 2023 The Author(s)</p>",https://bth.diva-portal.org/smash/get/diva2:1749513/FULLTEXT01.pdf,"[0, 0, 0, 0]","[0.10924658998850424, 0.12683255513109404, 0.11900715149604214, 0.11340929997271948]","[['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias']]"
Börstler_43_2024,1854020,"Börstler, Jürgen [jub] [0000-0003-0639-4234] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Ali, Nauman bin [nal] [0000-0001-7266-5632] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Petersen, Kai [kps] [0000-0002-1532-8223] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]) (Flensburg University of Applied Sciences);Engström, Emelie [0000-0001-6736-9425] (Lund University)",2024,Acceptance behavior theories and models in software engineering — A mapping study,"<p>Context: The adoption or acceptance of new technologies or ways of working in software development activities is a recurrent topic in the software engineering literature. The topic has, therefore, been empirically investigated extensively. It is, however, unclear which theoretical frames of reference are used in this research to explain acceptance behaviors. Objective: In this study, we explore how major theories and models of acceptance behavior have been used in the software engineering literature to empirically investigate acceptance behavior.Method: We conduct a systematic mapping study of empirical studies using acceptance behavior theories in software engineering.Results: We identified 47 primary studies covering 56 theory uses. The theories were categorized into six groups. Technology acceptance models (TAM and its extensions) were used in 29 of the 47 primary studies, innovation theories in 10, and the theories of planned behavior/ reasoned action (TPB/TRA) in six. All other theories were used in at most two of the primary studies. The usage and operationalization of the theories were, in many cases, inconsistent with the underlying theories. Furthermore, we identified 77 constructs used by these studies of which many lack clear definitions. Conclusions: Our results show that software engineering researchers are aware of some of the leading theories and models of acceptance behavior, which indicates an attempt to have more theoretical foundations. However, we identified issues related to theory usage that make it difficult to aggregate and synthesize results across studies. We propose mitigation actions that encourage the consistent use of theories and emphasize the measurement of key constructs.</p>",https://bth.diva-portal.org/smash/get/diva2:1854020/FULLTEXT01.pdf,"[0, 0, 0, 0, 0]","[0.18273473681710456, 0.12957503152641728, 0.17992984729519956, 0.14998318277181433, 0.10434312298997762]","[['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias'], ['systematic literature', 'literature reviews', 'literature review', 'researchers practitioners', 'researchers', 'literature studies', 'primary studies', 'studies', 'findings', 'researcher bias']]"
Börstler_44_2023,1721991,"Börstler, Jürgen [jub] [0000-0003-0639-4234] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Ali, Nauman bin [nal] [0000-0001-7266-5632] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Svensson, Martin [mts] (Blekinge Tekniska Högskola [16500], Fakulteten för teknikvetenskaper [16807], Institutionen för industriell ekonomi [16809]);Petersen, Kai [kps] [0000-0002-1532-8223] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]) (University of Applied Sciences Flensburg, Germany)",2023,Investigating Acceptance Behavior in Software Engineering – Theoretical Perspectives,"<p>Background: Software engineering research aims to establish software development practice on a scientific basis. However, the evidence of the efficacy of technology is insufficient to ensure its uptake in industry. In the absence of a theoretical frame of reference, we mainly rely on best practices and expert judgment from industry-academia collaboration and software process improvement research to improve the acceptance of the proposed technology. Objective: To identify acceptance models and theories and discuss their applicability in the research of acceptance behavior related to software development.Method: We analyzed literature reviews within an interdisciplinary team to identify models and theories relevant to software engineering research. We further discuss acceptance behavior from the human information processing perspective of automatic and affect-driven processes (“fast” system 1 thinking) and rational and rule-governed processes (“slow” system 2 thinking). Results: We identified 30 potentially relevant models and theories. Several of them have been used in researching acceptance behavior in contexts related to software development, but few have been validated in such contexts. They use constructs that capture aspects of (automatic) system 1 and (rational) system 2 oriented processes. However, their operationalizations focus on system 2-oriented processes indicating a rational view of behavior, thus overlooking important psychological processes underpinning behavior. Conclusions: Software engineering research may use acceptance behavior models and theories more extensively to understand and predict practice adoption in the industry. Such theoretical foundations will help improve the impact of software engineering research. However, more consideration should be given to their validation, overlap, construct operationalization, and employed data collection mechanisms when using these models and theories.</p>",https://bth.diva-portal.org/smash/get/diva2:1721991/FULLTEXT01.pdf,"[25, 25, 25]","[1.0, 1.0, 1.0]","[['engineering collaboration', 'quality engineering', 'collaboration engineering', 'engineering context', 'engineering objective', 'industry academia', 'qualitative methods', 'engineering conclusions', 'studies engineering', 'engineering aims'], ['engineering collaboration', 'quality engineering', 'collaboration engineering', 'engineering context', 'engineering objective', 'industry academia', 'qualitative methods', 'engineering conclusions', 'studies engineering', 'engineering aims'], ['engineering collaboration', 'quality engineering', 'collaboration engineering', 'engineering context', 'engineering objective', 'industry academia', 'qualitative methods', 'engineering conclusions', 'studies engineering', 'engineering aims']]"
Fagerholm_71_2022,1670980,"Fagerholm, Fabian (Aalto University, FIN);Felderer, Michael [mfd] [0000-0003-3818-4442] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Fucci, Davide [dfu] [0000-0002-0679-4361] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Unterkalmsteiner, Michael [mun] [0000-0003-4118-0952] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Marculescu, Bogdan (Kristiania University College, NOR);Martini, Markus (University of Innsbruck, AUT);Tengberg, Lars Göran Wallgren (University of Gothenburg, SWE);Feldt, Robert [rfd] [0000-0002-5179-4205] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Lehtelä, Bettina (Aalto University, FIN);Nagyváradi, Balázs (Aalto University, FIN);Khattak, Jehan (Aalto University, FIN)",2022,Cognition in Software Engineering : A Taxonomy and Survey of a Half-Century of Research,"<p>Cognition plays a fundamental role in most software engineering activities. This article provides a taxonomy of cognitive concepts and a survey of the literature since the beginning of the Software Engineering discipline. The taxonomy comprises the top-level concepts of perception, attention, memory, cognitive load, reasoning, cognitive biases, knowledge, social cognition, cognitive control, and errors, and procedures to assess them both qualitatively and quantitatively. The taxonomy provides a useful tool to filter existing studies, classify new studies, and support researchers in getting familiar with a (sub) area. In the literature survey, we systematically collected and analysed 311 scientific papers spanning five decades and classified them using the cognitive concepts from the taxonomy. Our analysis shows that the most developed areas of research correspond to the four life-cycle stages, software requirements, design, construction, and maintenance. Most research is quantitative and focuses on knowledge, cognitive load, memory, and reasoning. Overall, the state of the art appears fragmented when viewed from the perspective of cognition. There is a lack of use of cognitive concepts that would represent a coherent picture of the cognitive processes active in specific tasks. Accordingly, we discuss the research gap in each cognitive concept and provide recommendations for future research.</p>",https://bth.diva-portal.org/smash/get/diva2:1670980/FULLTEXT01.pdf,[25],[1.0],"[['engineering collaboration', 'quality engineering', 'collaboration engineering', 'engineering context', 'engineering objective', 'industry academia', 'qualitative methods', 'engineering conclusions', 'studies engineering', 'engineering aims']]"
