citationid,Name,Year,Title,Abstract,FullTextLink
Molléri_203_2020,"Molléri, Jefferson Seide [JME] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Petersen, Kai [kps] [0000-0002-1532-8223] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Mendes, Emilia [eme] [0000-0003-0449-5322] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för datalogi och datorsystemteknik [16803]) (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2020,An Empirically Evaluated Checklist for Surveys in Software Engineering,"<p>Context: Over the past decade Software Engineering research has seen a steady increase in survey-based studies, and there are several guidelines providing support for those willing to carry out surveys. The need for auditing survey research has been raised in the literature. Checklists have been used to assess different types of empirical studies, such as experiments and case studies.</p><p>Objective: This paper proposes a checklist to support the design and assessment of survey-based research in software engineering grounded in existing guidelines for survey research. We further evaluated the checklist in the research practice context.</p><p>Method: To construct the checklist, we systematically aggregated knowledge from 12 methodological studies supporting survey-based research in software engineering. We identified the key stages of the survey process and its recommended practices through thematic analysis and vote counting. To improve our initially designed checklist we evaluated it using a mixed evaluation approach involving experienced researchers.</p><p>Results: The evaluation provided insights regarding the limitations of the checklist in relation to its understanding and objectivity. In particular, 19 of the 38 checklist items were improved according to the feedback received from its evaluation. Finally, a discussion on how to use the checklist and what its implications are for research practice is also provided.</p><p>Conclusion: The proposed checklist is an instrument suitable for auditing survey reports as well as a support tool to guide ongoing research with regard to the survey design process.</p>",https://bth.diva-portal.org/smash/get/diva2:1292230/FULLTEXT01.pdf
Santoso_268_2020,"Santoso, Ario (University of Innsbruck, AUT);Felderer, Michael [mfd] [0000-0003-3818-4442] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2020,Specification-driven predictive business process monitoring,"<p>Predictive analysis in business process monitoring aims at forecasting the future information of a running business process. The prediction is typically made based on the model extracted from historical process execution logs (event logs). In practice, different business domains might require different kinds of predictions. Hence, it is important to have a means for properly specifying the desired prediction tasks, and a mechanism to deal with these various prediction tasks. Although there have been many studies in this area, they mostly focus on a specific prediction task. This work introduces a language for specifying the desired prediction tasks, and this language allows us to express various kinds of prediction tasks. This work also presents a mechanism for automatically creating the corresponding prediction model based on the given specification. Differently from previous studies, instead of focusing on a particular prediction task, we present an approach to deal with various prediction tasks based on the given specification of the desired prediction tasks. We also provide an implementation of the approach which is used to conduct experiments using real-life event logs. © 2019, The Author(s).</p>",https://bth.diva-portal.org/smash/get/diva2:1371896/FULLTEXT01.pdf
Vogelsang_338_2020,"Vogelsang, Andreas (Technical University of Berlin, DEU);Eckhardt, Jonas (Tableau Software, DEU);Mendez, Daniel [dmz] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Berger, Moritz (Universität Bonn, DEU)",2020,"Views on quality requirements in academia and practice : commonalities, differences, and context-dependent grey areas","<p>Context: Quality requirements (QRs) are a topic of constant discussions both in industry and academia. Debates entwine around the definition of quality requirements, the way how to handle them, or their importance for project success. While many academic endeavors contribute to the body of knowledge about QRs, practitioners may have different views. In fact, we still lack a consistent body of knowledge on QRs since much of the discussion around this topic is still dominated by observations that are strongly context-dependent. This holds for both academic and practitioners’ views. Our assumption is that, in consequence, those views may differ. Objective: We report on a study to better understand the extent to which available research statements on quality requirements, as found in exemplary peer-reviewed and frequently cited publications, are reflected in the perception of practitioners. Our goal is to analyze differences, commonalities, and context-dependent grey areas in the views of academics and practitioners to allow a discussion on potential misconceptions (on either sides) and opportunities for future research. Method: We conducted a survey with 109 practitioners to assess whether they agree with research statements about QRs reflected in the literature. Based on a statistical model, we evaluate the impact of a set of context factors to the perception of research statements. Results: Our results show that a majority of the statements is well respected by practitioners; however, not all of them. When examining the different groups and backgrounds of respondents, we noticed interesting deviations of perceptions within different groups that may lead to new research questions. Conclusions:Our results help identifying prevalent context-dependent differences about how academics and practitioners view QRs and pinpointing statements where further research might be useful. © 2020 Elsevier B.V.</p>",
Garousi_114_2020,"Garousi, Vahid (Queens Univ Belfast, GBR);Felderer, Michael [mfd] [0000-0003-3818-4442] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Kuhrmann, Marco (Tech Univ Clausthal, DEU);Herkiloglu, Kadir (HAVELSAN AS, TUR);Eldh, Sigrid (Ericsson AB, SWE)",2020,Exploring the industry's challenges in software testing : An empirical study,"<p>Context Software testing is an important and costly software engineering activity in the industry. Despite the efforts of the software testing research community in the last several decades, various studies show that still many practitioners in the industry report challenges in their software testing tasks. Objective To shed light on industry's challenges in software testing, we characterize and synthesize the challenges reported by practitioners. Such concrete challenges can then be used for a variety of purposes, eg, research collaborations between industry and academia. Method Our empirical research method is opinion survey. By designing an online survey, we solicited practitioners' opinions about their challenges in different testing activities. Our dataset includes data from 72 practitioners from eight different countries. Results Our results show that test management and test automation are considered the most challenging among all testing activities by practitioners. Our results also include a set of 104 concrete challenges in software testing that may need further investigations by the research community. Conclusion We conclude that the focal points of industrial work and academic research in software testing differ. Furthermore, the paper at hand provides valuable insights concerning practitioners' ""pain"" points and, thus, provides researchers with a source of important research topics of high practical relevance.</p>",
Moyón_209_2020,"Moyón, Fabiola (Siemens AG, DEU);Bayr, Christoph (Technical University of Munich, DEU);Mendez, Daniel [dmz] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Dännart, Sebastian (Infodas GmbH, DEU);Beckers, Kristian (Siemens AG, DEU)",2020,A Light-Weight Tool for the Self-assessment of Security Compliance in Software Development : An Industry Case,"<p>Companies are often challenged to modify and improve their software development processes in order to make them compliant with security standards. The complexity of these processes renders it difficult for practitioners to validate and foresee the effort required for compliance assessments. Further, performing gap analyses when processes are not yet mature enough is costly and involving auditors in early stages is, in our experience, often inefficient. An easier and more productive approach is conducting a self-assessment. However, practitioners, in particular developers, quality engineers, and product owners face difficulties to identify security-relevant process artifacts as required by standards. They would benefit from a proper and light-weight tool to perform early compliance assessments of their processes w.r.t. security standards before entering an in-depth audit. In this paper, we report on our current effort at Siemens Corporate Technology to develop such a light-weight assessment tool to assess the security compliance of software development processes with the IEC 62443-4-1 standard, and we discuss first results from an interview-based evaluation. © 2020, Springer Nature Switzerland AG.</p>",
Mendes_192_2020,"Mendes, Emilia [eme] [0000-0003-0449-5322] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]) (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för datavetenskap [881506]);Wohlin, Claes [cwo] [0000-0003-0460-5253] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Felizardo, Katia (Federal Technological University of Paraná, BRA);Kalinowski, Marcos (Pontifical Catholic University of Rio de Janeiro (PUC-Rio), BRA)",2020,When to update systematic literature reviews in software engineering,"<p>[Context] Systematic Literature Reviews (SLRs) have been adopted by the Software Engineering (SE) community for approximately 15 years to provide meaningful summaries of evidence on several topics. Many of these SLRs are now potentially outdated, and there are no systematic proposals on when to update SLRs in SE. [Objective] The goal of this paper is to provide recommendations on when to update SLRs in SE. [Method] We evaluated, using a three-step approach, a third-party decision framework (3PDF) employed in other fields, to decide whether SLRs need updating. First, we conducted a literature review of SLR updates in SE and contacted the authors to obtain their feedback relating to the usefulness of the 3PDF within the context of SLR updates in SE. Second, we used these authors’ feedback to see whether the framework needed any adaptation; none was suggested. Third, we applied the 3PDF to the SLR updates identified in our literature review. [Results] The 3PDF showed that 14 of the 20 SLRs did not need updating. This supports the use of a decision support mechanism (such as the 3PDF) to help the SE community decide when to update SLRs. [Conclusions] We put forward that the 3PDF should be adopted by the SE community to keep relevant evidence up to date and to avoid wasting effort with unnecessary updates. © 2020</p>",
Wohlin_348_2020,"Wohlin, Claes [cwo] [0000-0003-0460-5253] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Mendes, Emilia [eme] [0000-0003-0449-5322] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]) (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för datavetenskap [881506]);Felizardo, Katia (Federal Technological University of Paraná, BRA);Kalinowski, Marcos (Pontifical Catholic University of Rio de Janeiro, BRA)",2020,Guidelines for the search strategy to update systematic literature reviews in software engineering,"<p>Context: Systematic Literature Reviews (SLRs) have been adopted within Software Engineering (SE) for more than a decade to provide meaningful summaries of evidence on several topics. Many of these SLRs are now potentially not fully up-to-date, and there are no standard proposals on how to update SLRs in SE. Objective: The objective of this paper is to propose guidelines on how to best search for evidence when updating SLRs in SE, and to evaluate these guidelines using an SLR that was not employed during the formulation of the guidelines. Method: To propose our guidelines, we compare and discuss outcomes from applying different search strategies to identify primary studies in a published SLR, an SLR update, and two replications in the area of effort estimation. These guidelines are then evaluated using an SLR in the area of software ecosystems, its update and a replication. Results: The use of a single iteration forward snowballing with Google Scholar, and employing as a seed set the original SLR and its primary studies is the most cost-effective way to search for new evidence when updating SLRs. Furthermore, the importance of having more than one researcher involved in the selection of papers when applying the inclusion and exclusion criteria is highlighted through the results. Conclusions: Our proposed guidelines formulated based upon an effort estimation SLR, its update and two replications, were supported when using an SLR in the area of software ecosystems, its update and a replication. Therefore, we put forward that our guidelines ought to be adopted for updating SLRs in SE. © 2020</p>",https://bth.diva-portal.org/smash/get/diva2:1448999/FULLTEXT01.pdf
Šāblis_384_2021,"Šāblis, Aivars [asx] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Šmite, Darja [xds] [0000-0003-1744-3118] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Moe, Nils Brede [nbm] [0000-0003-2669-0778] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]) (Digital, SINTEF, NOR)",2021,Team-external coordination in large-scale software development projects,"<p>High-quality work is said to depend on team abilities. However, teams working in large-scale projects often do not have all expertise to complete their tasks, which are also highly interdependent. Therefore, teams need to rely on coordination with other teams, experts, and supporting roles. In this paper, we explore teams' coordination needs and evaluate the impact of the satisfaction of these needs on team performance. We conducted an embedded multicase study with nine teams in two projects in two companies. We collected qualitative data through nine focus groups and 19 interviews and quantitative data using a questionnaire with 49 members from the studied teams. Our results suggest that project-, team-, and task-related characteristics impact teams' coordination needs. Even in the same project, teams may have different expertise and work coordination needs. We found that the satisfaction of these needs seems to influence teams' performance, although our results are inconclusive and yield a closer look in future research. On the basis of our findings, we recommend the companies to cultivate a networking culture and support teams external coordination with other teams and experts, paying attention to their needs, for example, driven by a lack of experience or increased work complexity. © 2020 The Authors. Journal of Software: Evolution and Process published by John Wiley &amp; Sons Ltd</p>",https://bth.diva-portal.org/smash/get/diva2:1453422/FULLTEXT01.pdf
Silvander_278_2020,"Silvander, Johan [jsn] [0000-0003-0396-1993] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2020,Understanding human generated decision data,"<p>In order to design intent-driven systems, the understanding of how the data is generated is essential. Without the understanding of the data generation process, it is not possible to use interventions, and counterfactuals. Interventions, and counterfactuals, are useful tools in order to achieve an artificial intelligence which can improve the system itself. We will create an understanding, and a model, of how data about decisions are generated, as well as used, by human decision makers. The research data were collected with the help of focus group interviews, and questionnaires. The models were built and evaluated with the help of, bayesian statistics, probability programming, and discussions with the practitioners. When we are combining, probabilistic programming models, extended machine learning algorithms, and data science processes, into a directed acyclic graph, we can mimic the process of human generated decision data. We believe the usage of a directed acyclic graph, to combine the functions and models, is a good base for mimic human generated decision data. Our next step is to evaluate if flow-based programming can be used as a framework for realization of components, useful in intent-driven systems. © Springer Nature Switzerland AG 2020.</p>",
Lenz_183_2020,"Lenz, Luca (Sap);Felderer, Michael [mfd] [0000-0003-3818-4442] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]) (University of Innsbruck, AUT);Schwedes, Sascha (Sap);Müller, Kai (Sap)",2020,Explainable Priority Assessment of Software-Defects using Categorical Features at SAP HANA,"<p>We want to automate priority assessment of software defects. To do so we provide a tool which uses an explainability-driven framework and classical machine learning algorithms to keep the decisions transparent. Differing from other approaches we only use objective and categorical fields from the bug tracking system as features. This makes our approach lightweight and extremely fast. We perform binary classification with priority labels corresponding to deadlines. Additionally, we evaluate the tool on real data to ensure good performance in the practical use case. © 2020 ACM.</p>",https://bth.diva-portal.org/smash/get/diva2:1470733/FULLTEXT01.pdf
