citationid,paperid,Name,Year,Title,Abstract,FullTextLink,topics,probs,representations
Angermeir_17_2024,1922042,"Angermeir, Florian [fau] [0000-0001-7903-8236] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Fischbach, Jannik (Fortiss, Germany);Moyón, Fabiola (Siemens Technology, Germany);Mendez, Daniel [dmz] [0000-0003-0619-6027] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2024,Towards Automated Continuous Security Compliance,"<p>Context: Continuous Software Engineering is increasingly adopted in highly regulated domains, raising the need for continuous compliance. Adherence to especially security regulations - a major concern in highly regulated domains - renders Continuous Security Compliance of high relevance to industry and research.</p><p>Problem: One key barrier to adopting continuous software engineering in the industry is the resource-intensive and error-prone nature of traditional manual security compliance activities. Automation promises to be advantageous. However, continuous security compliance is under-researched, precluding an effective adoption.</p><p>Contribution: We have initiated a long-term research project with our industry partner to address these issues. In this manuscript, we make three contributions: (1) We provide a precise definition of the term continuous security compliance aligning with the state-of-art, (2) elaborate a preliminary overview of challenges in the field of automated continuous security compliance through a tertiary literature study, and (3) present a research roadmap to address those challenges via automated continuous security compliance. © 2024 ACM.</p>",,"[6, 26, 6, 6, 6, 6]","[0.4273337557202224, 1.0, 0.35494950195916136, 0.34536804338347116, 0.29123797805838053, 0.360701913803636]","[['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['continuous engineering', 'continuous integration', 'adopting continuous', 'engineering practices', 'continuous delivery', 'continuous', 'activities continuous', 'integration delivery', 'engineering', 'implementing'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats']]"
Badampudi_27_2025,1923599,"Badampudi, Deepika [deb] [0000-0002-6215-1774] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Usman, Muhammad [muu] [0000-0002-8132-0107] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Chen, Xingru [xcn] [0000-0003-1181-9049] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2025,Large scale reuse of microservices using CI/CD and InnerSource practices - a case study,"<p>Contemporary practices such as InnerSource (adopting open source practices within an organization), continuous integration and delivery (CI/CD), and the use of microservices promote software reuse. Although the benefits of individual contemporary practices on reuse may be known, the implications of collective contemporary practices, mainly challenges and improvements to mitigate the challenges, are to a large extent unknown. In this study, we investigate the additional effort (cost factors), benefits, challenges, and potential improvements in contemporary reuse at Ericsson.</p><p>We performed the study in two phases: a) the initial data collection based on a combination of data collection methods (e.g., interviews, discussions, company portals), and b) a follow-up group discussion after a year to understand the status of the challenges and improvements identified in the first phase.</p><p>Our results indicate that developing reusable assets resulted in upfront cost factors, such as additional effort in ensuring compliance. Furthermore, development with reuse also resulted in cost factors, for example, additional effort in integrating and understanding reusable assets. Ericsson perceived the cost factors as an investment resulting in long-term benefits such as improved quality, productivity, customer experience, and way of working. The main challenge faced by Ericsson was the pressure on the producers of reusable assets. Our study shows how InnerSource can lead to an increase in contributions to reusable assets. Furthermore, Ericsson implemented measures like automating compliance checks that improved the maturity of reusable assets, resulting in an increase in their reuse.</p><p>In summary, effective use of contemporary practices such as InnerSource and CI/CD, along with the use of microservices, can facilitate large scale reuse. © The Author(s) 2024.</p>",https://bth.diva-portal.org/smash/get/diva2:1923599/FULLTEXT01.pdf,"[33, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[1.0, 1.0, 1.0, 1.0, 0.48481832077285864, 0.519226105485766, 0.3718476902595479, 1.0, 0.5902261927585624, 0.2347021401513231]","[['microservices', 'services', 'micro', 'security scanning', 'security vulnerabilities', 'mitigating security', 'functionality', 'framework', 'security domain', 'security'], ['reuse', 'reusing', 'reusable assets', 'innersource practices', 'reusable', 'practices innersource', 'practices improve', 'cost factors', 'potential improvements', 'ownership reusable'], ['reuse', 'reusing', 'reusable assets', 'innersource practices', 'reusable', 'practices innersource', 'practices improve', 'cost factors', 'potential improvements', 'ownership reusable'], ['reuse', 'reusing', 'reusable assets', 'innersource practices', 'reusable', 'practices innersource', 'practices improve', 'cost factors', 'potential improvements', 'ownership reusable'], ['reuse', 'reusing', 'reusable assets', 'innersource practices', 'reusable', 'practices innersource', 'practices improve', 'cost factors', 'potential improvements', 'ownership reusable'], ['reuse', 'reusing', 'reusable assets', 'innersource practices', 'reusable', 'practices innersource', 'practices improve', 'cost factors', 'potential improvements', 'ownership reusable'], ['reuse', 'reusing', 'reusable assets', 'innersource practices', 'reusable', 'practices innersource', 'practices improve', 'cost factors', 'potential improvements', 'ownership reusable'], ['reuse', 'reusing', 'reusable assets', 'innersource practices', 'reusable', 'practices innersource', 'practices improve', 'cost factors', 'potential improvements', 'ownership reusable'], ['reuse', 'reusing', 'reusable assets', 'innersource practices', 'reusable', 'practices innersource', 'practices improve', 'cost factors', 'potential improvements', 'ownership reusable'], ['reuse', 'reusing', 'reusable assets', 'innersource practices', 'reusable', 'practices innersource', 'practices improve', 'cost factors', 'potential improvements', 'ownership reusable']]"
Bendler_33_2023,1786480,"Bendler, Daniel (University Innsbruck, Austria.);Felderer, Michael [mfd] [0000-0003-3818-4442] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2023,Competency Models for Information Security and Cybersecurity Professionals : Analysis of Existing Work and a New Model,"<p>Competency models are widely adopted frameworks that are used to improve human resource functions and education. However, the characteristics of competency models related to the information security and cybersecurity domains are not well understood. To bridge this gap, this study investigates the current state of competency models related to the security domain through qualitative content analysis. Additionally, based on the competency model analysis, an evidence-based competency model is proposed. Examining the content of 27 models, we found that the models can benefit target groups in many different ways, ranging from policymaking to performance management. Owing to their many uses, competency models can arguably help to narrow the skills gap from which the profession is suffering. Nonetheless, the models have their shortcomings. First, the models do not cover all of the topics specified by the Cybersecurity Body of Knowledge ( i.e., no model is complete). Second, by omitting social, personal, and methodological competencies, many models reduce the competency profile of a security expert to professional competencies. Addressing the limitations of previous work, the proposed competency model provides a holistic view of the competencies required by security professionals for job achievement and can potentially benefit both the education system and the labor market. To conclude, the implications of the competency model analysis and use cases of the proposed model are discussed.</p>",https://bth.diva-portal.org/smash/get/diva2:1786480/FULLTEXT01.pdf,"[6, 6, 6, 6, 6, 6, 6, 6, 6]","[1.0, 0.5558825769987767, 0.7197955067472002, 1.0, 0.5694836679033116, 0.48602612760989905, 0.6859336931555191, 0.7450872296979035, 0.5039817795727174]","[['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats']]"
Chen_48_2022,1696267,"Chen, Xingru [xcn] [0000-0003-1181-9049] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Badampudi, Deepika [deb] [0000-0002-6215-1774] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Usman, Muhammad [muu] [0000-0002-8132-0107] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2022,Reuse in Contemporary Software Engineering Practices - An Exploratory Case Study in A Medium-sized Company,"<p>Background: Software practice is evolving with changing technologies and practices such as InnerSource, DevOps, and microservices. It is important to investigate the impact of contemporary software engineering (SE) practices on software reuse.Aim: This study aims to characterize software reuse in contemporary SE practices and investigate its implications in terms of costs, benefits, challenges, and potential improvements in a medium-sized company.Method: We performed an exploratory case study by conducting interviews, group discussions, and reviewing company documentation to investigate software reuse in the context of contemporary SE practices in the case company.Results: The results indicate that the development for reuse in contemporary SE practices incurs additional coordination, among other costs. Development with reuse led to relatively fewer additional costs and resulted in several benefits such as better product quality and less development and delivery time. Ownership of reusable assets is challenging in contemporary SE practice. InnerSource practices may help mitigate the top perceived challenges: discoverability and ownership of the reusable assets, knowledge sharing and reuse measurement.Conclusion: Reuse in contemporary SE practices is not without additional costs and challenges. However, the practitioners perceive costs as investments that benefit the company in the long run.</p>",https://bth.diva-portal.org/smash/get/diva2:1696267/FULLTEXT01.pdf,"[20, 33, 20, 20, 20, 20]","[1.0, 0.5915790545363724, 1.0, 1.0, 0.24202292049918137, 0.8153525434998818]","[['reuse', 'reusing', 'reusable assets', 'innersource practices', 'reusable', 'practices innersource', 'practices improve', 'cost factors', 'potential improvements', 'ownership reusable'], ['microservices', 'services', 'micro', 'security scanning', 'security vulnerabilities', 'mitigating security', 'functionality', 'framework', 'security domain', 'security'], ['reuse', 'reusing', 'reusable assets', 'innersource practices', 'reusable', 'practices innersource', 'practices improve', 'cost factors', 'potential improvements', 'ownership reusable'], ['reuse', 'reusing', 'reusable assets', 'innersource practices', 'reusable', 'practices innersource', 'practices improve', 'cost factors', 'potential improvements', 'ownership reusable'], ['reuse', 'reusing', 'reusable assets', 'innersource practices', 'reusable', 'practices innersource', 'practices improve', 'cost factors', 'potential improvements', 'ownership reusable'], ['reuse', 'reusing', 'reusable assets', 'innersource practices', 'reusable', 'practices innersource', 'practices improve', 'cost factors', 'potential improvements', 'ownership reusable']]"
Fucci_107_2024,1857279,"Fucci, Davide [dfu] [0000-0002-0679-4361] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Alégroth, Emil [EAL] [0000-0001-7526-3727] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Felderer, Michael [mfd] [0000-0003-3818-4442] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Johannesson, Christoffer (Ericsson, Karlskrona, Sweden)",2024,Evaluating software security maturity using OWASP SAMM : Different approaches and stakeholders perceptions,"<p>Background: Recent years have seen a surge in cyber-attacks, which can be prevented or mitigated using software security activities. OWASP SAMM is a maturity model providing a versatile way for companies to assess their security posture and plan for improvements. Objective: We perform an initial SAMM assessment in collaboration with a company in the financial domain. Our objective is to assess a holistic inventory of the company security-related activities, focusing on how different roles perform the assessment and how they perceive the instrument used in the process. Methodology: We perform a case study to collect data using SAMM in a lightweight and novel manner through assessment using an online survey with 17 participants and a focus group with seven participants. Results: We show that different roles perceive maturity differently and that the two assessments deviate only for specific practices making the lightweight approach a viable and efficient solution in industrial practice. Our results indicate that the questions included in the SAMM assessment tool are answered easily and confidently across most roles. Discussion: Our results suggest that companies can productively use a lightweight SAMM assessment. We provide nine lessons learned for guiding industrial practitioners in the evaluation of their current security posture as well as for academics wanting to utilize SAMM as a research tool in industrial settings. Editor's note: Open Science material was validated by the Journal of Systems and Software Open Science Board. © 2024 The Author(s)</p>",https://bth.diva-portal.org/smash/get/diva2:1857279/FULLTEXT01.pdf,"[6, 6, 6, 6, 6]","[0.7809844036972291, 1.0, 0.7276123382014371, 1.0, 1.0]","[['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats']]"
Moyón_210_2020,1514357,"Moyón, Fabiola (Technical University of Munich and Siemens, DEU);Mendez, Daniel [dmz] [0000-0003-0619-6027] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]) (fortiss GmbH, DEU);Beckers, Kristian (Social Engineering Academy, DEU);Klepper, Sebastian (Technical University of Munich, DEU)",2020,How to Integrate Security Compliance Requirements with Agile Software Engineering at Scale?,"<p>Integrating security into agile software development is an open issue for research and practice. Especially in strongly regulated industries, complexity increases not only when scaling agile practices but also when aiming for compliance with security standards. To achieve security compliance in a large-scale agile context, we developed S2C-SAFe: An extension of the Scaled Agile Framework that is compliant to the security standard IEC 62443-4-1 for secure product development. In this paper, we present the framework and its evaluation by agile and security experts within Siemens’ large-scale project ecosystem. We discuss benefits and limitations as well as challenges from a practitioners’ perspective. Our results indicate that S2C-SAFe contributes to successfully integrating security compliance with lean and agile development in regulated environments. We also hope to raise awareness for the importance and challenges of integrating security in the scope of Continuous Software Engineering. © 2020, Springer Nature Switzerland AG.</p>",https://bth.diva-portal.org/smash/get/diva2:1514357/FULLTEXT01.pdf,"[6, 6, 6, 6, 6, 6, 6]","[0.4345143383545392, 0.47273190548025984, 0.5121773863482963, 0.3624640509400687, 0.34514609862876217, 0.39392762011959026, 0.3487649418285898]","[['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats']]"
Moyón_211_2021,1610514,"Moyón, Fabiola (Siemens Technology, DEU);Mendez, Daniel [dmz] [0000-0003-0619-6027] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Beckers, Kristian (Social Engineering Academy, DEU);Klepper, Sebastian (Technical University Munich TUM, DEU)",2021,Using Process Models to Understand Security Standards,"<p>Many industrial software development processes today have to comply with security standards such as the IEC 62443-4-1. These standards, written in natural language, are ambiguous and complex to understand. This is especially true for non-security experts. Security practitioners thus invest much effort into comprehending standards and, later, into introducing them to development teams. However, our experience in the industry shows that development practitioners might very well also read such standards, but nevertheless end up inviting experts for interpretation (or confirmation). Such a scenario is not in tune with current trends and needs of increasing velocity in continuous software engineering. In this paper, we propose a tool-supported approach to make security standards more precise and easier to understand for both non-security as well as security experts by applying process models. This approach emerges from a large industrial company and encompasses so far the IEC 62443-4–1 standard. We further present a case study with 16 industry practitioners showing how the approach improves communication between development and security compliance practitioners. © 2021, Springer Nature Switzerland AG.</p>",,"[6, 6, 6, 6, 6, 6, 6]","[0.644551035774429, 0.3639779343504665, 0.5070558307509685, 0.6221347925679503, 0.6821963192839517, 0.08828890671380074, 1.0]","[['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats']]"
Peixoto_236_2024,1887738,"Peixoto, Mariana (Universidade de Pernambuco (UPE), Brazil);Gorschek, Tony [tgo] [0000-0002-3646-235x] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Mendez, Daniel [dmz] [0000-0003-0619-6027] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Fucci, Davide [dfu] [0000-0002-0679-4361] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Silva, Carla (Universidade Federal de Pernambuco (UFPE), Brazil)",2024,A natural language-based method to specify privacy requirements : an evaluation with practitioners,"<p>Organisations are becoming concerned with effectively dealing with privacy-related requirements. Existing Requirements Engineering methods based on structured natural language suffer from several limitations both in eliciting and specifying privacy requirements. In our previous study, we proposed a structured natural-language approach called the “Privacy Criteria Method” (PCM), which demonstrates potential advantages over user stories. Our goal is to present a PCM evaluation that focused on the opinions of software practitioners from different companies on PCM’s ability to support the specification of privacy requirements and the quality of the privacy requirements specifications produced by these software practitioners. We conducted a multiple case study to evaluate PCM in four different industrial contexts. We gathered and analysed the opinions of 21 practitioners on PCM usage regarding Coverage, Applicability, Usefulness, and Scalability. Moreover, we assessed the syntactic and semantic quality of the PCM artifacts produced by these practitioners. PCM can aid developers in elaborating requirements specifications focused on privacy with good quality. The practitioners found PCM to be useful for their companies’ development processes. PCM is considered a promising method for specifying privacy requirements. Some slight extensions of PCM may be required to tailor the method to the characteristics of the company. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2024.</p>",,"[6, 6, 6, 6, 6, 6, 6]","[0.20497588595873625, 0.2023231817187892, 0.17932324127293647, 0.1837855744018555, 0.18207003975646172, 0.15467312932935562, 0.15250220628592126]","[['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats']]"
Peixoto_237_2025,1924133,"Peixoto, Mariana (Universidade de Pernambuco (UPE), Brazil);Gorschek, Tony [tgo] [0000-0002-3646-235x] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Mendez, Daniel [dmz] [0000-0003-0619-6027] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Silva, Carla (Universidade Federal de Pernambuco (UFPE), Brazil);Fucci, Davide [dfu] [0000-0002-0679-4361] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2025,The Perspective of Agile Software Developers on Data Privacy,"<p>Recent studies have shown that many software developers do not have sufficient knowledge and understanding of how to develop a privacy-friendly system. This may become a challenge in developing systems complying with data protection laws. To address this issue, we investigated the factors that influence developers' decision-making when developing privacy-sensitive systems.</p><p>We conducted an empirical study by means of a survey with 109 practitioners. Our data analysis is based on the principles of social cognitive theory, which includes personal, behavioral, and external environmental factors.</p><p>We identified six personal, five behavioral, and five external environment factors that affect how developers make decisions regarding privacy, including confusion between privacy and security and reliance on informal practices and organizational support gaps. These findings contribute to understanding how practitioners and companies consider privacy, showing improvements in formal training and structured support over previous studies yet highlighting persistent challenges in consistent privacy integration. </p>",,"[6, 6, 6, 6, 6, 6]","[0.20685957448111267, 0.18875883876599403, 0.16450323549861182, 0.21094862883320895, 0.21612220730567513, 0.21496190939593784]","[['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats'], ['security experts', 'cybersecurity', 'security', 'non security', 'requirements specifications', 'compliance', 'information sharing', 'vulnerabilities', 'confidentiality', 'threats']]"
Sarika_269_2023,1777850,"Sarika, Pawan Kumar (Ericsson AB, Stockholm, Sweden);Badampudi, Deepika [deb] [0000-0002-6215-1774] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Josyula, Sai Prashanth [SPJ] [0000-0001-8377-8536] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för datavetenskap [881506]);Usman, Muhammad [muu] [0000-0002-8132-0107] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2023,Automating Microservices Test Failure Analysis using Kubernetes Cluster Logs,"<p>Kubernetes is a free, open-source container orchestration system for deploying and managing Docker containers that host microservices. Kubernetes cluster logs help in determining the reason for the failure. However, as systems become more complex, identifying failure reasons manually becomes more difficult and time-consuming. This study aims to identify effective and efficient classification algorithms to automatically determine the failure reason. We compare five classification algorithms, Support Vector Machines, K-Nearest Neighbors, Random Forest, Gradient Boosting Classifier, and Multilayer Perceptron. Our results indicate that Random Forest produces good accuracy while requiring fewer computational resources than other algorithms. © 2023 Owner/Author.</p>",https://bth.diva-portal.org/smash/get/diva2:1777850/FULLTEXT01.pdf,"[33, 33, 33, 5, 5]","[1.0, 1.0, 1.0, 1.0, 1.0]","[['microservices', 'services', 'micro', 'security scanning', 'security vulnerabilities', 'mitigating security', 'functionality', 'framework', 'security domain', 'security'], ['microservices', 'services', 'micro', 'security scanning', 'security vulnerabilities', 'mitigating security', 'functionality', 'framework', 'security domain', 'security'], ['microservices', 'services', 'micro', 'security scanning', 'security vulnerabilities', 'mitigating security', 'functionality', 'framework', 'security domain', 'security'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction'], ['classifiers', 'machine learning', 'predictive', 'random forest', 'human classifiers', 'boosting', 'classifier', 'ml based', 'ml techniques', 'prediction']]"
