citationid,Name,Year,Title,Abstract,FullTextLink
Klotins_167_2021,"Klotins, Eriks [ekx] [0000-0002-1987-2234] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Unterkalmsteiner, Michael [mun] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Chatzipetrou, Panagiota [pac] [0000-0002-0311-1502] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Gorschek, Tony [tgo] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Prikladniki, Rafael (Pontificia Universidade Catolica do Rio Grande do Sul, BRA);Tripathi, Nirnaya (Oulun Yliopisto, FIN);Pompermaier, Leandro Bento (Pontificia Universidade Catolica do Rio Grande do Sul, BRA)",2021,"A progression model of software engineering goals, challenges, and practices in start-ups","<p>Context: Software start-ups are emerging as suppliers of innovation and software-intensive products. However, traditional software engineering practices are not evaluated in the context, nor adopted to goals and challenges of start-ups. As a result, there is insufficient support for software engineering in the start-up context. IEEE</p>",
Klotins_166_2021,"Klotins, Eriks [ekx] [0000-0002-1987-2234] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Unterkalmsteiner, Michael [mun] [0000-0003-4118-0952] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Chatzipetrou, Panagiota (Örebro University School of Business, SWE);Gorschek, Tony [tgo] [0000-0002-3646-235x] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Prikladnicki, Rafæl (Pontifical Catholic University of Rio Grande do Sul, BRA);Tripathi, Nirnaya (University of Oulu, FIN);Pompermaier, Leandro Bento (Pontifical Catholic University of Rio Grande do Sul, BRA)",2021,Use of agile practices in start-up companies,"<p>Context Software start-ups have shown their ability to develop and launch innovative software products and services. Small, motivated teams and uncertain project scope makes start-ups good candidates for adopting Agile practices. Objective We explore how start-ups use Agile practices and what effects can be associated with the use of those practices. Method We use a case survey to analyze 84 start-up cases and 56 Agile practices. We apply statistical methods to test for statistically significant associations between the use of Agile practices, team, and product factors. Results Our results suggest that development of the backlog, use of version control, code refactoring, and development of user stories are the most frequently reported practices. We identify 22 associations between the use of Agile practices, team, and product factors. The use of Agile practices is associated with effects on source code and overall product quality. A teams’ positive or negative attitude towards best engineering practices is a significant indicator for either adoption or rejection of certain Agile practices. To explore the relationships in our findings, we set forth a number of propositions that can be investigated in future research. Conclusions We conclude that start-ups use Agile practices, however without following any specific methodology. We identify the opportunity for more fine-grained studies into the adoption and effects of individual Agile practices. Start-up practitioners could benefit from Agile practices in terms of better overall quality, tighter control over team performance, and resource utilization. © 2021 Wroclaw University of Science and Technology. All rights reserved.</p>",https://bth.diva-portal.org/smash/get/diva2:1556503/FULLTEXT01.pdf
Trinkenreich_315_2022,"Trinkenreich, Bianca (Northern of Arizona University, USA);Britto, Ricardo [rbr] [0000-0002-7220-9570] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Gerosa, Marco A. (Northern of Arizona University, USA);Steinmacher, Igor (Univ. Tecnológica Federal Do Paraná, BRA)",2022,An Empirical Investigation on the Challenges Faced by Women in the Software Industry : A Case Study,"<p>Context: Addressing women's under-representation in the soft-ware industry, a widely recognized concern, requires attracting as well as retaining more women. Hearing from women practitioners, particularly those positioned in multi-cultural settings, about their challenges and and adopting their lived experienced solutions can support the design of programs to resolve the under-representation issue. Goal: We investigated the challenges women face in global software development teams, particularly what motivates women to leave their company; how those challenges might break down according to demographics; and strategies to mitigate the identified challenges. Method: To achieve this goal, we conducted an ex-ploratory case study in Ericsson, a global technology company. We surveyed 94 women and employed mixed-methods to analyze the data. Results: Our findings reveal that women face socio-cultural challenges, including work-life balance issues, benevolent and hos-tile sexism, lack of recognition and peer parity, impostor syndrome, glass ceiling bias effects, the prove-it-again phenomenon, and the maternal wall. The participants of our research provided different suggestions to address/mitigate the reported challenges, including sabbatical policies, flexibility of location and time, parenthood support, soft skills training for managers, equality of payment and opportunities between genders, mentoring and role models to sup-port career growth, directives to hire more women, inclusive groups and events, women's empowerment, and recognition for women's success. The framework of challenges and suggestions can inspire further initiatives both in academia and industry to onboard and retain women. Women represent less than 24% of employees in software development industry and experience various types of prejudice and bias. Even in companies that care about Diversity &amp; Inclusion, 'untying the mooring ropes' of socio-cultural problems is hard. Hearing from women, especially those working in a multi-cultural organization, about their challenges and adopting their suggestions can be vital to design programs and resolve the under-representation issue. In this work we work closely with a large software development or-ganization which invests and believes in diversity and inclusion. We listened to women and the challenges they face in global soft-ware development teams of this company and what these women suggest reduce the problems and increase retention. Our research showed that women face work-life balance issues and encounter invisible barriers that prevent them from rising to top positions. They also suffer micro-aggression and sexism, need to show com-petence constantly, be supervised in essential tasks, and receive less work after becoming mothers. Moreover, women miss having more female colleagues, lack self-confidence and recognition. The women from the company suggested sabbatical policies, the flexibil-ity of location and time, parenthood support, soft skills training for managers, equality of opportunities, role models to support career growth, directives to hire more women, support groups, and more interaction between women, inclusive groups and events, women's empowerment by publishing their success stories in media and recognizing their achievements. Our results had been shared with the company Human Resources department and management and they considered the diagnosis helpful and will work on actions to mitigate the challenges that women still perceive. © 2022 IEEE.</p>",
Hansen_132_2022,"Hansen, Karl (University of Southern Denmark, DNK);Osmanovic, Admir (University of Southern Denmark, DNK);Klerens, Benjamin (University of Southern Denmark, DNK);Edison, Henry [hed] [0000-0002-9494-8059] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2022,The Evolution of Software Startup Research : A Survey of Literature,"<p>The software startup research area has grown rapidly in the recent years. It is widely known that building software startups are challenging endeavors, and the failure rate is high. However, the fascinating phenomenon keeps getting interest from academics to address those challenges, due to the potential of software startups as an effective way for disruptive innovation. The aim of this study is to provide an update on the evolution of the software startup research area through a systematic mapping study. Our contributions are two-fold. First, we provide a mapping of current research in software startups in terms of contributing disciplines and research methods and theories used. The second contribution is the identification of two new and emerging research streams termed Software Startup Education and Ethics in Software Startups. Furthermore, the findings allow us to update the research agenda and provide new examples of research questions to advance the software startup research area. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.</p>",
Tkalich_304_2022,"Tkalich, Anastasiia [atk] [0000-0001-7391-4194] (SINTEF, Trondheim, NOR);Edison, Henry [hed] [0000-0002-9494-8059] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2022,On the Characteristics of Internal Software Startups,"<p>In recent years, more attention has been given to internal software startups in practice and in research alike, yet the concept is not fully understood. Nor is it clear whether or not it significantly differs from stand-alone software startup, and if yes, then how. In this position paper, we propose to conceptualize internal software startups as a hybrid of two related concepts: stand-alone software startup and internal corporate venture (ICV). We derive characteristics of the both concepts from the earlier literature and use our previous research on internal software startups to uncover the differences and the similarities across the three concepts. © 2022, The Author(s).</p>",https://bth.diva-portal.org/smash/get/diva2:1718143/FULLTEXT01.pdf
Simaremare_282_2024,"Simaremare, Mario [mcb] [0000-0002-7873-6363] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Edison, Henry [hed] [0000-0002-9494-8059] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2024,AI Assistant to Improve Experimentation in Software Startups Using Large Language Model and Prompt Engineering,"<p>Software startup is a unique type of company with unique characteristics. On the one hand, they must offer innovative products appealing to customers to generate revenue and survive, but on the other hand, they are limited in resources, time, and experience. During the new product development, it is important to experiment with their original ideas. However, doing a meaningful experiment requires resources and challenges. A study on failed software startups shows that, despite its importance, many software startups skipped or did not experiment with their ideas. The study identifies 25 inhibitors spread in five experimentation stages. In the last few years, Large Language Models (LLMs) have become a popular technology. The advancement of LLM has made it adopted into many parts of the software development cycle. Studies show that LLM also has been used to generate new innovative product ideas and to manage innovation. However, there is no investigation into the possibility of utilizing the power of LLM to help software startups do experimentation. Interactions to an LLM are done through prompts. During the interaction or session, a user will send one or more prompts in a zero-, one-, or few-shots to an LLM agent. Unfortunately, learning and using prompts effectively requires time and resources, things that software startups are scarce with. In this project, we aim to help improve the experimentation process and address the inhibitors by leveraging the power of LLMs. There are five initial research questions and studies planned in the project. In the first step, we will investigate current experimentation practices, challenges, inhibitors, and the strategies used to circumvent them. Secondly, we will investigate how AI has been used in today's experimentation. Then, we will investigate the set of measurements available to measure the success of an experiment. The next step is to investigate how to support experimentation using LLMs followed by a validation sequence. The first form of support is a prompt guidebook to help software startups use an LLM agent to help their experimentation. The second form is an LLM-based assistant tailored specifically to guide the experimentation process. © 2006 Gesellschaft für Informatik, Bonn.</p>",https://bth.diva-portal.org/smash/get/diva2:1838491/FULLTEXT01.pdf
Edison_66_2024,"Edison, Henry [hed] [0000-0002-9494-8059] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Melegati, Jorge (Free University of Bozen-Bolzano, Italy);Bjarnason, Elizabeth (Lund University)",2024,Experimentation in Early-Stage Video Game Startups : Practices and Challenges,"<p>Experimentation has been considered critical for successful software product and business development, including in video game startups. Video game startups need “wow” qualities that distinguish them from the competition. Thus, they need to continuously experiment to find these qualities before running out of time and resources. In this study, we aimed to explore how these companies perform experimentation. We interviewed four co-founders of video game startups. Our findings identify six practices, or scenarios, through which video game startups conduct experiments and challenges associated with these. The initial results could inform these startups about the possibilities and challenges and guide future research. © The Author(s) 2024.</p>",https://bth.diva-portal.org/smash/get/diva2:1849092/FULLTEXT01.pdf
Simaremare_284_2025,"Simaremare, Mario [mcb] [0000-0002-7873-6363] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Rico, Sergio (Mid Sweden University);Triando, Damiri Burlian (Free University of Bozen-Bolzano, Italy)",2025,Exploring the Potential of Generative AI : Use Cases in Software Startups,"<p>Background and Related Work:</p><p>Software startups face unique challenges in product development, including limited resources, the need for rapid innovation, and the constant pressure to adapt to market changes. Generative Artificial Intelligence (GenAI) has recently gained significant attention, offering capabilities to assist creative processes, generate content, and enhance decision-making through data analysis. However, how GenAI can be integrated into agile product development processes in software startups remains an open question.</p><p>Objective:</p><p>This study aims to identify potential use cases for GenAI in software startups and explore how GenAI can support innovation, overcome development challenges, and integrate with agile practices to improve product quality and development speed.</p><p>Method:</p><p>We identified a list of GenAI use cases from existing systematic literature reviews and mapped them to engineering process areas in software startups. Following that, we conducted workshops with experts to validate our results. Results: The results provide a descriptive overview of GenAI’s potential applications in software startup environments. Given the current state of the art, we identified areas that could benefit faster from integrating GenAI.</p><p>Conclusions:</p><p>The study delineates the prospective impact of GenAI on agile product development in software startups, showcasing areas of immediate applicability. </p>",https://bth.diva-portal.org/smash/get/diva2:1941316/FULLTEXT01.pdf
Simaremare_283_2024,"Simaremare, Mario [mcb] [0000-0002-7873-6363] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Edison, Henry [hed] [0000-0002-9494-8059] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2024,The State of Generative AI Adoption from Software Practitioners' Perspective : An Empirical Study,"<p>Context: Generative AI (GenAI) brings new opportunities to the software industry and the digital economy in a broader context.</p><p>Objective: This study aimed to explore and capture the practitioners' perception of GenAI adoption in the fast-paced software industry in the context of developing countries. Method: We conducted online focus group discussions with 18 practitioners from various roles to collect qualitative data. The practitioners have an average of 7.8 years of working experience and have used GenAI for over a year. We employed thematic analysis and the Human-AI Collaboration and Adaptation Framework (HACAF) to identify the influencing factors of GenAI adoption, such as awareness, use cases, and challenges.</p><p>Results: The adoption of GenAI technology is evident from practitioners. We identified 22 practical use cases, three of which were novel, i.e., contextualizing solutions, assisting the internal audit process, and benchmarking the internal software development process. We also discovered seven key challenges associated with the GenAI adoption, two of which were novel, namely, no matching use cases and unforeseen benefits. These challenges slow GenAI adoption and potentially hinder developing countries from entering a high-skill industry.</p><p>Conclusion: While the adoption of GenAI technology is promising, industry-academia collaboration is needed to find solutions and strategies to address the challenges and maximize its potential benefits.</p>",https://bth.diva-portal.org/smash/get/diva2:1942945/FULLTEXT01.pdf
Triando_314_2025,"Triando,  (Free University of Bozen-Bolzano, Italy);Simaremare, Mario [mcb] [0000-0002-7873-6363] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Wang, Xiaofeng (Free University of Bozen-Bolzano, Italy);Prasad, Akshy Sripad Raghavendra (Free University of Bozen-Bolzano, Italy)",2025,The Use of Generative AI Tools in the Inception Stage of Software Startups,"<p>Generative Artificial Intelligence (GenAI) is disrupting numerous fields of human endeavors, including software startups. While GenAI tools hold the promise of accelerating innovation, improving product quality, and enhancing decision-making, software startups during their inception stage, a phase characterized by high uncertainty and limited resources, may face significant challenges in using these technologies. However, understanding the opportunities and challenges that GenAI brings to software startups is scarce due to the nascent nature of GenAI tools.</p><p>Our study aims to provide an initial understanding of the intriguing research phenomenon of GenAI application in early-stage software startups. An action case study approach is employed in our study. We examined two software startups within a university setting, focusing on how these teams utilized GenAI tools in the inception stage.</p><p>The findings revealed 11 opportunities and 10 challenges of using GenAI tools in the inception stage. Novel findings in the startup context include opportunities like brand identity development, generating landing pages, simulating customer feedback, and validating MVP. In contrast, challenges include a function-oriented rather than problem-oriented and a tendency to please rather than provide critical feedback. The findings suggest that while GenAI tools offer valuable benefits for startups, successful adoption requires careful consideration of technical and non-technical factors. This research opens avenues for future studies on integrating GenAI in early-stage software startups. </p>",
