citationid,paperid,Name,Year,Title,Abstract,FullTextLink,topics,probs,representations
Britto_40_2020,1452331,"Britto, Ricardo [rbr] [0000-0002-7220-9570] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]) (Ericsson AB);Šmite, Darja [xds] [0000-0003-1744-3118] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Damm, Lars Ola (Ericsson AB);Börstler, Jürgen [jub] [0000-0003-0639-4234] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2020,Evaluating and strategizing the onboarding of software developers in large-scale globally distributed projects,"<p>The combination of scale and distribution in software projects makes the onboarding of new developers problematic. To the best of our knowledge, there is no research on the relationship between onboarding strategies and the performance evolution of newcomers in large-scale, globally distributed projects. Furthermore, there are no approaches to support the development of strategies to systematically onboard developers. In this paper, we address these gaps by means of an industrial case study. We identified that the following aspects seem to be related to the observed onboarding results: the distance to mentors, the formal training approach used, the allocation of large and distributed tasks in the early stages of the onboarding process, and team instability. We conclude that onboarding must be planned well ahead and should consider avoiding the aspects mentioned above. Based on the results of this investigation, we propose a process to strategize and evaluate onboarding. To develop the process, we used business process modeling. We conducted a static validation of the proposed process utilizing interviews with experts. The static validation of the process indicates that it can help companies to deal with the challenges associated with the onboarding of newcomers through more systematic, effective, and repeatable onboarding strategies. © 2020 Elsevier Inc.</p>",,"[12, 12]","[0.19381384247346464, 0.1623212292941185]","[['agile teams', 'agile practices', 'adopting agile', 'agile team', 'agile methods', 'use agile', 'agile', 'team climate', 'distributed projects', 'team members'], ['agile teams', 'agile practices', 'adopting agile', 'agile team', 'agile methods', 'use agile', 'agile', 'team climate', 'distributed projects', 'team members']]"
Chatzipetrou_47_2025,1923719,"Chatzipetrou, Panagiota [0000-0002-0311-1502] (Örebro University School of Business);Šmite, Darja [xds] [0000-0003-1744-3118] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Tkalich, Anastasiia [atk] [0000-0001-7391-4194] (SINTEF, Norway);Moe, Nils Brede [nbm] [0000-0003-2669-0778] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Klotins, Eriks [ekx] [0000-0002-1987-2234] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2025,Interest in Working Remotely : Is Gender a Factor?,"<p>Background: Modern workplaces have irreversibly changed their attitudes toward remote working, allowing different degrees of remotely working. Decisions about the influence of restricted remote working and mandatory office presence often raise the question of disproportional impact on different genders.</p><p>Aim: Our aim is to achieve a better understanding of whether WFH has a gender-segregated motivation and what other factors predict individual choices to work onsite or remotely.</p><p>Method: We report results from a company-wide survey conducted in NorBank, a Norwegian fintech company. The data is analyzed using descriptive statistics, contingency tables, Chi-Square test of association along with post hoc tests. We illustrated the results by using diverged chart bars.</p><p>Results: The results show that gender differences among software engineers are negligible and insignificant. Further, software engineers work more remotely than employees in other departments. We also found that engineers without managerial responsibilities are less at the office, and those who live further to their job, tend to work more remotely. With respect to preferences to work remotely, we found that younger engineers choose to work at the office more often than the senior engineers.</p><p>Conclusions: We found that the strongest predictor of the degree of remote working is not the gender but commute time and role. This also means that any analysis of general populations (as the analysis of all employees at NorBank) shall be approached with care because it may lead to flawed conclusions due to the different distributions of gender and roles in different departments. </p>",,"[2, 2, 2, 2, 2, 2, 2, 2]","[0.2499613883317793, 0.43249733492387193, 0.15593490971454324, 0.09604525490936194, 0.21420797583149656, 0.24595242032838402, 0.3305183626451407, 0.19227171210444666]","[['working home', 'work home', 'work life', 'work arrangements', 'forced working', 'perceived productivity', 'employees', 'work', 'office', 'managers'], ['working home', 'work home', 'work life', 'work arrangements', 'forced working', 'perceived productivity', 'employees', 'work', 'office', 'managers'], ['working home', 'work home', 'work life', 'work arrangements', 'forced working', 'perceived productivity', 'employees', 'work', 'office', 'managers'], ['working home', 'work home', 'work life', 'work arrangements', 'forced working', 'perceived productivity', 'employees', 'work', 'office', 'managers'], ['working home', 'work home', 'work life', 'work arrangements', 'forced working', 'perceived productivity', 'employees', 'work', 'office', 'managers'], ['working home', 'work home', 'work life', 'work arrangements', 'forced working', 'perceived productivity', 'employees', 'work', 'office', 'managers'], ['working home', 'work home', 'work life', 'work arrangements', 'forced working', 'perceived productivity', 'employees', 'work', 'office', 'managers'], ['working home', 'work home', 'work life', 'work arrangements', 'forced working', 'perceived productivity', 'employees', 'work', 'office', 'managers']]"
Dorner_62_2024,1877635,"Dorner, Michael [mrr] [0000-0001-8879-6450] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Capraro, Maximilian (Kolabri, Germany);Treidler, Oliver (Kolabri, Germany);Kunz, Tom-Eric (Kolabri, Germany);Šmite, Darja [xds] [0000-0003-1744-3118] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Zabardast, Ehsan [ehz] [0000-0002-1729-5154] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Mendez, Daniel [dmz] [0000-0003-0619-6027] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Wnuk, Krzysztof [krw] [0000-0003-3567-9300] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",2024,Taxing Collaborative Software Engineering : The Challenges for Tax Compliance in Software Engineering,"<p>The engineering of complex software systems is often the result of a highly collaborative effort. However, collaboration within a multinational enterprise has an overlooked legal implication when developers collaborate across national borders: It is taxable. In this article, we discuss the unsolved problem of taxing collaborative software engineering across borders.</p>",https://bth.diva-portal.org/smash/get/diva2:1877635/FULLTEXT01.pdf,[18],[0.18546570614458593],"[['team autonomy', 'teams working', 'teams organizations', 'organizational control', 'team performance', 'context organizations', 'organizational', 'organizational support', 'enable teams', 'coordination']]"
Franch_88_2022,1514665,"Franch, Xavier (Universitat Politecnica de Catalunya, ESP);Mendez, Daniel [dmz] [0000-0003-0619-6027] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Vogelsang, Andreas (Technische Universitat Berlin, DEU);Heldal, Rogardt (Western Norway University of Applied Sciences, NOR);Knauss, Eric (Chalmers tekniska högskola, SWE);Oriol, Marc (Universitat Politecnica de Catalunya, ESP);Travassos, Guilherme (Federal University of Rio de Janeiro, BRA);Carver, Jeffrey C. (University of Alabama, USA);Zimmermann, Thomas (Microsoft Corporation, USA)",2022,How do Practitioners Perceive the Relevance of Requirements Engineering Research?,"<p>Context: The relevance of Requirements Engineering (RE) research to practitioners is vital for a long-term dissemination of research results to everyday practice. Some authors have speculated about a mismatch between research and practice in the RE discipline. However, there is not much evidence to support or refute this perception. Objective: This paper presents the results of a study aimed at gathering evidence from practitioners about their perception of the relevance of RE research and at understanding the factors that influence that perception. Method: We conducted a questionnaire-based survey of industry practitioners with expertise in RE. The participants rated the perceived relevance of 435 scientific papers presented at five top RE-related conferences. Results: The 153 participants provided a total of 2,164 ratings. The practitioners rated RE research as essential or worthwhile in a majority of cases. However, the percentage of non-positive ratings is still higher than we would like. Among the factors that affect the perception of relevance are the paper?s links to industry, the research method used, and respondents? roles. The reasons for positive perceptions were primarily related to the relevance of the problem and the soundness of the solution, while the causes for negative perceptions were more varied. The respondents also provided suggestions for future research, including topics researchers have studied for decades, like elicitation or requirement quality criteria. Conclusions: The study is valuable for both researchers and practitioners. Researchers can use the reasons respondents gave for positive and negative perceptions and the suggested research topics to help make their research more appealing to practitioners and thus more prone to industry adoption. Practitioners can benefit from the overall view of contemporary RE research by learning about research topics that they may not be familiar with, and compare their perception with those of their colleagues to self-assess their positioning towards more academic research. IEEE</p>",,"[1, 1, 8, 8, 8, 18, 8]","[0.09460927366669783, 0.08926397262739184, 0.06259587453883453, 0.06838292952705442, 0.04177378966020308, 0.407363036509454, 0.06363088151550272]","[['requirements quality', 'requirements engineering', 'requirements specifications', 'quality requirements', 'requirements artifacts', 'requirements attributes', 'requirement', 'requirements', 'quality factors', 'quality defects'], ['requirements quality', 'requirements engineering', 'requirements specifications', 'quality requirements', 'requirements artifacts', 'requirements attributes', 'requirement', 'requirements', 'quality factors', 'quality defects'], ['requirements engineering', 'regulatory', 'regulations', 'compliance', 'requirements', 'domain knowledge', 'legal experts', 'practices challenges', 'products services', 'principles practices'], ['requirements engineering', 'regulatory', 'regulations', 'compliance', 'requirements', 'domain knowledge', 'legal experts', 'practices challenges', 'products services', 'principles practices'], ['requirements engineering', 'regulatory', 'regulations', 'compliance', 'requirements', 'domain knowledge', 'legal experts', 'practices challenges', 'products services', 'principles practices'], ['team autonomy', 'teams working', 'teams organizations', 'organizational control', 'team performance', 'context organizations', 'organizational', 'organizational support', 'enable teams', 'coordination'], ['requirements engineering', 'regulatory', 'regulations', 'compliance', 'requirements', 'domain knowledge', 'legal experts', 'practices challenges', 'products services', 'principles practices']]"
Gren_124_2022,1687062,"Gren, Lucas [lug] [0000-0001-5488-9894] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Ralph, Paul (Dalhousie University, Halifax, CAN)",2022,What Makes Effective Leadership in Agile Software Development Teams?,"<p>Effective leadership is one of the key drivers of business and project success, and one of the most active areas of management research. But how does leadership work in agile software development, which emphasizes self-management and self-organization and marginalizes traditional leadership roles? To find out, this study examines agile leadership from the perspective of thirteen professionals who identify as agile leaders, in different roles, at ten different software development companies of varying sizes. Data from semi-structured interviews reveals that leadership: (1) is dynamically shared among team members; (2) engenders a sense of belonging to the team; and (3) involves balancing competing organizational cultures (e.g. balancing the new agile culture with the old milestone-driven culture). In other words, agile leadership is a property of a team, not a role, and effectiveness depends on agile team members' identifying with the team, accepting responsibility, and being sensitive to cultural conflict. </p>",https://bth.diva-portal.org/smash/get/diva2:1687062/FULLTEXT01.pdf,"[12, 12, 12, 12]","[0.08833981424857847, 0.08599767925838563, 1.0, 0.08893831609965387]","[['agile teams', 'agile practices', 'adopting agile', 'agile team', 'agile methods', 'use agile', 'agile', 'team climate', 'distributed projects', 'team members'], ['agile teams', 'agile practices', 'adopting agile', 'agile team', 'agile methods', 'use agile', 'agile', 'team climate', 'distributed projects', 'team members'], ['agile teams', 'agile practices', 'adopting agile', 'agile team', 'agile methods', 'use agile', 'agile', 'team climate', 'distributed projects', 'team members'], ['agile teams', 'agile practices', 'adopting agile', 'agile team', 'agile methods', 'use agile', 'agile', 'team climate', 'distributed projects', 'team members']]"
Gren_125_2022,1687222,"Gren, Lucas [lug] [0000-0001-5488-9894] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Shepperd, Martin (Chalmers, University of Gothenburg, SWE)",2022,Problem reports and team maturity in agile automotive software development,"<p>Background: Volvo Cars is pioneering an agile transformation on a large scale in the automotive industry. Social psychological aspects of automotive software development are an under-researched area in general. Few studies on team maturity or group dynamics can be found specifically in the automotive software engineering domain. Objective: This study is intended as an initial step to fill that gap by investigating the connection between issues and problem reports and team maturity. Method: We conducted a quantitative study with 84 participants from 14 teams and qualitatively validated the result with the Release Train Engineer having an overview of all the participating teams. Results: We find that the more mature a team is, the faster they seem to resolve issues as provided through external feedback, at least in the two initial team maturity stages. Conclusion: This study suggests that working on team dynamics might increase productivity in modern automotive software development departments, but this needs further investigation. © 2022 ACM.</p>",https://bth.diva-portal.org/smash/get/diva2:1687222/FULLTEXT01.pdf,"[12, 25]","[1.0, 1.0]","[['agile teams', 'agile practices', 'adopting agile', 'agile team', 'agile methods', 'use agile', 'agile', 'team climate', 'distributed projects', 'team members'], ['engineering collaboration', 'quality engineering', 'collaboration engineering', 'engineering context', 'engineering objective', 'industry academia', 'qualitative methods', 'engineering conclusions', 'studies engineering', 'engineering aims']]"
Guo_131_2021,1609348,"Guo, Hong (Anhui University, CHN);Šmite, Darja [xds] [0000-0003-1744-3118] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Li, Jingyue (Norwegian University of Science and Technology, NOR);Gao, Shang (Örebro University, SWE)",2021,Enterprise Architecture and Agility : A Systematic Mapping Study,"<p>This article presents a systematic mapping study of published scientific papers on Enterprise Architecture (EA) and agility. More specifically, we reviewed studies on applying agile practices to EA and applying EA to the organization’s agility. A categorical structure is proposed for classifying the research results based on the extracted topics discussed. The categories include agile traits (i.e., principles and practices), EA practices, and organizational contexts. By mapping the published works and analyzing them, the article also highlights some trends and indicates some obstacles and needs for future research and practice. © 2021, Springer Nature Switzerland AG.</p>",,"[12, 12, 12, 12]","[0.4944271623373415, 0.6285985930010899, 0.7725459430947673, 0.8112006234643899]","[['agile teams', 'agile practices', 'adopting agile', 'agile team', 'agile methods', 'use agile', 'agile', 'team climate', 'distributed projects', 'team members'], ['agile teams', 'agile practices', 'adopting agile', 'agile team', 'agile methods', 'use agile', 'agile', 'team climate', 'distributed projects', 'team members'], ['agile teams', 'agile practices', 'adopting agile', 'agile team', 'agile methods', 'use agile', 'agile', 'team climate', 'distributed projects', 'team members'], ['agile teams', 'agile practices', 'adopting agile', 'agile team', 'agile methods', 'use agile', 'agile', 'team climate', 'distributed projects', 'team members']]"
Khanna_160_2024,1942938,"Khanna, Dron (Free University Bozen Bolzano, Italy);Edison, Henry [hed] [0000-0002-9494-8059] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Nguyen-Duc, Anh (University South Eastern Norway, Norway);Kemell, Kai-Kristian (University Helsinki, Finland)",2024,Software Companies' Responses to Hybrid Working,"<p>[Context]: The COVID-19 pandemic has disrupted the global market and workplace landscape. As a response, hybrid work situations have become popular in the software business sector. This way of working has an impact on software companies.</p><p>[Objective]: This study investigates software companies' responses to hybrid working. [Method]: We conducted a large-scale survey to achieve our objective. Our results are based on a qualitative analysis of 124 valid responses.</p><p>[Results]: The main result of our study is a taxonomy of software companies' impacts on hybrid working at individual, team and organisation levels. We found higher positive responses at individual and organisational levels than negative responses. At the team level, both positive and negative impacts obtained a uniform number of responses.</p><p>[Conclusion]: The results indicate that hybrid working became credible with the wave of COVID-19, with 83 positive responses outweighing the 41 negative responses. Software company respondents witnessed better work-life balance, productivity, and efficiency in hybrid working.</p>",,"[2, 2, 2, 2, 2, 2, 2, 2]","[0.0959819462500298, 1.0, 0.06901718996413453, 0.029352901413499114, 0.07749380310359594, 0.07577477816960669, 0.5896348178839358, 0.08834637572291884]","[['working home', 'work home', 'work life', 'work arrangements', 'forced working', 'perceived productivity', 'employees', 'work', 'office', 'managers'], ['working home', 'work home', 'work life', 'work arrangements', 'forced working', 'perceived productivity', 'employees', 'work', 'office', 'managers'], ['working home', 'work home', 'work life', 'work arrangements', 'forced working', 'perceived productivity', 'employees', 'work', 'office', 'managers'], ['working home', 'work home', 'work life', 'work arrangements', 'forced working', 'perceived productivity', 'employees', 'work', 'office', 'managers'], ['working home', 'work home', 'work life', 'work arrangements', 'forced working', 'perceived productivity', 'employees', 'work', 'office', 'managers'], ['working home', 'work home', 'work life', 'work arrangements', 'forced working', 'perceived productivity', 'employees', 'work', 'office', 'managers'], ['working home', 'work home', 'work life', 'work arrangements', 'forced working', 'perceived productivity', 'employees', 'work', 'office', 'managers'], ['working home', 'work home', 'work life', 'work arrangements', 'forced working', 'perceived productivity', 'employees', 'work', 'office', 'managers']]"
Klotins_166_2021,1556503,"Klotins, Eriks [ekx] [0000-0002-1987-2234] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Unterkalmsteiner, Michael [mun] [0000-0003-4118-0952] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Chatzipetrou, Panagiota (Örebro University School of Business, SWE);Gorschek, Tony [tgo] [0000-0002-3646-235x] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Prikladnicki, Rafæl (Pontifical Catholic University of Rio Grande do Sul, BRA);Tripathi, Nirnaya (University of Oulu, FIN);Pompermaier, Leandro Bento (Pontifical Catholic University of Rio Grande do Sul, BRA)",2021,Use of agile practices in start-up companies,"<p>Context Software start-ups have shown their ability to develop and launch innovative software products and services. Small, motivated teams and uncertain project scope makes start-ups good candidates for adopting Agile practices. Objective We explore how start-ups use Agile practices and what effects can be associated with the use of those practices. Method We use a case survey to analyze 84 start-up cases and 56 Agile practices. We apply statistical methods to test for statistically significant associations between the use of Agile practices, team, and product factors. Results Our results suggest that development of the backlog, use of version control, code refactoring, and development of user stories are the most frequently reported practices. We identify 22 associations between the use of Agile practices, team, and product factors. The use of Agile practices is associated with effects on source code and overall product quality. A teams’ positive or negative attitude towards best engineering practices is a significant indicator for either adoption or rejection of certain Agile practices. To explore the relationships in our findings, we set forth a number of propositions that can be investigated in future research. Conclusions We conclude that start-ups use Agile practices, however without following any specific methodology. We identify the opportunity for more fine-grained studies into the adoption and effects of individual Agile practices. Start-up practitioners could benefit from Agile practices in terms of better overall quality, tighter control over team performance, and resource utilization. © 2021 Wroclaw University of Science and Technology. All rights reserved.</p>",https://bth.diva-portal.org/smash/get/diva2:1556503/FULLTEXT01.pdf,"[12, 10, 12, 12, 12, 12, 12, 12, 12, 12]","[0.2864649063202785, 0.17484405268645037, 0.20186916147433384, 0.24807772083869342, 1.0, 1.0, 0.8291484889894795, 1.0, 1.0, 0.20207613123565354]","[['agile teams', 'agile practices', 'adopting agile', 'agile team', 'agile methods', 'use agile', 'agile', 'team climate', 'distributed projects', 'team members'], ['startups', 'start ups', 'agile product', 'intelligence genai', 'innovation', 'genai', 'industry', 'opportunities', 'use cases', 'generative ai'], ['agile teams', 'agile practices', 'adopting agile', 'agile team', 'agile methods', 'use agile', 'agile', 'team climate', 'distributed projects', 'team members'], ['agile teams', 'agile practices', 'adopting agile', 'agile team', 'agile methods', 'use agile', 'agile', 'team climate', 'distributed projects', 'team members'], ['agile teams', 'agile practices', 'adopting agile', 'agile team', 'agile methods', 'use agile', 'agile', 'team climate', 'distributed projects', 'team members'], ['agile teams', 'agile practices', 'adopting agile', 'agile team', 'agile methods', 'use agile', 'agile', 'team climate', 'distributed projects', 'team members'], ['agile teams', 'agile practices', 'adopting agile', 'agile team', 'agile methods', 'use agile', 'agile', 'team climate', 'distributed projects', 'team members'], ['agile teams', 'agile practices', 'adopting agile', 'agile team', 'agile methods', 'use agile', 'agile', 'team climate', 'distributed projects', 'team members'], ['agile teams', 'agile practices', 'adopting agile', 'agile team', 'agile methods', 'use agile', 'agile', 'team climate', 'distributed projects', 'team members'], ['agile teams', 'agile practices', 'adopting agile', 'agile team', 'agile methods', 'use agile', 'agile', 'team climate', 'distributed projects', 'team members']]"
Moe_201_2021,1583507,"Moe, Nils Brede [nbm] [0000-0003-2669-0778] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Šmite, Darja [xds] [0000-0003-1744-3118] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Paasivaara, Maria (Aalto University, FIN);Lassenius, Casper (Aalto University, FIN)",2021,Finding the sweet spot for organizational control and team autonomy in large-scale agile software development,"<p>Agile methods and the related concepts of employee empowerment, self-management, and autonomy have reached large-scale software organizations and raise questions about commonly adopted principles for authority distribution. However, the optimum mechanism to balance the need for alignment, quality, and process control with the need or willingness of teams to be autonomous remains an unresolved issue. In this paper, we report our findings from a multiple-case study in two large-scale software development organizations in the telecom industry. We analysed the autonomy of the agile teams in the organizations using Hackman’s classification of unit authority and found that the teams were partly self-managing. Further, we found that alignment across teams can be achieved top-down by management and bottom-up through membership in communities or through dialogue between the team and management. However, the degree of team autonomy was limited by the need for organizational alignment. Top-down alignment and control were maintained through centralized decision-making for certain areas, the use of supervisory roles, mandatory processes, and checklists. One case employed a bottom-up approach to alignment through the formation of a community composed of all teams, experts, and supporting roles, but excluding managers. This community-based alignment involved teams in decision-making and engaged them in alignment initiatives. We conclude that implementation of such bottom-up structures seems to provide one possible mechanism for balancing organizational control and team autonomy in large-scale software development. © 2021, The Author(s).</p>",https://bth.diva-portal.org/smash/get/diva2:1583507/FULLTEXT01.pdf,"[18, 18, 18, 18, 18, 18, 18]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['team autonomy', 'teams working', 'teams organizations', 'organizational control', 'team performance', 'context organizations', 'organizational', 'organizational support', 'enable teams', 'coordination'], ['team autonomy', 'teams working', 'teams organizations', 'organizational control', 'team performance', 'context organizations', 'organizational', 'organizational support', 'enable teams', 'coordination'], ['team autonomy', 'teams working', 'teams organizations', 'organizational control', 'team performance', 'context organizations', 'organizational', 'organizational support', 'enable teams', 'coordination'], ['team autonomy', 'teams working', 'teams organizations', 'organizational control', 'team performance', 'context organizations', 'organizational', 'organizational support', 'enable teams', 'coordination'], ['team autonomy', 'teams working', 'teams organizations', 'organizational control', 'team performance', 'context organizations', 'organizational', 'organizational support', 'enable teams', 'coordination'], ['team autonomy', 'teams working', 'teams organizations', 'organizational control', 'team performance', 'context organizations', 'organizational', 'organizational support', 'enable teams', 'coordination'], ['team autonomy', 'teams working', 'teams organizations', 'organizational control', 'team performance', 'context organizations', 'organizational', 'organizational support', 'enable teams', 'coordination']]"
