PID,Name,Title,PublicationType,ContentType,Language,Journal,JournalISSN,JournalEISSN,Status,Volume,Issue,HostPublication,StartPage,EndPage,Year,Edition,Pages,City,Publisher,Series,SeriesISSN,SeriesEISSN,ISBN,Urls,ISRN,DOI,ISI,PMID,ScopusId,NBN,LocalId,ArchiveNumber,Keywords,Categories,ResearchSubjects,Projects,Notes,Abstract,Opponents,Supervisors,Examiners,Patent,ThesisLevel,Credits,Programme,Subject,Uppsok,DefencePlace,DefenceLanguage,DefenceDate,CreatedDate,PublicationDate,LastUpdated,FullTextLink,Funder,NumberOfAuthors,ExternalCooperation,FridaLevel,PartOfThesis,PublicationSubtype,Conference,Term,ArticleId,Reviewed,FreeFulltext,SustainableDevelopment,Contributor
1887738,"Peixoto, Mariana (Universidade de Pernambuco (UPE), Brazil);Gorschek, Tony [tgo] [0000-0002-3646-235x] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Mendez, Daniel [dmz] [0000-0003-0619-6027] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Fucci, Davide [dfu] [0000-0002-0679-4361] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Silva, Carla (Universidade Federal de Pernambuco (UFPE), Brazil)",A natural language-based method to specify privacy requirements : an evaluation with practitioners,Artikel i tidskrift,Refereegranskat,eng,Requirements Engineering,0947-3602,1432-010X,published,29,3,,279,301,2024,,,,Springer Science+Business Media B.V.,,,,,,,10.1007/s00766-024-00428-z,1272283700001,,2-s2.0-85198939572,urn:nbn:se:bth-26772,,,Empirical study;Privacy criteria method;Privacy requirements specification;Software development;Quality control;Requirements engineering;Semantics;Software design;Empirical studies;Engineering methods;Natural languages;Privacy requirement specification;Privacy requirements;Requirement engineering;Requirements specifications;Software practitioners;User stories;Specifications,Programvaruteknik (10205),,,,"<p>Organisations are becoming concerned with effectively dealing with privacy-related requirements. Existing Requirements Engineering methods based on structured natural language suffer from several limitations both in eliciting and specifying privacy requirements. In our previous study, we proposed a structured natural-language approach called the “Privacy Criteria Method” (PCM), which demonstrates potential advantages over user stories. Our goal is to present a PCM evaluation that focused on the opinions of software practitioners from different companies on PCM’s ability to support the specification of privacy requirements and the quality of the privacy requirements specifications produced by these software practitioners. We conducted a multiple case study to evaluate PCM in four different industrial contexts. We gathered and analysed the opinions of 21 practitioners on PCM usage regarding Coverage, Applicability, Usefulness, and Scalability. Moreover, we assessed the syntactic and semantic quality of the PCM artifacts produced by these practitioners. PCM can aid developers in elaborating requirements specifications focused on privacy with good quality. The practitioners found PCM to be useful for their companies’ development processes. PCM is considered a promising method for specifying privacy requirements. Some slight extensions of PCM may be required to tailor the method to the characteristics of the company. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2024.</p>",,,,,,,,,,,,,2024-08-09,2024-08-09,2024-09-19,,KK-stiftelsen [20180010],5,,deprecated,,,,,,true,,,
1903073,"Frattini, Julian [juf] [0000-0003-3995-6125] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Fucci, Davide [dfu] [0000-0002-0679-4361] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Torkar, Richard (Chalmers University of Technology);Mendez, Daniel [dmz] [0000-0003-0619-6027] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",A Second Look at the Impact of Passive Voice Requirements on Domain Modeling : Bayesian Reanalysis of an Experiment,Konferensbidrag,Refereegranskat,eng,,,,,,,"Proceedings of the 2024 IEEE/ACM international workshop on methodological issues with empirical studies in software engineering, WSESE 2024",27,33,2024,,,,Association for Computing Machinery (ACM),,,,9798400705670,,,10.1145/3643664.3618211,1293147200006,,2-s2.0-85190677315,urn:nbn:se:bth-26968,,,Requirements Engineering;Requirements Quality;Controlled experiment;Bayesian Data Analysis,Programvaruteknik (10205);Sannolikhetsteori och statistik (10106),,,,"<p>The quality of requirements specifications may impact subsequent, dependent software engineering (SE) activities. However, empirical evidence of this impact remains scarce and too often superficial as studies abstract from the phenomena under investigation too much. 1Wo of these abstractions are caused by the lack of frameworks for causal inference and frequentist methods which reduce complex data to binary results. In this study, we aim to demonstrate (1) the use of a causal framework and (2) contrast frequentist methods with more sophisticated Bayesian statistics for causal inference. To this end, we reanalyze the only known controlled experiment investigating the impact of passive voice on the subsequent activity of domain modeling. We follow a framework for statistical causal inference and employ Bayesian data analysis methods to re-investigate the hypotheses of the original study. Our results reveal that the effects observed by the original authors turned out to be much less significant than previously assumed. This study supports the recent call to action in SE research to adopt Bayesian data analysis, including causal frameworks and Bayesian statistics, for more sophisticated causal inference.</p>",,,,,,,,,,,,,2024-10-03,2024-10-03,2024-12-03,https://bth.diva-portal.org/smash/get/diva2:1903073/FULLTEXT01.pdf,KK-stiftelsen [20180010],4,,deprecated,,publishedPaper,"1st International Workshop on Methodological Issues with Empirical Studies in Software Engineering (WSESE), Lisbon, APR 16, 2024",,,true,true,,
1809779,"Iftikhar, Umar [uif] [0000-0003-3177-6138] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Ali, Nauman bin [nal] [0000-0001-7266-5632] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Börstler, Jürgen [jub] [0000-0003-0639-4234] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Usman, Muhammad [muu] [0000-0002-8132-0107] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",A tertiary study on links between source code metrics and external quality attributes,"Artikel, forskningsöversikt",Refereegranskat,eng,Information and Software Technology,0950-5849,1873-6025,published,165,,,,,2024,,,,Elsevier,,,,,,,10.1016/j.infsof.2023.107348,1102357100001,,2-s2.0-85174715019,urn:nbn:se:bth-25555,,,Code quality;Evidence;Product quality;Quality models;Tertiary review;Tertiary study;Codes (symbols);Computer programming languages;Data handling;Forecasting;Object oriented programming;Reliability;External quality;Internal quality;Products quality;Quality attributes;Quality modeling;Source code metrics;Maintainability,Programvaruteknik (10205),,,,"<p>Context: Several secondary studies have investigated the relationship between internal quality attributes, source code metrics and external quality attributes. Sometimes they have contradictory results. Objective: We synthesize evidence of the link between internal quality attributes, source code metrics and external quality attributes along with the efficacy of the prediction models used. Method: We conducted a tertiary review to identify, evaluate and synthesize secondary studies. We used several characteristics of secondary studies as indicators for the strength of evidence and considered them when synthesizing the results. Results: From 711 secondary studies, we identified 15 secondary studies that have investigated the link between source code and external quality. Our results show : (1) primarily, the focus has been on object-oriented systems, (2) maintainability and reliability are most often linked to internal quality attributes and source code metrics, with only one secondary study reporting evidence for security, (3) only a small set of complexity, coupling, and size-related source code metrics report a consistent positive link with maintainability and reliability, and (4) group method of data handling (GMDH) based prediction models have performed better than other prediction models for maintainability prediction. Conclusions: Based on our results, lines of code, coupling, complexity and the cohesion metrics from Chidamber &amp; Kemerer (CK) metrics are good indicators of maintainability with consistent evidence from high and moderate-quality secondary studies. Similarly, four CK metrics related to coupling, complexity and cohesion are good indicators of reliability, while inheritance and certain cohesion metrics show no consistent evidence of links to maintainability and reliability. Further empirical studies are needed to explore the link between internal quality attributes, source code metrics and other external quality attributes, including functionality, portability, and usability. The results will help researchers and practitioners understand the body of knowledge on the subject and identify future research directions. © 2023 The Author(s)</p>",,,,,,,,,,,,,2023-11-06,2023-11-06,2024-03-13,https://bth.diva-portal.org/smash/get/diva2:1809779/FULLTEXT01.pdf,ELLIIT - The Linköping‐Lund Initiative on IT and Mobile Communications;KK-stiftelsen [20190081],4,,deprecated,urn:nbn:se:bth-25608,,,,107348,true,true,,
1854020,"Börstler, Jürgen [jub] [0000-0003-0639-4234] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Ali, Nauman bin [nal] [0000-0001-7266-5632] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Petersen, Kai [kps] [0000-0002-1532-8223] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]) (Flensburg University of Applied Sciences);Engström, Emelie [0000-0001-6736-9425] (Lund University)",Acceptance behavior theories and models in software engineering — A mapping study,Artikel i tidskrift,Refereegranskat,eng,Information and Software Technology,0950-5849,1873-6025,published,172,,,,,2024,,,,Elsevier,,,,,,,10.1016/j.infsof.2024.107469,1233663200001,,2-s2.0-85190986067,urn:nbn:se:bth-26143,,,Acceptance behavior;Technology adoption;Theory use in software engineering;TAM;TPB;TRA;Fitness;Innovation diffusion,Programvaruteknik (10205),Software Engineering,ELLIIT,,"<p>Context: The adoption or acceptance of new technologies or ways of working in software development activities is a recurrent topic in the software engineering literature. The topic has, therefore, been empirically investigated extensively. It is, however, unclear which theoretical frames of reference are used in this research to explain acceptance behaviors. Objective: In this study, we explore how major theories and models of acceptance behavior have been used in the software engineering literature to empirically investigate acceptance behavior.Method: We conduct a systematic mapping study of empirical studies using acceptance behavior theories in software engineering.Results: We identified 47 primary studies covering 56 theory uses. The theories were categorized into six groups. Technology acceptance models (TAM and its extensions) were used in 29 of the 47 primary studies, innovation theories in 10, and the theories of planned behavior/ reasoned action (TPB/TRA) in six. All other theories were used in at most two of the primary studies. The usage and operationalization of the theories were, in many cases, inconsistent with the underlying theories. Furthermore, we identified 77 constructs used by these studies of which many lack clear definitions. Conclusions: Our results show that software engineering researchers are aware of some of the leading theories and models of acceptance behavior, which indicates an attempt to have more theoretical foundations. However, we identified issues related to theory usage that make it difficult to aggregate and synthesize results across studies. We propose mitigation actions that encourage the consistent use of theories and emphasize the measurement of key constructs.</p>",,,,,,,,,,,,,2024-04-24,2024-04-24,2024-06-18,https://bth.diva-portal.org/smash/get/diva2:1854020/FULLTEXT01.pdf,ELLIIT - The Linköping‐Lund Initiative on IT and Mobile Communications;KK-stiftelsen [20220235],4,,deprecated,,,,,107469,true,true,,
1889637,"Jedrzejewski, Felix [fje] [0000-0001-7090-2753] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Thode, Lukas [lto] [0000-0002-8674-657X] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Fischbach, Jannik (Netlight Consulting GmbH, Germany);Gorschek, Tony [tgo] [0000-0002-3646-235x] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Mendez, Daniel [dmz] [0000-0003-0619-6027] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Lavesson, Niklas [nla] [0000-0002-0535-1761] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",Adversarial Machine Learning in Industry : A Systematic Literature Review,"Artikel, forskningsöversikt",Refereegranskat,eng,Computers & security (Print),0167-4048,1872-6208,published,145,,,,,2024,,,,Elsevier,,,,,,,10.1016/j.cose.2024.103988,1290393300001,,2-s2.0-85200501059,urn:nbn:se:bth-26820,,,Adversarial machine learning;Industry;Relevance;Rigor;State of evidence;Industrial research;Building blockes;Machine learning models;Machine-learning;Product and services;Relevance score;Systematic literature review;Machine learning,Programvaruteknik (10205),,,,"<p>Adversarial Machine Learning (AML) discusses the act of attacking and defending Machine Learning (ML) Models, an essential building block of Artificial Intelligence (AI). ML is applied in many software-intensive products and services and introduces new opportunities and security challenges. AI and ML will gain even more attention from the industry in the future, but threats caused by already-discovered attacks specifically targeting ML models are either overseen, ignored, or mishandled. Current AML research investigates attack and defense scenarios for ML in different industrial settings with a varying degree of maturity with regard to academic rigor and practical relevance. However, to the best of our knowledge, a synthesis of the state of academic rigor and practical relevance is missing. This literature study reviews studies in the area of AML in the context of industry, measuring and analyzing each study's rigor and relevance scores. Overall, all studies scored a high rigor score and a low relevance score, indicating that the studies are thoroughly designed and documented but miss the opportunity to include touch points relatable for practitioners. © 2024 The Author(s)</p>",,,,,,,,,,,,,2024-08-16,2024-08-16,2024-08-23,https://bth.diva-portal.org/smash/get/diva2:1889637/FULLTEXT01.pdf,KK-stiftelsen [20180010],6,,deprecated,,,,,103988,true,true,,
1838491,"Simaremare, Mario [mcb] [0000-0002-7873-6363] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Edison, Henry [hed] [0000-0002-9494-8059] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",AI Assistant to Improve Experimentation in Software Startups Using Large Language Model and Prompt Engineering,Konferensbidrag,Refereegranskat,eng,,,,,3621,,CEUR Workshop Proceedings,,,2024,,,,Technical University of Aachen,CEUR Workshop Proceedings,,1613-0073,,,,,,,2-s2.0-85183887388,urn:nbn:se:bth-25970,,,experimentation;large language model;prompt engineering;Software startup;startup;Software agents;Software design;Innovative product;Language model;Model agents;New product development;Power;Product development,Programvaruteknik (10205),,,,"<p>Software startup is a unique type of company with unique characteristics. On the one hand, they must offer innovative products appealing to customers to generate revenue and survive, but on the other hand, they are limited in resources, time, and experience. During the new product development, it is important to experiment with their original ideas. However, doing a meaningful experiment requires resources and challenges. A study on failed software startups shows that, despite its importance, many software startups skipped or did not experiment with their ideas. The study identifies 25 inhibitors spread in five experimentation stages. In the last few years, Large Language Models (LLMs) have become a popular technology. The advancement of LLM has made it adopted into many parts of the software development cycle. Studies show that LLM also has been used to generate new innovative product ideas and to manage innovation. However, there is no investigation into the possibility of utilizing the power of LLM to help software startups do experimentation. Interactions to an LLM are done through prompts. During the interaction or session, a user will send one or more prompts in a zero-, one-, or few-shots to an LLM agent. Unfortunately, learning and using prompts effectively requires time and resources, things that software startups are scarce with. In this project, we aim to help improve the experimentation process and address the inhibitors by leveraging the power of LLMs. There are five initial research questions and studies planned in the project. In the first step, we will investigate current experimentation practices, challenges, inhibitors, and the strategies used to circumvent them. Secondly, we will investigate how AI has been used in today's experimentation. Then, we will investigate the set of measurements available to measure the success of an experiment. The next step is to investigate how to support experimentation using LLMs followed by a validation sequence. The first form of support is a prompt guidebook to help software startups use an LLM agent to help their experimentation. The second form is an LLM-based assistant tailored specifically to guide the experimentation process. © 2006 Gesellschaft für Informatik, Bonn.</p>",,,,,,,,,,,,,2024-02-16,2024-02-16,2024-02-16,https://bth.diva-portal.org/smash/get/diva2:1838491/FULLTEXT01.pdf,ELLIIT - The Linköping‐Lund Initiative on IT and Mobile Communications,2,,deprecated,,publishedPaper,"14th International Conference on Software Business, ICSOB-C 2023, Lahti, 27 November through 29 November 2023",,,true,,,
1887710,"Garcia, Rita (Victoria University of Wellington, New Zealand);Alshaigy, Bedour (Uppsala University);Liaskos, Konstantinos (University of Strathclyde, Scotland, United Kingdom);Nasir, Usman [una] [0009-0005-4340-8641] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Schulz, Sandra (University of Hamburg, Germany);Csizmadia, Andrew (Newman University, United Kingdom);Glebova, Olga (University of Connecticut, United States);Lunn, Stephanie J. (Florida International University, United States);Pettit, Raymond (University of Virginia, United States);Stewart, Craig (Durham University, United Kingdom);Pearce, Janice L. (Berea College, United States);Harrington, Brian (University of Toronto Scarborough, Canada);MacKellar, Bonnie (St John’s University Queens (NYC), United States);Prickett, Tom (Northumbria University, United Kingdom);Bernuy, Angela Zavaleta (University of Toronto, Canada)","All for One and One for All – Collaboration in Computing Education : Policy, Practice, and Professional Dispositions",Konferensbidrag,Refereegranskat,eng,,,,,2,,"Proceedings of the 2024 conference innovation and technology in computer science education, vol 2, ITICSE 2024",763,764,2024,,,,Association for Computing Machinery (ACM),"Annual Conference on Innovation and Technology in Computer Science Education, ITiCSE",1942-647X,,9798400706035,,,10.1145/3649405.3659530,1265872800005,,2-s2.0-85198657626,urn:nbn:se:bth-26774,,,Collaborative Learning;Computing Education;Professional Dispositions;Education computing;Engineering education;Professional aspects;Students;Curriculum changes;Education policies;Policy changes;Professional disposition;Research opportunities;Soft skills;Engineers,Lärande (50303);Programvaruteknik (10205),,,,"<p>The ITiCSE’23 final keynote raised teaching soft skills, or professional dispositions, to help students face challenges in modern programming. This project addresses helping computing students develop professional dispositions through collaborative learning (CL) since some in the industry observe entry-level engineers struggling due to their fragile professional dispositions. We are motivated to understand professional expectations from entry-level engineers and present the academia-industry gap to support practitioners and researchers in advancing CL in Computing Education, encouraging positive curricula and policy changes that promote DEIA. We will present CL practices alongside their supported professional dispositions to assist practitioners in adoption. We will present the academia-industry gap in CL for future research opportunities, helping researchers advance CL practices to integrate professional dispositions the industry expects from entry-level engineers. © 2024 Copyright held by the owner/author(s)</p>",,,,,,,,,,,,,2024-08-09,2024-08-09,2024-08-27,,,15,,deprecated,,publishedPaper,"29th Annual Conference on Innovation and Technology in Computer Science Education, ITiCSE 2024, Milan, July 8-10 2024",,,true,,,
1903420,"Wnuk, Krzysztof [krw] [0000-0003-3567-9300] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Madeyski, Lech [lmd] [0000-0003-3907-3357] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Abdeen, Waleed [wxa] [0000-0001-8142-9631] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Penmetsa, Sneha (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]) (student);Lingampalli, Navya (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]) (student)",An Empirical Analysis of the Usage of Requirements Attributes in Requirements Engineering Research and Practice,Konferensbidrag,Refereegranskat,eng,,,,,,,"Computational Collective Intelligence : Proceedings, Part II",29,40,2024,,,,Springer Science+Business Media B.V.,Lecture Notes in Computer Science (LNCS) ; 14811,0302-9743,1611-3349,9783031708183,,,10.1007/978-3-031-70819-0_3,1331826200003,,2-s2.0-85204634679,urn:nbn:se:bth-26979,,,case study;empirical study;literature review;requirements attributes;requirements management;Commerce;Computer software selection and evaluation;Case-studies;Empirical analysis;Empirical studies;Global market;Industrial case study;Literature reviews;Meta information;Requirement attribute;Requirement engineering;Requirement management;Requirements engineering,Programvaruteknik (10205),,,,"<p>Requirements attributes play an important role in storing and managing meta-information about requirements. This paper presents the results of a literature review and two industrial case studies performed at two large organizations developing software-intensive products for a global market. We performed seven snowballing iterations and identified 18 studies where we extracted requirements attributes. Next, we compare these identified attributes with those of two large companies developing software-intensive products for a global market. We found common attributes that describe stakeholders and roles, support change management, tracing and communication, tracking the status, and estimating the business value of requirements. </p>",,,,,,,,,,,,,2024-10-04,2024-10-04,2024-12-02,,,5,,deprecated,,publishedPaper,"16th International Conference on Computational Collective Intelligence, ICCCI 2024, Leipzig, Sep 9–11, 2024",,,true,,,
1797942,"Bauer, Andreas [aur] [0000-0002-2916-4020] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Frattini, Julian [juf] [0000-0003-3995-6125] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805]);Alégroth, Emil [EAL] [0000-0001-7526-3727] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",Augmented Testing to support Manual GUI-based Regression Testing : An Empirical Study,Artikel i tidskrift,Refereegranskat,eng,Empirical Software Engineering,1382-3256,1573-7616,published,29,6,,,,2024,,,,Springer,,,,,,,10.1007/s10664-024-10522-z,1292331700002,,2-s2.0-85201391671,urn:nbn:se:bth-25391,,,GUI-based testing;GUI testing;Augmented Testing;manual teting;Bayesian data analysis,Programvaruteknik (10205),Systems Engineering,,,"<p><strong>Context</strong>: Manual graphical user interface (GUI) software testing presents a substantial part of the overall practiced testing efforts, despite various research efforts to further increase test automation. Augmented Testing (AT), a novel approach for GUI testing, aims to aid manual GUI-based testing through a tool-supported approach where an intermediary visual layer is rendered between the system under test (SUT) and the tester, superimposing relevant test information.</p><p><strong>Objective</strong>: The primary objective of this study is to gather empirical evidence regarding AT's efficiency compared to manual GUI-based regression testing. Existing studies involving testing approaches under the AT definition primarily focus on exploratory GUI testing, leaving a gap in the context of regression testing. As a secondary objective, we investigate AT's benefits, drawbacks, and usability issues when deployed with the demonstrator tool, Scout.</p><p><strong>Method</strong>: We conducted an experiment involving 13 industry professionals, from six companies, comparing AT to manual GUI-based regression testing. These results were complemented by interviews and Bayesian data analysis (BDA) of the study's quantitative results.</p><p><strong>Results</strong>: The results of the Bayesian data analysis revealed that the use of AT shortens test durations in 70% of the cases on average, concluding that AT is more efficient.When comparing the means of the total duration to perform all tests, AT reduced the test duration by 36% in total. Participant interviews highlighted nine benefits and eleven drawbacks of AT, while observations revealed four usability issues.</p><p><strong>Conclusion</strong>: This study makes an empirical contribution to understanding Augmented Testing, a promising approach to improve the efficiency of GUI-based regression testing in practice. Furthermore, it underscores the importance of continual refinements of AT.</p>",,,,,,,,,,,,,2023-09-18,2023-09-18,2024-08-30,https://bth.diva-portal.org/smash/get/diva2:1797942/FULLTEXT01.pdf,KK-stiftelsen [20180010],3,,deprecated,urn:nbn:se:bth-25392,,,,140,true,true,,
1873415,"Blaschke, Konstantin [kbs] [0009-0009-2095-9060] (Blekinge Tekniska Högskola [16500], Fakulteten för datavetenskaper [16801], Institutionen för programvaruteknik [16805])",Automated Model Quality Estimation and Change Impact Analysis on Model Histories,Konferensbidrag,Refereegranskat,eng,,,,,,,Proceedings - International Conference on Software Engineering,153,155,2024,,,,IEEE Computer Society,Proceedings - International Conference on Software Engineering,0270-5257,1558-1225,9798400705021,,,10.1145/3639478.3639809,,,2-s2.0-85194892229,urn:nbn:se:bth-26454,,,Change-Impact Analysis;Model Metrics;Model Quality;Model Review;Model-based Systems Engineering;Quality Assessment;Application programs;Automation;Embedded systems;Quality control;Automated modelling;Change impact analysis;Model change;Model metric;Model quality assessments;Model quality estimation;Model reviews;Model-based system engineerings;Modeling quality;Cost engineering,Programvaruteknik (10205),,,,"<p>Cyber-Physical Systems integrate hardware with software in complex applications. To mitigate the complexity, engineers rely on model-based systems engineering approaches. Updates and function enhancements lead to frequently changing design constraints and objectives. These changes increase the need to rework and extend model artifacts of the system. This can cause quality degradation over time due to modeling errors, knowledge disparities, or a lack of guidelines. To enable efficient collaboration and reduce maintenance costs in model-based systems engineering, the industry needs a cost-efficient, scalable approach to monitor model quality. The work outlines a doctoral thesis investigating the potential of automated data-driven quality assessment strategies using model artifact history and model changes. We will extract metrics and model changes to establish quality feedback for system engineers. We aim to use manual model quality assessments to incorporate domain-specific expert knowledge into the automated strategy. The main goals are to lower the effort of model quality assessments, to provide practitioners with foresight on quality development, and to estimate task effort to improve model quality. © 2024 IEEE Computer Society. All rights reserved.</p>",,,,,,,,,,,,,2024-06-19,2024-06-19,2024-06-19,,,1,,deprecated,,publishedPaper,"46th International Conference on Software Engineering: Companion, ICSE-Companion 2024, Lisbon, April 14-20 2024",,,true,,,
